id,home_team,home_classification,home_conference,home_VoA_rating,away_team,away_classification,away_conference,away_VoA_rating,Proj_Winner,Proj_Margin,win_prob
401856697,Arkansas,fbs,SEC,4.433664848294992,Tulsa,fbs,American Athletic,-20.74313077767154,Arkansas,27.17679562596653,0.9199169318344507
401862782,UL Monroe,fbs,Sun Belt,-32.42359826300132,Florida Atlantic,fbs,American Athletic,-20.40402984369974,Florida Atlantic,10.019568419301578,0.7334521044742683
401868052,Abilene Christian,fcs,UAC,-2.9141023584685977,Mercer,fcs,Southern,5.293664670266299,Mercer,6.207767028734897,0.6668845472779072
401868103,Southern Utah,fcs,Big Sky,1.4696250257576484,Idaho State,fcs,Big Sky,3.2848871199692637,Southern Utah,0.18473790578838445,0.5478488823192753
401868131,Northern Colorado,fcs,Big Sky,-3.275564464672165,Utah Tech,fcs,Big Sky,-8.322654584635577,Northern Colorado,7.047090119963412,0.6823068739246678
401868155,Weber State,fcs,Big Sky,-5.5117134381062485,Portland State,fcs,Big Sky,-11.75470698238744,Weber State,8.242993544281191,0.7035065766485415
401858241,SMU,fbs,ACC,7.268509371882605,Missouri State,fbs,Conference USA,-22.00860004046776,SMU,31.277109412350363,0.9417227963199535
401860895,UTEP,fbs,Mountain West,-27.45926868351349,Oregon State,fbs,Pac-12,-18.819722162336916,Oregon State,6.639546521176573,0.6748798260623479
401866429,Sacramento State,fbs,Mid-American,-19.212965153165285,Massachusetts,fbs,Mid-American,-39.38386053643418,Sacramento State,22.170895383268892,0.8833004341508506
401860891,Fresno State,fbs,Pac-12,-18.045668614620865,Rice,fbs,American Athletic,-25.934604126220602,Fresno State,9.888935511599737,0.7313191654760929
401868113,UC Davis,fcs,Big Sky,1.7658792415698663,Montana,fcs,Big Sky,3.6303952718465,UC Davis,0.1354839697233663,0.5468369358244776
401858240,Stanford,fbs,ACC,-18.78036754629157,Georgia Tech,fbs,ACC,1.7407569199991801,Georgia Tech,18.52112446629075,0.8481114387870947
401864509,Nevada,fbs,Mountain West,-24.195284274357217,Air Force,fbs,Mountain West,-16.366176646778968,Air Force,5.829107627578249,0.6598310230354874
401868120,Montana State,fcs,Big Sky,8.946284173114314,Northern Arizona,fcs,Big Sky,-2.513088058555552,Montana State,13.459372231669867,0.7855691372582705
401858470,Washington,fbs,Big Ten,12.408342714632768,Minnesota,fbs,Big Ten,-5.726186155334849,Washington,20.134528869967617,0.8646441527017791
