Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
65,Holy Cross (Patriot),12,6-6,298,178,7,"2,447",8.21,13.75,20,203.9
66,New Hampshire (CAA),13,8-5,426,273,8,"2,649",6.22,9.70,23,203.8
67,Georgetown (Patriot),11,5-6,361,213,14,"2,227",6.17,10.46,11,202.5
68,Austin Peay (ASUN),12,4-8,353,218,9,"2,400",6.80,11.01,15,200
68,Marist (Pioneer),11,1-10,423,231,11,"2,200",5.20,9.52,16,200
70,Prairie View (SWAC),12,5-7,340,187,9,"2,396",7.05,12.81,13,199.7
71,Mississippi Val. (SWAC),12,1-11,364,189,21,"2,383",6.55,12.61,15,198.6
72,South Dakota St. (MVFC),15,12-3,382,231,7,"2,969",7.77,12.85,26,197.9
73,Houston Christian (Southland),12,5-7,329,158,12,"2,346",7.13,14.85,18,195.5
74,McNeese (Southland),12,6-6,325,183,11,"2,344",7.21,12.81,12,195.3
75,Wofford (SoCon),12,5-7,353,188,14,"2,329",6.60,12.39,11,194.1
76,Nicholls (Southland),12,4-8,382,224,11,"2,324",6.08,10.38,16,193.7
77,Butler (Pioneer),12,9-3,279,182,7,"2,320",8.32,12.75,18,193.3
78,Southern Utah (ASUN),12,7-5,308,180,8,"2,315",7.52,12.86,18,192.9
79,Colgate (Patriot),12,2-10,399,253,15,"2,302",5.77,9.10,12,191.8
80,Portland St. (Big Sky),11,3-8,269,163,9,"2,088",7.76,12.81,14,189.8
81,Jackson St. (SWAC),14,12-2,309,188,10,"2,650",8.58,14.10,27,189.3
82,Dayton (Pioneer),11,6-5,322,202,10,"2,056",6.39,10.18,19,186.9
83,Richmond (CAA),13,10-3,315,201,8,"2,418",7.68,12.03,14,186
84,UNI (MVFC),12,3-9,319,194,5,"2,231",6.99,11.50,16,185.9
85,Bethune-Cookman (SWAC),12,2-10,324,196,7,"2,217",6.84,11.31,14,184.8
86,Montana St. (Big Sky),16,15-1,330,216,2,"2,942",8.92,13.62,32,183.9
87,N.C. A&T (CAA),12,1-11,363,206,12,"2,203",6.07,10.69,11,183.6
88,Wagner (NEC),12,4-8,331,182,11,"2,183",6.60,11.99,21,181.9
89,Youngstown St. (MVFC),12,4-8,323,213,12,"2,166",6.71,10.17,12,180.5
90,William & Mary (CAA),12,7-5,276,172,10,"2,165",7.84,12.59,14,180.4
91,Central Conn. St. (NEC),13,7-6,370,188,13,"2,310",6.24,12.29,17,177.7
92,Lamar University (Southland),12,7-5,311,163,9,"2,119",6.81,13.00,20,176.6
93,Howard (MEAC),12,4-8,351,196,14,"2,106",6.00,10.74,16,175.5
94,Princeton (Ivy League),10,3-7,287,151,15,"1,745",6.08,11.56,11,174.5
95,North Dakota (MVFC),12,5-7,307,187,8,"2,079",6.77,11.12,18,173.3
96,Morehead St. (Pioneer),12,7-5,282,143,9,"2,049",7.27,14.33,16,170.8
97,Grambling (SWAC),12,5-7,337,188,12,"2,047",6.07,10.89,11,170.6
98,Fordham (Patriot),12,2-10,343,172,10,"2,014",5.87,11.71,9,167.8
99,Hampton (CAA),12,5-7,313,197,8,"2,006",6.41,10.18,13,167.2
100,Southeastern La. (Southland),12,7-5,374,228,10,"2,003",5.36,8.79,12,166.9
101,Delaware St. (MEAC),12,1-11,318,183,10,"1,969",6.19,10.76,11,164.1
102,Morgan St. (MEAC),12,6-6,282,183,5,"1,966",6.97,10.74,11,163.8
103,Tennessee Tech (OVC),12,7-5,326,185,9,"1,947",5.97,10.52,10,162.3
104,Eastern Ky. (ASUN),13,8-5,334,190,8,"2,100",6.29,11.05,14,161.5
105,Saint Francis (NEC),11,4-7,272,156,6,"1,747",6.42,11.20,10,158.8
106,Villanova (CAA),14,10-4,356,184,5,"2,214",6.22,12.03,13,158.1
107,Murray St. (MVFC),12,1-11,313,170,19,"1,896",6.06,11.15,10,158
108,Northwestern St. (Southland),12,0-12,297,148,14,"1,892",6.37,12.78,7,157.7
109,Alcorn (SWAC),12,6-6,309,172,12,"1,789",5.79,10.40,7,149.1
110,Lehigh (Patriot),13,9-4,255,157,12,"1,923",7.54,12.25,15,147.9
111,Indiana St. (MVFC),12,4-8,277,190,5,"1,768",6.38,9.31,12,147.3
112,LIU (NEC),12,4-8,258,142,5,"1,759",6.82,12.39,15,146.6
113,The Citadel (SoCon),12,5-7,251,126,8,"1,737",6.92,13.79,8,144.8
114,Charleston So. (OVC),12,1-11,283,157,13,"1,726",6.10,10.99,9,143.8
115,Alabama St. (SWAC),12,7-5,211,115,8,"1,725",8.18,15.00,14,143.8
116,Northern Colo. (Big Sky),12,1-11,304,163,10,"1,701",5.60,10.44,7,141.8
117,Norfolk St. (MEAC),12,4-8,233,129,4,"1,590",6.82,12.33,12,132.5
118,Merrimack (FCS Independent),11,5-6,206,128,4,"1,418",6.88,11.08,9,128.9
119,Davidson (Pioneer),11,6-5,152,93,4,"1,331",8.76,14.31,14,121
120,Texas Southern (SWAC),11,5-6,232,130,8,"1,296",5.59,9.97,8,117.8
121,Valparaiso (Pioneer),11,4-7,223,120,6,"1,270",5.70,10.58,6,115.5
122,VMI (SoCon),12,1-11,314,162,15,"1,334",4.25,8.23,6,111.2
123,Sacred Heart (FCS Independent),11,5-6,238,132,6,"1,221",5.13,9.25,5,111
