Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
79,Tennessee St. (OVC),11,4-7,32,9,682,0,21.31
80,ETSU (SoCon),11,3-8,25,23,533,0,21.32
81,Wofford (SoCon),11,3-8,32,6,688,0,21.50
82,Missouri St. (MVFC),11,5-6,41,5,884,0,21.56
83,Idaho (Big Sky),12,7-5,21,50,453,0,21.57
84,N.C. A&T (Big South),11,7-4,32,23,695,0,21.72
85,Southeast Mo. St. (OVC),12,9-3,50,15,"1,098",1,21.96
85,Western Caro. (SoCon),11,6-5,25,29,549,1,21.96
87,Morehead St. (Pioneer),11,2-9,39,10,860,2,22.05
88,Penn (Ivy League),10,8-2,35,3,772,2,22.06
89,Grambling (SWAC),11,3-8,33,10,730,1,22.12
90,Rhode Island (CAA),11,7-4,38,11,842,0,22.16
91,Lamar University (Southland),11,1-10,19,16,423,0,22.26
92,Ark.-Pine Bluff (SWAC),11,3-8,31,10,691,0,22.29
93,Eastern Ky. (ASUN),12,7-5,37,26,826,0,22.32
94,Marist (Pioneer),11,4-7,36,5,805,1,22.36
95,Wagner (NEC),11,1-10,22,1,492,1,22.36
96,North Dakota St. (MVFC),15,12-3,45,35,"1,008",0,22.40
97,South Dakota St. (MVFC),15,14-1,38,34,852,0,22.42
98,Montana St. (Big Sky),14,12-2,34,67,763,1,22.44
99,North Ala. (ASUN),11,1-10,22,21,495,1,22.50
100,Prairie View (SWAC),11,6-5,45,14,"1,014",0,22.53
101,Weber St. (Big Sky),13,10-3,36,43,813,2,22.58
102,Bryant (Big South),11,4-7,37,25,837,0,22.62
103,North Dakota (MVFC),12,7-5,36,22,818,0,22.72
104,Southeastern La. (Southland),13,9-4,35,40,798,1,22.80
105,Houston Christian (Southland),11,2-9,29,12,663,1,22.86
106,Central Conn. St. (NEC),11,2-9,24,11,556,0,23.17
107,Lehigh (Patriot),11,2-9,31,6,720,0,23.23
108,Robert Morris (Big South),11,0-11,12,15,282,0,23.50
109,Idaho St. (Big Sky),11,1-10,19,14,449,0,23.63
110,San Diego (Pioneer),10,5-5,30,18,719,1,23.97
111,Presbyterian (Pioneer),11,1-10,31,2,745,1,24.03
112,Jacksonville St. (ASUN),11,9-2,16,52,385,0,24.06
113,Central Ark. (ASUN),11,5-6,30,15,730,2,24.33
114,Murray St. (OVC),11,2-9,16,17,391,2,24.44
115,Mississippi Val. (SWAC),11,2-9,25,7,619,1,24.76
116,Georgetown (Patriot),11,2-9,38,4,958,1,25.21
117,Indiana St. (MVFC),11,2-9,14,14,356,1,25.43
118,Valparaiso (Pioneer),12,5-7,35,15,892,2,25.49
119,Northern Ariz. (Big Sky),11,3-8,23,25,598,1,26.00
120,McNeese (Southland),11,4-7,18,29,471,1,26.17
121,Northern Colo. (Big Sky),11,3-8,9,32,241,0,26.78
122,Brown (Ivy League),10,3-7,21,19,565,2,26.90
123,Eastern Wash. (Big Sky),11,3-8,22,23,615,1,27.95
