Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
70,VMI (SoCon),11,5-6,744,"4,127",5.55,31,34,375.2
71,Holy Cross (Patriot),11,7-4,726,"4,138",5.70,35,37,376.2
72,Norfolk St. (MEAC),11,3-8,653,"4,140",6.34,40,43,376.4
73,Fordham (Patriot),11,6-5,744,"4,145",5.57,35,36,376.8
74,N.C. Central (MEAC),12,9-3,716,"4,523",6.32,44,47,376.9
75,Indiana St. (MVFC),11,1-10,697,"4,150",5.95,37,43,377.3
76,Bethune-Cookman (SWAC),11,3-8,720,"4,151",5.77,33,37,377.4
77,Bryant (OVC),11,6-5,778,"4,158",5.34,37,37,378
78,Texas Southern (SWAC),11,3-8,800,"4,177",5.22,46,48,379.7
79,Mississippi Val. (SWAC),11,1-10,678,"4,188",6.18,36,38,380.7
80,Sacramento St. (Big Sky),13,8-5,867,"4,992",5.76,41,44,384
81,Samford (SoCon),11,6-5,747,"4,234",5.67,32,34,384.9
82,Houston Christian (Southland),10,5-5,667,"3,855",5.78,35,38,385.5
83,Rhode Island (CAA),11,6-5,715,"4,242",5.93,38,41,385.6
84,North Dakota (MVFC),12,7-5,774,"4,670",6.03,42,42,389.2
85,Northern Ariz. (Big Sky),11,5-6,744,"4,299",5.78,39,43,390.8
86,Austin Peay (ASUN),12,9-3,889,"4,752",5.35,35,37,396
87,Prairie View (SWAC),12,6-6,748,"4,753",6.35,44,48,396.1
88,SFA (ASUN),11,3-8,715,"4,358",6.10,42,45,396.2
89,Charleston So. (OVC),11,4-7,773,"4,385",5.67,40,41,398.6
90,Brown (Ivy League),10,5-5,672,"3,989",5.94,36,38,398.9
91,ETSU (SoCon),11,3-8,809,"4,400",5.44,42,44,400
92,Central Conn. St. (NEC),11,3-8,716,"4,415",6.17,44,46,401.4
93,Portland St. (Big Sky),11,5-6,691,"4,416",6.39,46,46,401.5
94,Southeastern La. (Southland),11,3-8,738,"4,423",5.99,35,40,402.1
95,Hampton (CAA),11,5-6,674,"4,440",6.59,46,52,403.6
96,N.C. A&T (CAA),11,1-10,733,"4,460",6.08,39,43,405.5
97,Cal Poly (Big Sky),11,3-8,700,"4,490",6.41,52,57,408.2
98,Morehead St. (Pioneer),11,4-7,736,"4,515",6.13,38,43,410.5
99,Maine (CAA),11,2-9,703,"4,579",6.51,46,48,416.3
100,Northwestern St. (Southland),6,0-6,396,"2,504",6.32,23,27,417.3
101,Campbell (CAA),11,5-6,754,"4,592",6.09,48,50,417.5
102,New Hampshire (CAA),11,6-5,734,"4,605",6.27,42,43,418.6
103,The Citadel (SoCon),11,0-11,716,"4,656",6.50,49,51,423.3
104,Missouri St. (MVFC),11,4-7,753,"4,681",6.22,41,41,425.5
105,Murray St. (MVFC),11,2-9,707,"4,713",6.67,51,52,428.5
106,Lehigh (Patriot),11,2-9,801,"4,726",5.90,41,43,429.6
107,Bucknell (Patriot),11,4-7,779,"4,743",6.09,47,49,431.2
108,North Ala. (ASUN),11,3-8,757,"4,769",6.30,43,46,433.5
109,Southeast Mo. St. (OVC),11,4-7,786,"4,861",6.18,44,44,441.9
110,Colgate (Patriot),11,6-5,803,"4,871",6.07,47,48,442.8
111,McNeese (Southland),10,0-10,722,"4,444",6.16,48,51,444.4
112,Delaware St. (MEAC),11,1-10,679,"4,895",7.21,52,54,445
113,Towson (CAA),11,5-6,783,"4,910",6.27,42,44,446.4
114,Stetson (Pioneer),11,3-8,751,"4,918",6.55,47,52,447.1
115,Ark.-Pine Bluff (SWAC),11,2-9,730,"4,940",6.77,44,49,449.1
116,Eastern Wash. (Big Sky),11,4-7,743,"4,995",6.72,52,53,454.1
117,Abilene Christian (ASUN),11,5-6,789,"5,002",6.34,40,41,454.7
118,Northern Colo. (Big Sky),11,0-11,804,"5,165",6.42,47,51,469.5
119,Stony Brook (CAA),10,0-10,670,"4,707",7.03,51,53,470.7
120,Eastern Ky. (ASUN),11,5-6,791,"5,240",6.62,46,48,476.4
121,Idaho St. (Big Sky),11,3-8,807,"5,250",6.51,54,58,477.3
122,Western Ill. (MVFC),11,0-11,665,"5,257",7.91,64,68,477.9
