Rank,Team,G,W-L,4th Conv,4th Att,Pct
44,VMI (SoCon),12,1-11,10,19,0.526
45,Murray St. (MVFC),12,1-11,12,23,0.522
45,The Citadel (SoCon),12,5-7,12,23,0.522
45,UNI (MVFC),12,3-9,12,23,0.522
48,Bryant (CAA),12,2-10,13,25,0.52
48,Bucknell (Patriot),12,6-6,13,25,0.52
50,Colgate (Patriot),12,2-10,14,27,0.519
51,Dayton (Pioneer),11,6-5,15,29,0.517
52,N.C. A&T (CAA),12,1-11,16,31,0.516
53,ETSU (SoCon),12,7-5,16,32,0.5
53,Stetson (Pioneer),11,2-9,16,32,0.5
53,Wagner (NEC),12,4-8,14,28,0.5
53,LIU (NEC),12,4-8,12,24,0.5
53,Lamar University (Southland),12,7-5,11,22,0.5
53,Presbyterian (Pioneer),12,6-6,11,22,0.5
53,Montana St. (Big Sky),16,15-1,10,20,0.5
53,North Dakota (MVFC),12,5-7,10,20,0.5
53,Dartmouth (Ivy League),10,8-2,8,16,0.5
53,Maine (CAA),12,5-7,8,16,0.5
53,South Dakota St. (MVFC),15,12-3,8,16,0.5
53,Mercer (SoCon),14,11-3,7,14,0.5
53,Tennessee St. (OVC),13,9-4,7,14,0.5
53,Chattanooga (SoCon),12,7-5,6,12,0.5
53,Drake (Pioneer),11,8-3,6,12,0.5
53,Florida A&M (SWAC),12,7-5,6,12,0.5
69,New Hampshire (CAA),13,8-5,14,29,0.483
70,Western Caro. (SoCon),12,7-5,11,23,0.478
71,Furman (SoCon),11,3-8,8,17,0.471
71,Robert Morris (NEC),12,7-5,8,17,0.471
73,Norfolk St. (MEAC),12,4-8,7,15,0.467
73,Rhode Island (CAA),14,11-3,7,15,0.467
75,Weber St. (Big Sky),12,4-8,13,28,0.464
76,UIW (Southland),14,11-3,18,39,0.462
76,North Ala. (ASUN),12,3-9,12,26,0.462
76,Alcorn (SWAC),12,6-6,6,13,0.462
76,Missouri St. (MVFC),12,8-4,6,13,0.462
76,Saint Francis (NEC),11,4-7,6,13,0.462
76,Southern Utah (ASUN),12,7-5,6,13,0.462
82,Alabama St. (SWAC),12,7-5,5,11,0.455
83,Eastern Wash. (Big Sky),12,4-8,9,20,0.45
83,Tarleton St. (ASUN),14,10-4,9,20,0.45
85,Fordham (Patriot),12,2-10,16,36,0.444
85,Lafayette (Patriot),12,6-6,16,36,0.444
85,Columbia (Ivy League),10,7-3,8,18,0.444
85,Eastern Ky. (ASUN),13,8-5,8,18,0.444
89,Princeton (Ivy League),10,3-7,11,25,0.44
89,Wofford (SoCon),12,5-7,11,25,0.44
91,Sacred Heart (FCS Independent),11,5-6,7,16,0.438
91,Southern U. (SWAC),13,8-5,7,16,0.438
93,Nicholls (Southland),12,4-8,13,30,0.433
94,Mississippi Val. (SWAC),12,1-11,12,28,0.429
94,Charleston So. (OVC),12,1-11,9,21,0.429
94,Delaware St. (MEAC),12,1-11,9,21,0.429
94,Tennessee Tech (OVC),12,7-5,6,14,0.429
94,Utah Tech (ASUN),12,1-11,6,14,0.429
99,Cal Poly (Big Sky),11,3-8,8,19,0.421
99,Sacramento St. (Big Sky),12,3-9,8,19,0.421
101,Northern Colo. (Big Sky),12,1-11,10,24,0.417
101,Grambling (SWAC),12,5-7,5,12,0.417
103,UAlbany (CAA),12,4-8,11,27,0.407
104,Marist (Pioneer),11,1-10,13,32,0.406
105,Central Conn. St. (NEC),13,7-6,10,25,0.4
105,Eastern Ill. (OVC),12,3-9,10,25,0.4
105,Illinois St. (MVFC),14,10-4,10,25,0.4
105,Austin Peay (ASUN),12,4-8,8,20,0.4
109,SFA (Southland),12,7-5,9,23,0.391
110,Idaho (Big Sky),14,10-4,9,24,0.375
111,Houston Christian (Southland),12,5-7,7,19,0.368
112,Howard (MEAC),12,4-8,11,30,0.367
113,Lehigh (Patriot),13,9-4,7,21,0.333
113,Prairie View (SWAC),12,5-7,5,15,0.333
113,Texas Southern (SWAC),11,5-6,4,12,0.333
116,UC Davis (Big Sky),14,11-3,5,16,0.313
116,Valparaiso (Pioneer),11,4-7,5,16,0.313
118,Georgetown (Patriot),11,5-6,8,26,0.308
119,Northwestern St. (Southland),12,0-12,4,14,0.286
120,Ark.-Pine Bluff (SWAC),12,3-9,5,18,0.278
121,Campbell (CAA),12,3-9,6,23,0.261
122,Southern Ill. (MVFC),12,4-8,7,27,0.259
123,Northern Ariz. (Big Sky),13,8-5,6,26,0.231
