Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
44,Lehigh (Patriot),13,9-4,135,89,21,245
45,Presbyterian (Pioneer),12,6-6,104,105,35,244
46,Brown (Ivy League),10,3-7,92,132,19,243
46,North Ala. (ASUN),12,3-9,94,124,25,243
48,Florida A&M (SWAC),12,7-5,82,132,27,241
49,ETSU (SoCon),12,7-5,114,110,16,240
49,Lafayette (Patriot),12,6-6,113,110,17,240
51,Lamar University (Southland),12,7-5,115,90,34,239
51,McNeese (Southland),12,6-6,117,102,20,239
51,Southeastern La. (Southland),12,7-5,110,94,35,239
51,Southern U. (SWAC),13,8-5,99,118,22,239
55,Bryant (CAA),12,2-10,69,149,19,237
55,Tennessee St. (OVC),13,9-4,85,130,22,237
57,UAlbany (CAA),12,4-8,71,129,35,235
58,Towson (CAA),12,7-5,88,121,23,232
59,Nicholls (Southland),12,4-8,98,102,31,231
60,Central Conn. St. (NEC),13,7-6,96,110,24,230
60,Southern Ill. (MVFC),12,4-8,84,129,17,230
62,Howard (MEAC),12,4-8,97,106,23,226
63,Portland St. (Big Sky),11,3-8,116,90,18,224
64,Holy Cross (Patriot),12,6-6,101,105,17,223
65,Cornell (Ivy League),10,4-6,89,117,16,222
65,Harvard (Ivy League),10,8-2,87,119,16,222
67,Chattanooga (SoCon),12,7-5,90,113,17,220
68,Colgate (Patriot),12,2-10,96,107,16,219
68,San Diego (Pioneer),11,8-3,77,121,21,219
70,New Hampshire (CAA),13,8-5,70,121,27,218
71,Alcorn (SWAC),12,6-6,116,80,21,217
72,Eastern Ill. (OVC),12,3-9,59,139,18,216
73,Ark.-Pine Bluff (SWAC),12,3-9,89,104,22,215
73,Campbell (CAA),12,3-9,84,105,26,215
73,Elon (CAA),12,6-6,83,109,23,215
76,Yale (Ivy League),10,7-3,93,103,17,213
77,Penn (Ivy League),10,4-6,101,94,17,212
77,Samford (SoCon),11,4-7,76,121,15,212
79,Duquesne (NEC),11,8-3,82,115,14,211
80,UNI (MVFC),12,3-9,83,104,23,210
81,Houston Christian (Southland),12,5-7,94,90,24,208
81,N.C. Central (MEAC),11,8-3,94,89,25,208
81,Stetson (Pioneer),11,2-9,53,131,24,208
81,Tennessee Tech (OVC),12,7-5,91,96,21,208
85,N.C. A&T (CAA),12,1-11,71,109,27,207
85,Robert Morris (NEC),12,7-5,76,115,16,207
87,Austin Peay (ASUN),12,4-8,102,89,15,206
88,Fordham (Patriot),12,2-10,88,91,26,205
89,Georgetown (Patriot),11,5-6,78,106,19,203
89,Maine (CAA),12,5-7,72,107,24,203
89,Mississippi Val. (SWAC),12,1-11,72,106,25,203
92,Bethune-Cookman (SWAC),12,2-10,75,95,31,201
92,Drake (Pioneer),11,8-3,54,129,18,201
92,Morgan St. (MEAC),12,6-6,92,92,17,201
95,Columbia (Ivy League),10,7-3,83,100,17,200
95,LIU (NEC),12,4-8,105,81,14,200
97,Dayton (Pioneer),11,6-5,79,106,13,198
97,Prairie View (SWAC),12,5-7,74,98,26,198
99,Indiana St. (MVFC),12,4-8,102,77,17,196
100,Utah Tech (ASUN),12,1-11,61,110,24,195
101,Dartmouth (Ivy League),10,8-2,80,99,15,194
101,Wagner (NEC),12,4-8,79,94,21,194
103,Cal Poly (Big Sky),11,3-8,53,114,24,191
103,Furman (SoCon),11,3-8,68,103,20,191
105,Marist (Pioneer),11,1-10,63,100,27,190
105,The Citadel (SoCon),12,5-7,104,70,16,190
107,Delaware St. (MEAC),12,1-11,85,81,20,186
108,Murray St. (MVFC),12,1-11,82,83,16,181
109,Grambling (SWAC),12,5-7,79,82,19,180
110,Northern Colo. (Big Sky),12,1-11,90,72,16,178
111,Wofford (SoCon),12,5-7,63,97,17,177
112,Norfolk St. (MEAC),12,4-8,86,68,20,174
113,Merrimack (FCS Independent),11,5-6,106,55,12,173
113,Sacred Heart (FCS Independent),11,5-6,104,56,13,173
113,Texas Southern (SWAC),11,5-6,85,67,21,173
116,Alabama St. (SWAC),12,7-5,95,63,13,171
117,Charleston So. (OVC),12,1-11,79,80,11,170
118,Morehead St. (Pioneer),12,7-5,67,81,19,167
119,Princeton (Ivy League),10,3-7,60,84,21,165
120,Saint Francis (NEC),11,4-7,80,71,12,163
121,VMI (SoCon),12,1-11,63,57,21,141
122,Valparaiso (Pioneer),11,4-7,67,59,10,136
123,Northwestern St. (Southland),12,0-12,34,71,22,127
