Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
29,Weber St. (Big Sky),11,6-5,44,40,2,0,12,0,340,30.9
30,Southern Ill. (MVFC),13,8-5,50,44,2,0,18,0,398,30.6
31,Dartmouth (Ivy League),10,9-1,41,39,0,0,7,0,306,30.6
32,Dayton (Pioneer),10,6-4,40,36,2,0,9,1,303,30.5
33,Sacramento St. (Big Sky),12,9-3,43,39,1,0,21,1,360,30.2
34,UT Martin (OVC),13,10-3,53,49,0,0,7,1,388,30
35,Villanova (CAA),13,10-3,49,44,1,0,17,0,389,29.9
36,Bryant (NEC),11,7-4,44,39,2,0,7,1,324,29.6
37,Duquesne (NEC),10,7-3,34,30,0,0,19,2,291,29.5
38,Gardner-Webb (Big South),11,4-7,44,39,1,0,7,0,324,29.5
39,Montana (Big Sky),13,10-3,45,42,2,0,23,0,381,29.3
40,Brown (Ivy League),10,2-8,39,38,1,0,7,0,293,29.3
40,Yale (Ivy League),10,5-5,40,32,3,0,7,0,293,29.3
42,Texas Southern (SWAC),10,2-8,39,38,0,0,6,0,290,29
43,Montana St. (Big Sky),15,12-3,53,48,1,0,20,1,426,28.5
44,Abilene Christian (WAC),11,5-6,39,34,2,0,13,0,307,27.9
45,Florida A&M (SWAC),12,9-3,41,34,0,0,17,1,331,27.8
46,UC Davis (Big Sky),12,8-4,40,33,4,0,19,1,330,27.7
47,Hampton (Big South),11,5-6,40,32,2,0,10,1,302,27.6
48,Portland St. (Big Sky),11,5-6,41,39,0,0,6,0,303,27.5
49,Jackson St. (SWAC),13,11-2,50,46,0,0,4,0,358,27.5
50,Eastern Ky. (ASUN),11,7-4,38,34,3,0,12,0,298,27.1
51,South Dakota (MVFC),12,7-5,41,39,0,0,13,0,324,27
51,Southeast Mo. St. (OVC),11,4-7,37,36,0,0,13,0,297,27
53,Valparaiso (Pioneer),11,4-7,37,32,2,0,12,2,290,26.7
54,Chattanooga (SoCon),11,6-5,37,35,0,0,12,0,293,26.6
55,Stetson (Pioneer),10,3-7,35,33,0,0,6,0,261,26.1
56,Alcorn (SWAC),11,6-5,38,32,1,0,8,0,284,25.8
56,Southern U. (SWAC),11,4-7,36,35,0,0,11,0,284,25.8
58,Campbell (Big South),11,3-8,39,37,0,0,3,1,280,25.6
59,Prairie View (SWAC),12,7-5,38,32,0,0,13,0,305,25.4
60,Idaho (Big Sky),11,4-7,38,37,0,0,4,1,277,25.4
61,Rhode Island (CAA),11,7-4,35,32,1,0,11,0,275,25
61,San Diego (Pioneer),11,7-4,35,25,4,0,12,2,271,25
63,UNI (MVFC),12,6-6,34,33,0,0,20,1,297,24.9
64,South Carolina St. (MEAC),12,7-5,38,34,1,0,11,1,295,24.8
65,Columbia (Ivy League),10,7-3,29,25,1,0,16,0,247,24.7
66,Maine (CAA),11,6-5,33,31,0,2,14,0,271,24.6
67,Youngstown St. (MVFC),10,3-7,32,29,1,0,8,0,245,24.5
68,Northern Ariz. (Big Sky),11,5-6,35,32,1,0,9,0,269,24.5
68,The Citadel (SoCon),11,4-7,37,35,1,0,4,0,269,24.5
70,Furman (SoCon),11,6-5,32,30,0,0,15,0,267,24.3
71,McNeese (Southland),11,4-7,37,29,2,0,5,0,266,24.2
71,Western Ill. (MVFC),11,2-9,35,32,1,0,8,0,266,24.2
73,Elon (CAA),11,6-5,31,28,0,0,17,0,265,24.1
73,North Dakota (MVFC),11,5-6,34,31,2,0,10,0,265,24.1
75,Bethune-Cookman (SWAC),11,2-9,37,30,3,0,4,0,264,24
76,Charleston So. (Big South),10,4-6,32,29,3,0,6,0,239,23.9
77,N.C. Central (MEAC),11,6-5,34,25,3,0,11,0,262,23.8
78,Butler (Pioneer),11,3-8,36,35,1,0,3,0,260,23.6
78,Richmond (CAA),11,6-5,33,29,2,0,11,0,260,23.6
80,Delaware St. (MEAC),11,5-6,37,30,0,0,2,0,258,23.5
80,Howard (MEAC),11,3-8,34,28,1,0,8,1,256,23.5
82,Saint Francis (PA) (NEC),11,5-6,30,25,1,0,15,0,250,22.7
83,N.C. A&T (Big South),11,5-6,31,29,1,0,10,2,245,22.6
84,Marist (Pioneer),10,5-5,30,25,1,0,7,0,226,22.6
85,Jacksonville St. (ASUN),11,5-6,32,29,0,0,7,0,242,22
86,Alabama St. (SWAC),11,5-6,31,30,0,0,8,0,240,21.8
87,William & Mary (CAA),11,6-5,31,26,3,0,9,0,239,21.7
88,Murray St. (OVC),11,6-5,29,25,0,0,12,0,235,21.4
89,Stony Brook (CAA),11,5-6,30,27,0,0,8,1,231,21.2
90,Wofford (SoCon),11,1-10,29,27,0,0,8,0,225,20.5
91,Central Conn. St. (NEC),11,4-7,28,26,1,0,10,0,224,20.4
92,Cornell (Ivy League),10,2-8,25,21,2,0,8,1,195,19.7
93,Ark.-Pine Bluff (SWAC),11,2-9,27,18,1,0,12,0,216,19.6
93,Mississippi Val. (SWAC),11,4-7,27,21,0,0,11,0,216,19.6
95,Sacred Heart (NEC),12,8-4,28,28,0,0,13,0,235,19.6
96,Delaware (CAA),11,5-6,25,23,1,0,14,0,215,19.5
97,Robert Morris (Big South),10,4-6,24,21,3,0,10,0,195,19.5
98,Northwestern St. (Southland),11,3-8,28,25,0,0,7,0,214,19.5
99,Tennessee St. (OVC),11,5-6,27,21,2,0,10,0,213,19.4
99,Towson (CAA),11,4-7,29,27,1,0,4,0,213,19.4
101,Penn (Ivy League),10,3-7,24,23,0,0,8,0,191,19.1
102,Southern Utah (Big Sky),11,1-10,27,23,0,0,8,0,209,19
103,UAlbany (CAA),11,2-9,26,22,0,0,10,0,208,18.9
104,Georgetown (Patriot),10,2-8,24,19,1,1,7,1,184,18.6
105,Colgate (Patriot),11,5-6,26,21,1,0,9,0,204,18.5
106,Illinois St. (MVFC),11,4-7,26,25,0,0,7,0,202,18.4
106,Tennessee Tech (OVC),11,3-8,26,25,0,0,7,0,202,18.4
108,Houston Christian (Southland),11,0-11,23,23,0,0,10,0,191,17.4
109,Grambling (SWAC),11,4-7,20,18,1,1,15,1,183,16.8
110,Lafayette (Patriot),11,3-8,22,20,0,0,10,0,182,16.5
110,New Hampshire (CAA),11,3-8,26,20,0,0,2,0,182,16.5
112,Indiana St. (MVFC),11,5-6,22,19,1,0,6,2,169,15.7
113,Cal Poly (Big Sky),11,2-9,22,18,1,0,5,1,165,15.2
114,Idaho St. (Big Sky),11,1-10,20,19,1,0,9,0,166,15.1
115,Northern Colo. (Big Sky),11,3-8,20,20,0,0,8,0,164,14.9
116,Eastern Ill. (OVC),11,1-10,20,14,1,0,8,0,158,14.4
117,Morgan St. (MEAC),11,2-9,22,17,1,0,1,0,152,13.8
118,LIU (NEC),10,2-8,17,17,0,1,6,0,137,13.7
119,Wagner (NEC),11,0-11,19,15,0,0,4,0,141,12.8
120,Drake (Pioneer),10,2-8,17,16,0,0,3,0,127,12.7
121,Lamar University (WAC),10,1-9,15,14,1,0,5,1,119,12.1
122,Lehigh (Patriot),11,3-8,14,13,0,0,10,0,127,11.5
123,Bucknell (Patriot),11,1-10,13,11,0,0,5,0,104,9.5
