Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
105,North Dakota (MVFC),12,7-5,325,6,128,1
105,South Dakota (MVFC),11,3-8,331,6,38,0
105,Lehigh (Patriot),11,2-9,334,6,97,1
105,Missouri St. (MVFC),11,5-6,347,6,45,0
113,Wofford (SoCon),11,3-8,296,5,23,0
113,Western Ill. (MVFC),11,0-11,305,5,34,0
113,Cornell (Ivy League),10,5-5,307,5,64,2
113,Central Conn. St. (NEC),11,2-9,309,5,41,1
113,Grambling (SWAC),11,3-8,326,5,148,1
113,Nicholls (Southland),11,3-8,353,5,75,1
113,Southern Ill. (MVFC),11,5-6,358,5,43,0
113,Northern Ariz. (Big Sky),11,3-8,359,5,98,0
121,Stony Brook (CAA),11,2-9,347,3,53,1
122,Tennessee Tech (OVC),11,4-7,336,2,2,0
122,Presbyterian (Pioneer),11,1-10,343,2,3,1
