Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
91,Saint Francis (NEC),11,4-7,380,"1,365",3.59,10,124.1
92,Robert Morris (NEC),12,7-5,378,"1,485",3.93,15,123.8
93,Wagner (NEC),12,4-8,396,"1,478",3.73,11,123.2
93,Western Ill. (OVC),12,4-8,397,"1,478",3.72,20,123.2
95,Dayton (Pioneer),11,6-5,421,"1,310",3.11,8,119.1
96,Bucknell (Patriot),12,6-6,415,"1,427",3.44,13,118.9
97,Missouri St. (MVFC),12,8-4,376,"1,423",3.78,25,118.6
98,Ark.-Pine Bluff (SWAC),12,3-9,373,"1,387",3.72,17,115.6
99,Valparaiso (Pioneer),11,4-7,372,"1,264",3.40,13,114.9
100,Samford (SoCon),11,4-7,385,"1,259",3.27,14,114.5
101,N.C. A&T (CAA),12,1-11,403,"1,358",3.37,8,113.2
102,Grambling (SWAC),12,5-7,406,"1,340",3.30,19,111.7
103,Prairie View (SWAC),12,5-7,425,"1,334",3.14,11,111.2
104,Marist (Pioneer),11,1-10,312,"1,204",3.86,10,109.5
105,UAlbany (CAA),12,4-8,387,"1,304",3.37,11,108.7
106,Maine (CAA),12,5-7,382,"1,294",3.39,15,107.8
107,Bethune-Cookman (SWAC),12,2-10,420,"1,265",3.01,12,105.4
108,Bryant (CAA),12,2-10,320,"1,227",3.83,5,102.3
109,Drake (Pioneer),11,8-3,280,"1,119",4.00,14,101.7
110,Tennessee St. (OVC),13,9-4,399,"1,322",3.31,16,101.7
111,Cal Poly (Big Sky),11,3-8,323,"1,118",3.46,9,101.6
112,Princeton (Ivy League),10,3-7,337,"1,008",2.99,15,100.8
113,Utah Tech (ASUN),12,1-11,355,"1,200",3.38,11,100
114,Wofford (SoCon),12,5-7,361,"1,191",3.30,10,99.3
115,VMI (SoCon),12,1-11,382,"1,184",3.10,9,98.7
116,Southeast Mo. St. (OVC),13,9-4,341,"1,213",3.56,13,93.3
117,Furman (SoCon),11,3-8,381,988,2.59,8,89.8
118,New Hampshire (CAA),13,8-5,391,"1,124",2.87,9,86.5
119,Mississippi Val. (SWAC),12,1-11,414,"1,035",2.50,12,86.3
120,Stetson (Pioneer),11,2-9,299,920,3.08,9,83.6
121,Morehead St. (Pioneer),12,7-5,379,916,2.42,9,76.3
122,Eastern Ill. (OVC),12,3-9,346,913,2.64,9,76.1
123,Northwestern St. (Southland),12,0-12,370,715,1.93,8,59.6
