Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
48,UT Martin (OVC),14,9-5,42,39,2,1,14,0,339,24.2
49,Tennessee St. (OVC),13,9-4,38,36,2,1,15,0,315,24.2
50,Wagner (NEC),12,4-8,40,40,0,0,4,0,292,24.3
51,Tarleton St. (ASUN),14,10-4,44,35,5,0,12,0,345,24.6
52,Stony Brook (CAA),12,8-4,40,36,0,0,7,0,297,24.8
53,Presbyterian (Pioneer),12,6-6,42,37,0,0,3,0,298,24.8
54,Grambling (SWAC),12,5-7,35,32,2,0,17,1,299,24.9
54,Towson (CAA),12,7-5,36,32,0,0,17,0,299,24.9
54,Wofford (SoCon),12,5-7,34,32,1,0,19,2,299,24.9
57,Illinois St. (MVFC),14,10-4,45,39,1,0,12,1,349,24.9
58,Idaho (Big Sky),14,10-4,42,38,2,1,18,0,350,25
59,Southeastern La. (Southland),12,7-5,40,35,1,0,9,0,304,25.3
60,Elon (CAA),12,6-6,39,32,3,0,11,0,305,25.4
61,Georgetown (Patriot),11,5-6,34,32,0,0,15,1,283,25.7
62,Montana (Big Sky),14,9-5,44,43,1,1,17,0,362,25.9
63,Samford (SoCon),11,4-7,37,33,0,0,10,0,285,25.9
64,Howard (MEAC),12,4-8,42,34,2,0,8,0,314,26.2
65,Florida A&M (SWAC),12,7-5,39,34,2,0,16,0,320,26.7
66,Charleston So. (OVC),12,1-11,37,30,0,0,23,0,321,26.8
67,Penn (Ivy League),10,4-6,34,26,2,0,11,1,269,26.9
68,Hampton (CAA),12,5-7,42,38,2,1,9,0,323,26.9
69,Valparaiso (Pioneer),11,4-7,38,38,0,0,11,1,301,27.4
70,Central Ark. (ASUN),12,6-6,40,35,1,0,17,1,330,27.5
70,Prairie View (SWAC),12,5-7,39,30,3,0,20,0,330,27.5
72,LIU (NEC),12,4-8,45,40,1,0,7,0,333,27.8
73,Weber St. (Big Sky),12,4-8,43,36,2,0,12,0,334,27.8
74,Alcorn (SWAC),12,6-6,43,42,0,0,12,0,336,28
75,Yale (Ivy League),10,7-3,35,26,3,0,13,0,281,28.1
76,Austin Peay (ASUN),12,4-8,44,41,0,0,11,0,338,28.2
77,UAlbany (CAA),12,4-8,46,40,1,0,7,0,339,28.3
78,Davidson (Pioneer),11,6-5,42,29,1,0,9,1,312,28.4
79,Norfolk St. (MEAC),12,4-8,44,34,1,0,13,1,341,28.4
80,Gardner-Webb (OVC),12,4-8,44,40,2,0,12,0,344,28.7
81,Fordham (Patriot),12,2-10,45,44,0,0,9,3,347,28.9
81,Southern Utah (ASUN),12,7-5,44,40,2,0,13,0,347,28.9
83,North Ala. (ASUN),12,3-9,46,40,1,0,10,1,350,29.2
83,Western Caro. (SoCon),12,7-5,45,43,1,0,11,1,350,29.2
85,Texas Southern (SWAC),11,5-6,39,37,0,0,16,1,321,29.2
86,Maine (CAA),12,5-7,47,42,0,0,11,1,359,29.9
87,Bucknell (Patriot),12,6-6,47,42,3,0,10,1,362,30.2
87,Missouri St. (MVFC),12,8-4,47,43,2,0,11,0,362,30.2
89,Southern Ill. (MVFC),12,4-8,48,45,1,1,10,0,367,30.6
90,Abilene Christian (ASUN),14,9-5,54,45,2,0,18,1,429,30.6
91,Alabama A&M (SWAC),12,6-6,48,44,0,0,12,0,368,30.7
92,North Dakota (MVFC),12,5-7,49,44,3,0,9,0,371,30.9
93,Princeton (Ivy League),10,3-7,41,40,0,0,8,1,312,31.2
94,Cal Poly (Big Sky),11,3-8,42,37,2,0,17,0,344,31.3
95,Colgate (Patriot),12,2-10,50,46,1,0,10,0,378,31.5
96,Indiana St. (MVFC),12,4-8,49,47,1,0,12,0,379,31.6
97,Cornell (Ivy League),10,4-6,40,35,2,0,13,0,318,31.8
98,Campbell (CAA),12,3-9,51,47,1,0,12,0,391,32.6
98,Eastern Ill. (OVC),12,3-9,51,49,0,0,12,0,391,32.6
100,Furman (SoCon),11,3-8,46,43,1,0,13,0,360,32.7
101,VMI (SoCon),12,1-11,50,44,1,0,16,0,394,32.8
102,UNI (MVFC),12,3-9,52,50,2,0,10,0,396,33
103,Monmouth (CAA),12,6-6,51,43,4,0,15,0,402,33.5
104,Brown (Ivy League),10,3-7,46,43,1,0,5,0,336,33.6
105,Bethune-Cookman (SWAC),12,2-10,51,50,1,0,17,0,409,34.1
106,Houston Christian (Southland),12,5-7,54,50,1,0,13,0,415,34.6
107,Sacramento St. (Big Sky),12,3-9,55,52,1,0,11,0,417,34.8
108,Ark.-Pine Bluff (SWAC),12,3-9,55,55,0,0,12,1,423,35.3
109,Bryant (CAA),12,2-10,58,51,4,0,6,1,427,35.6
110,Marist (Pioneer),11,1-10,52,48,1,0,10,0,392,35.6
111,Youngstown St. (MVFC),12,4-8,59,50,1,0,8,0,430,35.8
112,Eastern Wash. (Big Sky),12,4-8,59,54,1,0,8,0,434,36.2
113,Delaware St. (MEAC),12,1-11,58,49,2,0,15,0,446,37.2
114,Stetson (Pioneer),11,2-9,56,51,2,0,7,0,412,37.5
115,Northern Colo. (Big Sky),12,1-11,61,59,1,0,8,1,453,37.8
116,Idaho St. (Big Sky),12,5-7,60,58,0,0,12,0,454,37.8
117,N.C. A&T (CAA),12,1-11,62,54,0,0,10,0,456,38
118,Utah Tech (ASUN),12,1-11,59,55,2,0,19,0,470,39.2
119,Portland St. (Big Sky),11,3-8,59,53,2,0,10,0,441,40.1
120,Mississippi Val. (SWAC),12,1-11,62,59,1,0,16,1,483,40.3
121,Western Ill. (OVC),12,4-8,69,65,0,0,12,0,515,42.9
122,Northwestern St. (Southland),12,0-12,70,69,0,0,18,1,545,45.4
123,Murray St. (MVFC),12,1-11,72,69,1,0,19,0,560,46.7
