Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
35,Samford (SoCon),11,6-5,43,40,0,0,7,0,319,29
36,Butler (Pioneer),11,7-4,38,37,0,0,17,1,318,28.9
36,Rhode Island (CAA),11,6-5,42,39,0,0,9,0,318,28.9
38,Campbell (CAA),11,5-6,43,39,1,0,5,1,316,28.7
38,Grambling (SWAC),11,5-6,42,33,2,0,7,3,316,28.7
40,Howard (MEAC),12,6-6,45,37,3,0,9,1,342,28.5
41,UAlbany (CAA),15,11-4,56,51,0,0,13,0,426,28.4
42,Richmond (CAA),13,9-4,48,45,0,0,11,0,366,28.2
43,Northern Ariz. (Big Sky),11,5-6,42,36,2,0,3,1,303,27.5
44,Chattanooga (SoCon),13,8-5,41,38,2,0,23,0,357,27.5
45,Furman (SoCon),13,10-3,43,41,0,0,19,0,356,27.4
46,Jackson St. (SWAC),11,7-4,39,32,1,0,10,1,300,27.3
47,Saint Francis (PA) (NEC),10,4-6,37,33,1,0,5,0,272,27.2
48,Duquesne (NEC),12,7-5,44,40,0,0,7,0,325,27.1
49,Gardner-Webb (OVC),12,7-5,42,41,0,0,9,1,322,26.8
50,Merrimack (NEC),11,5-6,38,35,0,0,10,1,295,26.8
51,Southeast Mo. St. (OVC),11,4-7,37,35,1,0,11,1,294,26.7
52,Penn (Ivy League),10,6-4,30,27,0,0,17,2,262,26.2
53,Bucknell (Patriot),11,4-7,38,26,5,0,8,0,288,26.2
53,Texas Southern (SWAC),11,3-8,37,33,0,0,11,0,288,26.2
53,UNI (MVFC),11,6-5,33,31,0,0,19,1,288,26.2
56,Kennesaw St. (FCS Independent),9,3-6,31,31,0,0,6,0,235,26.1
57,Houston Christian (Southland),10,5-5,33,31,1,0,10,0,261,26.1
58,Abilene Christian (ASUN),11,5-6,35,34,0,0,14,0,286,26
59,Georgetown (Patriot),11,5-6,37,26,3,0,9,1,283,25.7
59,UC Davis (Big Sky),11,7-4,35,32,1,0,13,0,283,25.7
61,Southern Ill. (MVFC),13,8-5,44,41,0,0,9,0,332,25.5
62,Brown (Ivy League),10,5-5,33,30,0,0,9,0,255,25.5
63,Idaho St. (Big Sky),11,3-8,38,33,2,0,5,0,280,25.5
64,Southeastern La. (Southland),11,3-8,36,30,1,0,10,0,278,25.3
65,Central Conn. St. (NEC),11,3-8,34,30,2,0,13,0,277,25.2
65,Lamar University (Southland),11,6-5,37,33,0,1,6,1,275,25.2
67,Dayton (Pioneer),11,4-7,36,33,1,0,7,1,274,24.9
68,Elon (CAA),11,6-5,34,32,0,0,12,0,272,24.7
69,Mercer (SoCon),13,9-4,41,37,2,0,10,0,317,24.4
70,South Carolina St. (MEAC),11,5-6,36,34,0,0,6,0,268,24.4
71,Nicholls (Southland),11,6-5,35,33,0,0,8,0,267,24.3
72,Weber St. (Big Sky),11,6-5,32,32,0,0,13,1,265,24.1
73,Norfolk St. (MEAC),11,3-8,32,28,2,0,12,2,264,24
73,South Dakota (MVFC),13,10-3,39,39,0,0,13,0,312,24
73,Towson (CAA),11,5-6,32,23,2,0,15,0,264,24
76,Eastern Ill. (OVC),11,8-3,35,25,1,0,7,1,260,23.6
77,Maine (CAA),11,2-9,34,32,1,0,7,0,259,23.5
78,Hampton (CAA),11,5-6,34,31,0,0,7,0,256,23.3
78,Stetson (Pioneer),11,3-8,32,29,1,0,11,0,256,23.3
80,Dartmouth (Ivy League),10,6-4,26,25,0,0,17,0,232,23.2
81,Southern U. (SWAC),11,6-5,34,30,0,0,7,0,255,23.2
82,San Diego (Pioneer),11,4-7,32,24,1,0,11,1,253,23
83,North Ala. (ASUN),11,3-8,35,24,3,0,4,0,252,22.9
84,Colgate (Patriot),11,6-5,33,29,0,0,8,0,251,22.8
85,Tennessee St. (OVC),11,6-5,31,28,0,0,12,0,250,22.7
86,Alcorn (SWAC),11,7-4,30,27,0,0,13,0,246,22.4
87,Morehead St. (Pioneer),11,4-7,32,25,1,0,8,0,243,22.1
88,William & Mary (CAA),11,6-5,27,25,1,0,16,1,239,21.7
89,Presbyterian (Pioneer),11,4-7,27,26,1,0,16,0,238,21.6
90,Alabama St. (SWAC),11,7-4,30,26,0,0,7,0,227,20.6
91,Cal Poly (Big Sky),11,3-8,29,25,0,0,7,3,226,20.5
92,Robert Morris (OVC),11,4-7,30,27,0,0,5,1,224,20.4
93,Princeton (Ivy League),10,5-5,27,24,0,0,3,1,197,19.7
94,LIU (NEC),11,4-7,27,24,0,0,10,0,216,19.6
95,Prairie View (SWAC),12,6-6,29,27,0,0,11,0,234,19.5
96,McNeese (Southland),10,0-10,24,23,0,0,8,0,191,19.1
97,Drake (Pioneer),12,8-4,26,22,0,0,16,0,226,18.8
98,Bethune-Cookman (SWAC),11,3-8,26,24,1,0,7,0,203,18.5
98,Lehigh (Patriot),11,2-9,27,26,0,0,5,0,203,18.5
100,Cornell (Ivy League),10,3-7,20,16,2,0,14,0,182,18.2
101,ETSU (SoCon),11,3-8,25,24,1,0,8,0,200,18.2
102,Delaware St. (MEAC),11,1-10,25,20,2,0,8,0,198,18
103,Valparaiso (Pioneer),11,3-8,25,21,0,0,8,0,195,17.7
104,Wagner (NEC),11,4-7,26,21,0,0,5,0,192,17.5
105,Marist (Pioneer),11,4-7,25,22,0,0,5,2,191,17.4
106,Tennessee Tech (OVC),11,4-7,24,24,0,0,7,0,189,17.2
107,Murray St. (MVFC),11,2-9,22,22,0,0,9,1,183,16.6
108,Morgan St. (MEAC),10,4-6,20,18,1,0,7,0,161,16.1
109,N.C. A&T (CAA),11,1-10,21,18,0,0,11,0,177,16.1
110,Charleston So. (OVC),11,4-7,21,20,0,0,10,0,176,16
111,Columbia (Ivy League),10,3-7,19,16,0,0,8,1,156,15.6
112,Stony Brook (CAA),10,0-10,19,17,0,0,7,0,152,15.2
113,Ark.-Pine Bluff (SWAC),11,2-9,23,21,1,0,2,0,167,15.2
113,VMI (SoCon),11,5-6,22,17,0,0,6,0,167,15.2
115,Northern Colo. (Big Sky),11,0-11,18,15,2,0,9,0,154,14
115,Northwestern St. (Southland),6,0-6,9,9,0,0,7,0,84,14
117,Wofford (SoCon),11,2-9,16,13,2,0,13,0,152,13.8
118,Indiana St. (MVFC),11,1-10,18,12,2,0,8,0,148,13.5
119,Sacred Heart (NEC),11,2-9,15,15,0,0,14,0,147,13.4
120,Western Ill. (MVFC),11,0-11,18,12,0,0,6,0,138,12.5
121,Mississippi Val. (SWAC),11,1-10,17,13,1,0,5,0,132,12
122,The Citadel (SoCon),11,0-11,12,9,1,0,9,0,110,10
