Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
43,North Ala. (ASUN),11,3-8,89,112,27,228
43,South Dakota (MVFC),13,10-3,97,113,18,228
46,Bryant (OVC),11,6-5,69,135,23,227
46,Southern Utah (ASUN),11,6-5,76,128,23,227
48,Monmouth (CAA),11,4-7,87,122,17,226
49,Alabama A&M (SWAC),11,5-6,96,107,22,225
50,Missouri St. (MVFC),11,4-7,62,147,13,222
50,Portland St. (Big Sky),11,5-6,114,87,21,222
52,Eastern Ill. (OVC),11,8-3,73,129,19,221
52,Maine (CAA),11,2-9,49,151,21,221
52,Southeast Mo. St. (OVC),11,4-7,81,112,28,221
55,Nicholls (Southland),11,6-5,86,103,30,219
56,Southeastern La. (Southland),11,3-8,92,109,16,217
57,Butler (Pioneer),11,7-4,111,84,21,216
57,Penn (Ivy League),10,6-4,69,134,13,216
59,Cal Poly (Big Sky),11,3-8,47,148,19,214
59,Grambling (SWAC),11,5-6,95,99,20,214
61,Dayton (Pioneer),11,4-7,108,86,19,213
61,Gardner-Webb (OVC),12,7-5,99,97,17,213
63,Northern Ariz. (Big Sky),11,5-6,92,104,16,212
64,Colgate (Patriot),11,6-5,87,101,23,211
64,Cornell (Ivy League),10,3-7,74,127,10,211
66,Texas Southern (SWAC),11,3-8,106,84,18,208
67,Central Conn. St. (NEC),11,3-8,99,88,19,206
68,Hampton (CAA),11,5-6,108,75,22,205
68,Houston Christian (Southland),10,5-5,93,86,26,205
70,Drake (Pioneer),12,8-4,56,122,26,204
70,Duquesne (NEC),12,7-5,85,96,23,204
70,Lamar University (Southland),11,6-5,92,92,20,204
73,Prairie View (SWAC),12,6-6,105,82,16,203
73,Stetson (Pioneer),11,3-8,59,117,27,203
75,Towson (CAA),11,5-6,79,105,16,200
76,William & Mary (CAA),11,6-5,108,77,11,196
77,Tennessee Tech (OVC),11,4-7,82,89,24,195
78,Alcorn (SWAC),11,7-4,72,107,14,193
78,Norfolk St. (MEAC),11,3-8,101,74,18,193
80,San Diego (Pioneer),11,4-7,87,91,13,191
80,South Carolina St. (MEAC),11,5-6,113,64,14,191
82,Harvard (Ivy League),10,8-2,102,80,8,190
83,Tennessee St. (OVC),11,6-5,83,86,20,189
84,Abilene Christian (ASUN),11,5-6,74,101,13,188
84,VMI (SoCon),11,5-6,81,88,19,188
86,Robert Morris (OVC),11,4-7,59,104,24,187
86,Saint Francis (PA) (NEC),10,4-6,97,78,12,187
86,Yale (Ivy League),10,7-3,83,92,12,187
89,Marist (Pioneer),11,4-7,62,109,15,186
90,Elon (CAA),11,6-5,82,86,16,184
90,Sacred Heart (NEC),11,2-9,94,74,16,184
92,Morehead St. (Pioneer),11,4-7,55,101,27,183
92,Presbyterian (Pioneer),11,4-7,66,90,27,183
94,Ark.-Pine Bluff (SWAC),11,2-9,79,83,20,182
95,Southern U. (SWAC),11,6-5,67,97,16,180
96,Dartmouth (Ivy League),10,6-4,87,80,12,179
96,Lehigh (Patriot),11,2-9,51,103,25,179
98,Indiana St. (MVFC),11,1-10,85,73,20,178
99,Bethune-Cookman (SWAC),11,3-8,80,69,27,176
99,Merrimack (NEC),11,5-6,104,51,21,176
99,Northern Colo. (Big Sky),11,0-11,71,85,20,176
102,McNeese (Southland),10,0-10,69,89,15,173
102,Murray St. (MVFC),11,2-9,73,84,16,173
104,Weber St. (Big Sky),11,6-5,75,73,23,171
105,Valparaiso (Pioneer),11,3-8,57,86,27,170
106,Wagner (NEC),11,4-7,74,85,10,169
107,Western Ill. (MVFC),11,0-11,42,97,27,166
108,The Citadel (SoCon),11,0-11,78,63,24,165
109,Delaware St. (MEAC),11,1-10,67,84,13,164
109,Princeton (Ivy League),10,5-5,66,91,7,164
111,Columbia (Ivy League),10,3-7,80,71,9,160
112,LIU (NEC),11,4-7,87,60,12,159
112,Mississippi Val. (SWAC),11,1-10,67,74,18,159
114,Stony Brook (CAA),10,0-10,52,93,12,157
115,Alabama St. (SWAC),11,7-4,69,77,9,155
116,ETSU (SoCon),11,3-8,81,56,17,154
116,N.C. A&T (CAA),11,1-10,80,55,19,154
118,Kennesaw St. (FCS Independent),9,3-6,92,47,12,151
119,Morgan St. (MEAC),10,4-6,67,61,16,144
119,Wofford (SoCon),11,2-9,65,60,19,144
121,Charleston So. (OVC),11,4-7,64,65,12,141
122,Northwestern St. (Southland),6,0-6,43,47,9,99
