Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
76,Davidson (Pioneer),11,8-3,44,36,3,1,4,1,400,29.3
77,Portland St. (Big Sky),11,5-6,42,37,3,0,10,0,303,29.5
78,New Hampshire (CAA),11,3-8,41,37,1,0,13,1,182,29.6
79,Howard (MEAC),11,3-8,43,37,2,0,9,1,256,29.8
80,Northern Colo. (Big Sky),11,3-8,39,37,2,0,18,0,164,29.9
81,Indiana St. (MVFC),11,5-6,42,39,0,0,13,0,169,30
81,Northern Ariz. (Big Sky),11,5-6,41,37,0,0,15,1,269,30
83,Dayton (Pioneer),10,6-4,38,33,2,0,12,0,303,30.1
84,Gardner-Webb (Big South),11,4-7,43,39,1,0,12,0,324,30.5
85,Mississippi Val. (SWAC),11,4-7,45,40,1,0,8,0,216,30.5
86,Georgetown (Patriot),10,2-8,42,37,1,0,5,0,184,30.6
87,Central Conn. St. (NEC),11,4-7,44,41,1,0,10,0,224,30.6
88,Norfolk St. (MEAC),11,6-5,45,39,1,0,9,0,365,30.7
89,Southern U. (SWAC),11,4-7,43,35,2,0,14,0,284,30.8
90,Southeast Mo. St. (OVC),11,4-7,46,37,2,0,8,0,297,31
90,Stetson (Pioneer),10,3-7,41,34,3,0,8,0,261,31
92,Valparaiso (Pioneer),11,4-7,47,32,7,0,6,0,290,31.5
93,Hampton (Big South),11,5-6,44,41,2,0,12,1,302,31.5
93,Idaho (Big Sky),11,4-7,47,45,1,0,6,0,277,31.5
93,Morgan St. (MEAC),11,2-9,46,40,2,0,9,0,152,31.5
96,Morehead St. (Pioneer),11,7-4,46,34,6,0,8,1,358,31.6
96,Tennessee Tech (OVC),11,3-8,44,40,1,0,14,0,202,31.6
98,Fordham (Patriot),11,6-5,48,44,1,0,5,0,368,31.7
99,Southeastern La. (Southland),13,9-4,59,56,0,0,5,0,584,32.7
100,VMI (SoCon),11,6-5,48,45,1,0,10,0,342,33.2
101,Robert Morris (Big South),10,4-6,45,43,0,0,8,0,195,33.7
102,Idaho St. (Big Sky),11,1-10,47,41,2,0,16,0,166,34.1
102,Northwestern St. (Southland),11,3-8,50,48,0,0,9,0,214,34.1
104,Butler (Pioneer),11,3-8,51,48,1,0,7,0,260,34.3
105,The Citadel (SoCon),11,4-7,49,48,0,0,12,0,269,34.4
106,Wofford (SoCon),11,1-10,48,45,1,0,15,0,225,34.5
107,Alabama A&M (SWAC),10,7-3,48,40,1,0,7,0,375,35.1
108,Youngstown St. (MVFC),10,3-7,47,42,2,1,8,0,245,35.4
109,Bethune-Cookman (SWAC),11,2-9,53,51,0,0,8,0,264,35.7
110,Ark.-Pine Bluff (SWAC),11,2-9,55,49,1,1,10,1,216,37.7
111,Bucknell (Patriot),11,1-10,54,51,0,0,14,0,104,37.9
112,Wagner (NEC),11,0-11,58,52,0,0,8,0,141,38.5
113,Western Ill. (MVFC),11,2-9,56,55,0,0,12,0,266,38.8
114,Cal Poly (Big Sky),11,2-9,57,55,2,0,10,0,165,39.2
115,Southern Utah (Big Sky),11,1-10,57,53,1,0,11,1,209,39.3
116,Samford (SoCon),11,4-7,57,54,0,0,12,1,415,39.5
117,Texas Southern (SWAC),10,2-8,53,47,1,0,10,0,290,39.7
118,Lamar University (WAC),10,1-9,54,53,0,0,7,0,119,39.8
119,LIU (NEC),10,2-8,53,48,3,0,11,0,137,40.5
120,Western Caro. (SoCon),11,4-7,61,61,0,0,9,0,354,41.3
121,Houston Christian (Southland),11,0-11,61,54,0,0,13,0,191,41.7
122,Brown (Ivy League),10,2-8,58,52,2,0,6,1,293,42.4
123,Presbyterian (Pioneer),11,2-9,82,65,5,0,4,3,362,53.2
