Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
38,Holy Cross (Patriot),13,12-1,25,527,0,21.08
39,Missouri St. (MVFC),11,5-6,38,801,1,21.08
40,William & Mary (CAA),13,11-2,37,777,0,21.00
41,San Diego (Pioneer),10,5-5,32,668,1,20.88
42,Georgetown (Patriot),11,2-9,47,980,2,20.85
43,Furman (SoCon),13,10-3,32,666,1,20.81
44,Bethune-Cookman (SWAC),11,2-9,51,"1,058",2,20.75
45,Morgan St. (MEAC),11,4-7,46,954,2,20.74
46,N.C. A&T (Big South),11,7-4,40,829,1,20.72
47,Lehigh (Patriot),11,2-9,35,725,1,20.71
48,Ark.-Pine Bluff (SWAC),11,3-8,37,764,1,20.65
49,Wagner (NEC),11,1-10,42,863,0,20.55
50,Elon (CAA),12,8-4,18,369,0,20.50
51,Cornell (Ivy League),10,5-5,25,512,1,20.48
52,Western Ill. (MVFC),11,0-11,47,961,0,20.45
53,Drake (Pioneer),11,3-8,40,814,0,20.35
54,Rhode Island (CAA),11,7-4,29,588,0,20.28
55,Colgate (Patriot),11,3-8,33,668,0,20.24
56,Kennesaw St. (ASUN),11,5-6,33,665,0,20.15
57,UC Davis (Big Sky),11,6-5,27,540,0,20.00
58,Alabama St. (SWAC),11,6-5,35,699,0,19.97
59,Tennessee St. (OVC),11,4-7,41,816,0,19.90
60,ETSU (SoCon),11,3-8,36,715,0,19.86
61,North Dakota St. (MVFC),15,12-3,27,530,0,19.63
62,Chattanooga (SoCon),11,7-4,17,332,0,19.53
62,Southern Ill. (MVFC),11,5-6,34,664,0,19.53
64,Campbell (Big South),11,5-6,36,703,0,19.53
65,Princeton (Ivy League),10,8-2,10,195,0,19.50
66,Yale (Ivy League),10,8-2,13,253,0,19.46
67,Morehead St. (Pioneer),11,2-9,48,932,0,19.42
68,Dayton (Pioneer),11,8-3,41,795,0,19.39
69,Delaware St. (MEAC),11,5-6,38,735,0,19.34
70,Western Caro. (SoCon),11,6-5,43,831,0,19.33
71,Southern U. (SWAC),12,7-5,38,733,0,19.29
72,Delaware (CAA),13,8-5,28,540,0,19.29
73,Eastern Wash. (Big Sky),11,3-8,34,653,0,19.21
74,The Citadel (SoCon),11,4-7,33,632,0,19.15
75,Lafayette (Patriot),11,4-7,24,458,0,19.08
76,UIW (Southland),14,12-2,40,763,0,19.08
77,Northern Ariz. (Big Sky),11,3-8,29,547,0,18.86
78,Cal Poly (Big Sky),11,2-9,36,678,0,18.83
79,Bucknell (Patriot),11,3-8,37,696,1,18.81
80,Tennessee Tech (OVC),11,4-7,27,506,0,18.74
81,Prairie View (SWAC),11,6-5,41,768,0,18.73
82,Saint Francis (PA) (NEC),12,9-3,36,670,1,18.61
83,Harvard (Ivy League),10,6-4,34,626,0,18.41
84,Howard (MEAC),11,5-6,27,495,1,18.33
85,New Hampshire (CAA),13,9-4,49,896,1,18.29
86,Alabama A&M (SWAC),11,4-7,28,505,0,18.04
87,McNeese (Southland),11,4-7,30,541,0,18.03
88,Wofford (SoCon),11,3-8,29,521,0,17.97
89,Stetson (Pioneer),10,4-6,38,681,1,17.92
90,Marist (Pioneer),11,4-7,44,784,1,17.82
91,Indiana St. (MVFC),11,2-9,16,285,0,17.81
92,Stony Brook (CAA),11,2-9,27,479,0,17.74
93,Northwestern St. (Southland),11,4-7,39,691,0,17.72
94,Duquesne (NEC),11,4-7,29,511,0,17.62
95,VMI (SoCon),11,1-10,37,651,1,17.59
96,Valparaiso (Pioneer),12,5-7,49,861,0,17.57
97,UNI (MVFC),11,6-5,20,350,0,17.50
98,Monmouth (CAA),11,5-6,41,716,0,17.46
99,Northern Colo. (Big Sky),11,3-8,27,470,0,17.41
100,South Dakota St. (MVFC),15,14-1,21,365,0,17.38
101,Idaho St. (Big Sky),11,1-10,16,277,0,17.31
102,Columbia (Ivy League),10,6-4,22,380,1,17.27
103,Grambling (SWAC),11,3-8,48,829,0,17.27
104,Central Conn. St. (NEC),11,2-9,36,620,0,17.22
105,Houston Christian (Southland),11,2-9,23,396,0,17.22
106,LIU (NEC),11,4-7,33,568,0,17.21
107,Sacred Heart (NEC),11,5-6,34,583,0,17.15
108,Brown (Ivy League),10,3-7,17,288,0,16.94
109,Florida A&M (SWAC),11,9-2,28,463,0,16.54
110,UAlbany (CAA),11,3-8,38,627,0,16.50
111,Robert Morris (Big South),11,0-11,39,641,0,16.44
112,Murray St. (OVC),11,2-9,28,457,0,16.32
113,Portland St. (Big Sky),11,4-7,26,420,0,16.15
114,Richmond (CAA),13,9-4,29,462,0,15.93
115,Norfolk St. (MEAC),11,2-9,34,533,0,15.68
116,South Carolina St. (MEAC),11,3-8,35,547,0,15.63
117,Presbyterian (Pioneer),11,1-10,41,623,0,15.20
118,Charleston So. (Big South),10,2-8,19,285,0,15.00
119,North Ala. (ASUN),11,1-10,23,344,0,14.96
120,N.C. Central (MEAC),12,10-2,31,461,0,14.87
121,Alcorn (SWAC),11,5-6,19,257,0,13.53
122,SFA (ASUN),11,6-5,28,364,0,13.00
123,Hampton (CAA),11,4-7,22,255,0,11.59
