Rank,Team,G,W-L,Opp Punt Ret,Opp Punt Ret Yds,Opp Punt Ret TDs,Avg
68,Villanova (CAA),13,10-3,14,120,0,8.57
69,Towson (CAA),11,4-7,16,139,1,8.69
70,San Diego (Pioneer),11,7-4,16,140,1,8.75
71,N.C. A&T (Big South),11,5-6,10,89,1,8.90
72,Robert Morris (Big South),10,4-6,16,143,0,8.94
73,Harvard (Ivy League),10,8-2,7,64,1,9.14
74,Western Ill. (MVFC),11,2-9,17,156,1,9.18
75,Butler (Pioneer),11,3-8,8,74,0,9.25
75,Jacksonville St. (ASUN),11,5-6,16,148,0,9.25
77,UT Martin (OVC),13,10-3,23,214,0,9.30
78,Penn (Ivy League),10,3-7,13,121,1,9.31
79,Eastern Ill. (OVC),11,1-10,21,204,1,9.71
80,Northern Colo. (Big Sky),11,3-8,23,225,0,9.78
81,Southeast Mo. St. (OVC),11,4-7,12,118,1,9.83
82,Valparaiso (Pioneer),11,4-7,20,197,2,9.85
83,Bethune-Cookman (SWAC),11,2-9,16,159,0,9.94
84,Morehead St. (Pioneer),11,7-4,13,130,0,10.00
85,Bucknell (Patriot),11,1-10,15,151,0,10.07
86,Gardner-Webb (Big South),11,4-7,11,111,0,10.09
87,Howard (MEAC),11,3-8,12,122,1,10.17
88,Wagner (NEC),11,0-11,26,268,1,10.31
89,Monmouth (Big South),11,7-4,15,156,1,10.40
89,SFA (WAC),12,8-4,10,104,0,10.40
91,Northern Ariz. (Big Sky),11,5-6,30,313,0,10.43
92,Morgan St. (MEAC),11,2-9,17,179,0,10.53
93,South Carolina St. (MEAC),12,7-5,33,351,1,10.64
94,Florida A&M (SWAC),12,9-3,13,139,0,10.69
95,Central Ark. (ASUN),11,5-6,24,257,0,10.71
95,Eastern Ky. (ASUN),11,7-4,24,257,1,10.71
97,Charleston So. (Big South),10,4-6,26,279,0,10.73
98,LIU (NEC),10,2-8,13,140,1,10.77
99,Furman (SoCon),11,6-5,12,131,0,10.92
100,Delaware (CAA),11,5-6,25,283,3,11.32
101,Southeastern La. (Southland),13,9-4,10,114,0,11.40
102,Presbyterian (Pioneer),11,2-9,3,35,1,11.67
103,Delaware St. (MEAC),11,5-6,24,283,2,11.79
104,Indiana St. (MVFC),11,5-6,21,252,0,12.00
105,Tennessee St. (OVC),11,5-6,26,314,2,12.08
106,Lamar University (WAC),10,1-9,18,221,1,12.28
107,Idaho (Big Sky),11,4-7,15,186,2,12.40
108,UAlbany (CAA),11,2-9,19,238,3,12.53
109,Mercer (SoCon),10,7-3,9,117,1,13.00
110,VMI (SoCon),11,6-5,24,313,1,13.04
111,Portland St. (Big Sky),11,5-6,16,209,0,13.06
112,Alcorn (SWAC),11,6-5,19,252,2,13.26
113,Columbia (Ivy League),10,7-3,19,265,2,13.95
114,Prairie View (SWAC),12,7-5,26,384,1,14.77
115,Southern Utah (Big Sky),11,1-10,20,299,0,14.95
116,Sacred Heart (NEC),12,8-4,18,278,1,15.44
117,Grambling (SWAC),11,4-7,15,237,1,15.80
118,Ark.-Pine Bluff (SWAC),11,2-9,23,368,1,16.00
118,The Citadel (SoCon),11,4-7,10,160,1,16.00
120,Norfolk St. (MEAC),11,6-5,12,196,2,16.33
121,UNI (MVFC),12,6-6,3,52,0,17.33
122,Alabama A&M (SWAC),10,7-3,9,160,0,17.78
123,Mississippi Val. (SWAC),11,4-7,23,470,3,20.43
