Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
68,Chattanooga (SoCon),13,8-5,13,92,0,7.08
69,Bucknell (Patriot),11,4-7,18,127,0,7.06
69,Sacramento St. (Big Sky),13,8-5,18,127,0,7.06
71,South Carolina St. (MEAC),11,5-6,21,147,1,7.00
72,South Dakota (MVFC),13,10-3,8,54,0,6.75
73,Indiana St. (MVFC),11,1-10,11,74,0,6.73
73,Marist (Pioneer),11,4-7,11,74,0,6.73
75,Eastern Ill. (OVC),11,8-3,6,40,0,6.67
76,Valparaiso (Pioneer),11,3-8,25,163,1,6.52
77,Youngstown St. (MVFC),13,8-5,15,96,1,6.40
78,Princeton (Ivy League),10,5-5,15,95,0,6.33
79,VMI (SoCon),11,5-6,16,101,0,6.31
80,Towson (CAA),11,5-6,10,62,0,6.20
81,San Diego (Pioneer),11,4-7,13,79,0,6.08
82,Northern Colo. (Big Sky),11,0-11,11,65,0,5.91
83,Norfolk St. (MEAC),11,3-8,3,17,0,5.67
84,Dayton (Pioneer),11,4-7,10,55,0,5.50
85,Prairie View (SWAC),12,6-6,15,82,0,5.47
86,Murray St. (MVFC),11,2-9,7,38,0,5.43
87,Maine (CAA),11,2-9,11,59,0,5.36
88,UT Martin (OVC),11,8-3,17,91,0,5.35
89,Monmouth (CAA),11,4-7,7,37,0,5.29
90,Colgate (Patriot),11,6-5,13,68,0,5.23
91,Hampton (CAA),11,5-6,5,25,0,5.00
91,Nicholls (Southland),11,6-5,9,45,0,5.00
93,Wofford (SoCon),11,2-9,11,54,0,4.91
94,Eastern Wash. (Big Sky),11,4-7,10,49,0,4.90
95,Abilene Christian (ASUN),11,5-6,11,52,1,4.73
96,Bethune-Cookman (SWAC),11,3-8,7,33,0,4.71
97,Northwestern St. (Southland),6,0-6,3,14,0,4.67
98,Southern Utah (ASUN),11,6-5,18,83,1,4.61
99,McNeese (Southland),10,0-10,10,46,0,4.60
100,Holy Cross (Patriot),11,7-4,12,54,0,4.50
100,North Dakota (MVFC),12,7-5,4,18,0,4.50
102,Penn (Ivy League),10,6-4,18,78,0,4.33
103,Robert Morris (OVC),11,4-7,16,67,0,4.19
104,Butler (Pioneer),11,7-4,10,41,1,4.10
105,SFA (ASUN),11,3-8,8,31,0,3.88
106,North Ala. (ASUN),11,3-8,14,54,0,3.86
107,Villanova (CAA),13,10-3,13,48,0,3.69
108,Tennessee Tech (OVC),11,4-7,20,73,0,3.65
109,Southern Ill. (MVFC),13,8-5,20,71,0,3.55
110,UNI (MVFC),11,6-5,8,28,0,3.50
111,Duquesne (NEC),12,7-5,19,66,0,3.47
112,Central Ark. (ASUN),11,7-4,12,35,0,2.92
113,Presbyterian (Pioneer),11,4-7,16,44,0,2.75
114,Sacred Heart (NEC),11,2-9,13,35,0,2.69
115,Illinois St. (MVFC),11,6-5,12,28,0,2.33
116,William & Mary (CAA),11,6-5,17,39,0,2.29
117,Alcorn (SWAC),11,7-4,9,20,0,2.22
118,Bryant (OVC),11,6-5,7,14,1,2.00
119,Stetson (Pioneer),11,3-8,6,10,0,1.67
120,Eastern Ky. (ASUN),11,5-6,4,0,0,0.00
120,The Citadel (SoCon),11,0-11,4,0,0,0.00
122,Wagner (NEC),11,4-7,12,-23,0,-1.92
