Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
61,Duquesne (NEC),12,7-5,289,147,19,"2,466",8.53,16.78,23,205.5
62,Nicholls (Southland),11,6-5,324,184,13,"2,251",6.95,12.23,14,204.6
63,Elon (CAA),11,6-5,283,159,6,"2,248",7.94,14.14,21,204.4
64,Holy Cross (Patriot),11,7-4,254,155,7,"2,227",8.77,14.37,25,202.5
65,South Dakota (MVFC),13,10-3,297,194,7,"2,627",8.85,13.54,15,202.1
66,Robert Morris (OVC),11,4-7,353,225,9,"2,210",6.26,9.82,21,200.9
67,North Dakota St. (MVFC),15,11-4,319,226,4,"2,977",9.33,13.17,22,198.5
68,Montana (Big Sky),15,13-2,410,247,9,"2,967",7.24,12.01,18,197.8
69,Towson (CAA),11,5-6,337,194,7,"2,161",6.41,11.14,14,196.5
70,Colgate (Patriot),11,6-5,351,214,13,"2,146",6.11,10.03,14,195.1
71,Howard (MEAC),12,6-6,343,201,8,"2,337",6.81,11.63,17,194.8
72,Saint Francis (PA) (NEC),10,4-6,256,150,11,"1,915",7.48,12.77,20,191.5
73,McNeese (Southland),10,0-10,293,155,11,"1,909",6.52,12.32,11,190.9
74,Yale (Ivy League),10,7-3,259,165,8,"1,897",7.32,11.50,23,189.7
75,Furman (SoCon),13,10-3,408,243,8,"2,466",6.04,10.15,17,189.7
76,Alabama St. (SWAC),11,7-4,269,177,8,"2,073",7.71,11.71,15,188.5
77,Lamar University (Southland),11,6-5,262,158,9,"2,054",7.84,13.00,17,186.7
78,Abilene Christian (ASUN),11,5-6,322,171,7,"2,047",6.36,11.97,18,186.1
79,Western Ill. (MVFC),11,0-11,346,208,9,"2,022",5.84,9.72,13,183.8
80,Gardner-Webb (OVC),12,7-5,395,214,11,"2,198",5.56,10.27,19,183.2
81,VMI (SoCon),11,5-6,316,190,10,"2,010",6.36,10.58,7,182.7
82,Northwestern St. (Southland),6,0-6,211,115,10,"1,093",5.18,9.50,4,182.2
83,Texas Southern (SWAC),11,3-8,296,166,8,"2,001",6.76,12.05,15,181.9
84,Delaware St. (MEAC),11,1-10,286,166,13,"1,995",6.98,12.02,12,181.4
84,Lehigh (Patriot),11,2-9,369,187,14,"1,995",5.41,10.67,14,181.4
86,Montana St. (Big Sky),12,8-4,239,140,4,"2,172",9.09,15.51,20,181
87,Prairie View (SWAC),12,6-6,252,136,12,"2,118",8.40,15.57,9,176.5
88,Murray St. (MVFC),11,2-9,300,167,11,"1,939",6.46,11.61,14,176.3
89,Mercer (SoCon),13,9-4,308,203,5,"2,288",7.43,11.27,11,176
89,Tennessee Tech (OVC),11,4-7,360,188,14,"1,936",5.38,10.30,10,176
91,Northern Colo. (Big Sky),11,0-11,332,190,10,"1,933",5.82,10.17,11,175.7
92,Lafayette (Patriot),12,9-3,279,181,6,"2,095",7.51,11.57,20,174.6
93,Harvard (Ivy League),10,8-2,244,131,9,"1,733",7.10,13.23,16,173.3
94,Weber St. (Big Sky),11,6-5,304,172,8,"1,857",6.11,10.80,12,168.8
95,Norfolk St. (MEAC),11,3-8,259,129,10,"1,852",7.15,14.36,18,168.4
96,Valparaiso (Pioneer),11,3-8,303,163,13,"1,847",6.10,11.33,16,167.9
97,Dayton (Pioneer),11,4-7,320,186,12,"1,841",5.75,9.90,15,167.4
98,Wagner (NEC),11,4-7,307,164,9,"1,834",5.97,11.18,14,166.7
99,Butler (Pioneer),11,7-4,288,181,7,"1,829",6.35,10.10,14,166.3
100,Central Conn. St. (NEC),11,3-8,264,148,9,"1,818",6.89,12.28,13,165.3
101,Portland St. (Big Sky),11,5-6,248,154,7,"1,780",7.18,11.56,17,161.8
102,Dartmouth (Ivy League),10,6-4,282,177,8,"1,603",5.68,9.06,6,160.3
103,William & Mary (CAA),11,6-5,240,140,4,"1,759",7.33,12.56,12,159.9
104,Mississippi Val. (SWAC),11,1-10,306,182,10,"1,748",5.71,9.60,8,158.9
105,Ark.-Pine Bluff (SWAC),11,2-9,305,168,8,"1,715",5.62,10.21,10,155.9
106,Tennessee St. (OVC),11,6-5,311,165,8,"1,706",5.49,10.34,8,155.1
107,Davidson (Pioneer),11,7-4,208,144,10,"1,699",8.17,11.80,19,154.5
108,Indiana St. (MVFC),11,1-10,266,142,14,"1,582",5.95,11.14,7,143.8
109,Hampton (CAA),11,5-6,254,132,14,"1,570",6.18,11.89,13,142.7
110,LIU (NEC),11,4-7,224,122,11,"1,549",6.92,12.70,13,140.8
111,Charleston So. (OVC),11,4-7,264,127,8,"1,534",5.81,12.08,8,139.5
112,Columbia (Ivy League),10,3-7,303,151,6,"1,389",4.58,9.20,6,138.9
113,Kennesaw St. (FCS Independent),9,3-6,169,87,3,"1,243",7.36,14.29,8,138.1
114,Morgan St. (MEAC),10,4-6,264,125,9,"1,381",5.23,11.05,8,138.1
115,The Citadel (SoCon),11,0-11,262,136,9,"1,507",5.75,11.08,6,137
116,Bethune-Cookman (SWAC),11,3-8,306,167,10,"1,483",4.85,8.88,9,134.8
117,Sacred Heart (NEC),11,2-9,291,152,11,"1,464",5.03,9.63,5,133.1
118,South Carolina St. (MEAC),11,5-6,215,106,11,"1,396",6.49,13.17,13,126.9
119,Wofford (SoCon),11,2-9,252,137,7,"1,368",5.43,9.99,5,124.4
120,Merrimack (NEC),11,5-6,190,88,4,"1,302",6.85,14.80,10,118.4
121,ETSU (SoCon),11,3-8,229,102,12,"1,277",5.58,12.52,6,116.1
122,N.C. A&T (CAA),11,1-10,200,102,8,"1,154",5.77,11.31,5,104.9
