Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
93,N.C. A&T (CAA),11,1-10,43,38,1,0,12,1,336,30.5
94,Duquesne (NEC),12,7-5,49,45,1,0,9,0,368,30.7
94,Prairie View (SWAC),12,6-6,47,44,0,0,14,0,368,30.7
96,Central Conn. St. (NEC),11,3-8,46,41,1,0,8,0,343,31.2
96,Lehigh (Patriot),11,2-9,43,39,2,0,14,0,343,31.2
98,SFA (ASUN),11,3-8,45,41,0,0,12,1,349,31.7
99,ETSU (SoCon),11,3-8,44,44,0,0,14,0,350,31.8
100,Towson (CAA),11,5-6,44,38,2,0,16,1,356,32.4
101,Colgate (Patriot),11,6-5,48,37,2,0,10,0,359,32.6
101,Portland St. (Big Sky),11,5-6,46,40,2,0,13,0,359,32.6
103,Maine (CAA),11,2-9,48,45,0,0,9,0,360,32.7
103,North Ala. (ASUN),11,3-8,45,41,2,0,15,0,360,32.7
103,Texas Southern (SWAC),11,3-8,48,44,2,0,8,0,360,32.7
106,Eastern Ky. (ASUN),11,5-6,48,43,2,0,10,0,365,33.2
107,Ark.-Pine Bluff (SWAC),11,2-9,48,46,0,0,10,1,366,33.3
107,Campbell (CAA),11,5-6,50,46,1,0,6,0,366,33.3
109,Northern Colo. (Big Sky),11,0-11,51,47,1,0,4,0,367,33.4
110,Bucknell (Patriot),11,4-7,49,45,0,0,10,1,371,33.7
111,The Citadel (SoCon),11,0-11,50,49,1,0,9,0,378,34.4
112,Murray St. (MVFC),11,2-9,52,48,1,0,7,0,383,34.8
113,Hampton (CAA),11,5-6,52,44,2,0,9,1,389,35.4
114,Northwestern St. (Southland),6,0-6,27,24,0,0,9,0,213,35.5
115,Eastern Wash. (Big Sky),11,4-7,53,47,1,0,8,3,397,36.1
116,Stetson (Pioneer),11,3-8,52,45,1,0,15,1,406,36.9
117,Delaware St. (MEAC),11,1-10,54,51,2,0,12,0,415,37.7
118,McNeese (Southland),10,0-10,51,49,0,0,8,1,381,38.1
119,Stony Brook (CAA),10,0-10,53,50,0,0,8,0,392,39.2
120,Cal Poly (Big Sky),11,3-8,57,56,0,0,12,0,434,39.5
121,Idaho St. (Big Sky),11,3-8,58,55,0,0,10,2,437,39.7
122,Western Ill. (MVFC),11,0-11,68,64,1,0,11,1,509,46.3
