Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
103,Chattanooga (SoCon),11,7-4,11,44,1,4.00
103,Lehigh (Patriot),11,2-9,19,76,1,4.00
105,Bryant (Big South),11,4-7,12,46,0,3.83
105,Cornell (Ivy League),10,5-5,6,23,0,3.83
107,Maine (CAA),11,2-9,12,42,0,3.50
108,Youngstown St. (MVFC),11,7-4,14,45,0,3.21
109,Norfolk St. (MEAC),11,2-9,5,16,0,3.20
110,Valparaiso (Pioneer),12,5-7,11,35,0,3.18
111,Dartmouth (Ivy League),10,3-7,8,25,1,3.12
112,Tennessee Tech (OVC),11,4-7,16,44,0,2.75
113,Wagner (NEC),11,1-10,4,10,0,2.50
114,McNeese (Southland),11,4-7,8,18,0,2.25
115,Bethune-Cookman (SWAC),11,2-9,6,13,0,2.17
116,Drake (Pioneer),11,3-8,12,25,0,2.08
117,Illinois St. (MVFC),11,6-5,10,16,1,1.60
118,Houston Christian (Southland),11,2-9,12,16,0,1.33
119,Eastern Wash. (Big Sky),11,3-8,4,5,0,1.25
119,Mississippi Val. (SWAC),11,2-9,8,10,0,1.25
121,Alcorn (SWAC),11,5-6,3,3,0,1.00
122,Southern Ill. (MVFC),11,5-6,3,2,0,0.67
123,Villanova (CAA),11,6-5,8,-1,0,-0.12
