Rank,Team,G,W-L,Penalties,PYards,YPG
92,Central Conn. St. (NEC),11,3-8,75,657,59.73
93,Western Caro. (SoCon),11,7-4,75,658,59.82
94,UAlbany (CAA),15,11-4,96,898,59.87
95,Mississippi Val. (SWAC),11,1-10,77,663,60.27
96,Stony Brook (CAA),10,0-10,75,605,60.50
97,Murray St. (MVFC),11,2-9,66,668,60.73
98,South Dakota St. (MVFC),15,15-0,98,925,61.67
99,Wofford (SoCon),11,2-9,82,679,61.73
100,Montana (Big Sky),15,13-2,96,926,61.73
101,Presbyterian (Pioneer),11,4-7,76,683,62.09
102,Southern Utah (ASUN),11,6-5,71,684,62.18
103,Alcorn (SWAC),11,7-4,72,693,63.00
103,Georgetown (Patriot),11,5-6,79,693,63.00
105,Kennesaw St. (FCS Independent),9,3-6,59,570,63.33
106,Morgan St. (MEAC),10,4-6,66,648,64.80
107,Fordham (Patriot),11,6-5,86,713,64.82
108,Jackson St. (SWAC),11,7-4,82,730,66.36
109,Northern Ariz. (Big Sky),11,5-6,86,739,67.18
110,North Ala. (ASUN),11,3-8,80,746,67.82
111,Drake (Pioneer),12,8-4,96,816,68.00
112,Southeast Mo. St. (OVC),11,4-7,73,768,69.82
113,New Hampshire (CAA),11,6-5,80,775,70.45
114,Towson (CAA),11,5-6,89,779,70.82
115,Weber St. (Big Sky),11,6-5,90,799,72.64
116,Central Ark. (ASUN),11,7-4,88,835,75.91
117,Florida A&M (SWAC),13,12-1,112,"1,008",77.54
118,San Diego (Pioneer),11,4-7,99,862,78.36
119,Southern U. (SWAC),11,6-5,93,865,78.64
120,UIW (Southland),10,8-2,85,788,78.80
121,Texas Southern (SWAC),11,3-8,95,889,80.82
122,Grambling (SWAC),11,5-6,108,900,81.82
