Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
12-Nov,3:30 PM,Maryland at Penn State,Penn State,10.6,73%,33-22,Penn State -12,Maryland,1.4,57.0,Under,-1.6
12-Nov,3:30 PM,Miami-FL at Georgia Tech,Miami-FL,7.1,66%,30-22,Georgia Tech -1.5,Miami-FL,8.6,44.5,Over,7.5
12-Nov,3:30 PM,Nebraska at Michigan,Michigan,29.9,96%,42-12,Michigan -29,Michigan,0.9,52.0,Over,1.7
12-Nov,3:30 PM,New Mexico at Air Force,Air Force,27.0,94%,34-7,Air Force -24,Air Force,3.0,38.5,Over,2.4
12-Nov,3:30 PM,North Texas at UAB,UAB,5.9,63%,32-26,UAB -6,North Texas,0.1,57.5,Over,0.7
12-Nov,3:30 PM,Northwestern at Minnesota,Minnesota,26.4,94%,35-9,Minnesota -17.5,Minnesota,8.9,41.0,Over,2.9
12-Nov,3:30 PM,UCF at Tulane,UCF,1.0,52%,26-25,Tulane -2,UCF,3.0,51.5,Under,-0.9
12-Nov,3:30 PM,Wisconsin at Iowa,Iowa,2.3,55%,21-19,Iowa -1,Iowa,1.3,36.0,Over,3.6
12-Nov,4:00 PM,South Carolina at Florida,Florida,3.0,57%,31-28,Florida -8,South Carolina,5.0,59.0,Under,-0.3
12-Nov,5:00 PM,Texas State at South Alabama,South Alabama,18.4,86%,33-14,South Alabama -16,South Alabama,2.4,47.5,Under,-0.4
12-Nov,7:00 PM,Florida Atlantic at Florida International,Florida Atlantic,13,77%,34-21,Florida Atlantic -15.5,Florida International,2.5,54.5,Over,0.7
12-Nov,7:00 PM,Georgia at Mississippi State,Georgia,16.4,83%,34-18,Georgia -16.5,Mississippi State,0.1,52.5,Under,-0.1
12-Nov,7:00 PM,Kansas at Texas Tech,Texas Tech,0.6,51%,32-31,Texas Tech -4,Kansas,3.4,65,Under,-1.4
12-Nov,7:00 PM,Kansas State at Baylor,Baylor,1.7,54%,28-26,Baylor -3,Kansas State,1.3,53,Over,1.3
12-Nov,7:00 PM,Washington at Oregon,Oregon,11.7,75%,37-26,Oregon -12.5,Washington,0.8,70,Under,-6.8
12-Nov,7:00 PM,Wyoming at Colorado State,Wyoming,10.4,73%,29-18,Wyoming -9,Wyoming,1.4,42,Over,5.3
12-Nov,7:30 PM,North Carolina at Wake Forest,Wake Forest,2,54%,37-35,Wake Forest -3.5,North Carolina,1.5,76.5,Under,-4.7
12-Nov,7:30 PM,Southern Miss at Coastal Carolina,Coastal Carolina,11,74%,32-22,Coastal Carolina -11.5,Southern Miss,0.5,54,Under,0
12-Nov,7:30 PM,TCU at Texas,Texas,4.8,61%,34-29,Texas -7.5,TCU,2.7,65,Under,-1.4
12-Nov,7:30 PM,Texas A&M at Auburn,Texas A&M,2.7,56%,28-25,Auburn -2,Texas A&M,4.7,49.5,Over,3.9
12-Nov,8:00 PM,Florida State at Syracuse,Florida State,4.9,61%,28-23,Florida State -7,Syracuse,2.1,51.5,Under,-0.9
12-Nov,9:00 PM,California at Oregon State,Oregon State,15.3,81%,33-17,Oregon State -13.5,Oregon State,1.8,49,Over,1
12-Nov,10:00 PM,Stanford at Utah,Utah,25.2,93%,43-17,Utah -23,Utah,2.2,53,Over,7.1
12-Nov,10:30 PM,Arizona at UCLA,UCLA,27.6,94%,49-21,UCLA -19.5,UCLA,8.1,77.5,Under,-7.9
12-Nov,10:30 PM,Boise State at Nevada,Boise State,20.4,88%,34-14,Boise State -21,Nevada,0.6,48,Under,-0.5
12-Nov,10:30 PM,San Jose State at San Diego State,San Jose State,1.6,54%,21-19,San Jose State -1.5,San Jose State,0.1,39.5,Over,1
12-Nov,11:00 PM,Utah State at Hawaii,Utah State,10,72%,32-22,Utah State -11,Hawaii,1,55,Under,-1.1
