Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Arkansas,SEC,SEC West,3-0,14.8,21,37.0,16,22.0,36,-0.2,96,,24-Sep,2:00 PM,UCLA at Colorado,UCLA,24.2,92%,41-17,UCLA -21.5,UCLA,2.7,58.0,Over,0.1
LSU,SEC,SEC West,2-1,14.6,22,34.1,28,19.1,23,-0.3,125,,24-Sep,3:30 PM,Florida at Tennessee,Tennessee,12.4,76%,38-25,Tennessee -10,Tennessee,2.4,63.5,Under,-0.6
Mississippi State,SEC,SEC West,2-1,14.5,23,34.0,29,19.8,28,0.4,4,,24-Sep,3:30 PM,Florida International at Western Kentucky,Western Kentucky,36.5,98%,51-14,Western Kentucky -28.5,Western Kentucky,8.0,66.5,Under,-1.0
Michigan State,Big Ten,Big Ten East,2-1,14.5,24,36.3,20,21.5,33,-0.3,122,,24-Sep,3:30 PM,Indiana at Cincinnati,Cincinnati,22.2,90%,38-15,Cincinnati -15.5,Cincinnati,6.7,54.0,Under,-1.1
Baylor,Big 12,Big 12,2-1,14.2,25,30.1,54,15.7,12,-0.2,100,,24-Sep,3:30 PM,James Madison at Appalachian State,Appalachian State,8.4,69%,33-25,Appalachian State -8,Appalachian State,0.4,56.5,Over,1.8
USC,Pac-12,Pac-12,3-0,13.5,26,37.1,15,23.4,46,-0.2,90,,24-Sep,3:30 PM,Middle Tennessee at Miami-FL,Miami-FL,24.7,92%,40-15,Miami-FL -26,Middle Tennessee,1.3,53.5,Over,1.7
Miami-FL,ACC,ACC Coastal,2-1,13.3,27,34.4,27,21.5,32,0.3,12,,24-Sep,3:30 PM,Minnesota at Michigan State,Michigan State,0.2,50%,26-26,Minnesota -1.5,Michigan State,1.7,51.0,Over,0.3
Kansas State,Big 12,Big 12,2-1,12.6,28,28.7,64,15.8,13,-0.3,106,,24-Sep,3:30 PM,North Texas at Memphis,Memphis,12.4,76%,38-26,Memphis -12.5,North Texas,0.1,68.5,Under,-4.5
UCLA,Pac-12,Pac-12,3-0,12.3,29,36.9,17,24.5,50,-0.1,83,,24-Sep,3:30 PM,Notre Dame at North Carolina,Notre Dame,5.7,63%,33-27,Notre Dame -1,Notre Dame,4.7,59.5,Under,-0.1
Pittsburgh,ACC,ACC Coastal,2-1,12.2,30,39.5,7,26.9,61,-0.4,128,,24-Sep,3:30 PM,Texas at Texas Tech,Texas,8.9,70%,34-25,Texas -4.5,Texas,4.4,60.0,Under,-1.2
Iowa,Big Ten,Big Ten West,2-1,11.7,31,23.3,95,11.8,3,0.2,30,,24-Sep,3:30 PM,Texas Southern at UTSA,UTSA,41.3,99%,56-15,,,,,,
BYU,Indies,Independents,2-1,11.6,32,34.6,26,22.6,42,-0.3,117,,24-Sep,3:30 PM,Toledo at San Diego State,Toledo,3.6,58%,26-22,Toledo -1,Toledo,2.6,46.5,Over,1.3
Florida,SEC,SEC East,2-1,10.9,33,35.6,22,25.0,53,0.2,37,,24-Sep,4:00 PM,Georgia Tech at UCF,UCF,22.4,90%,39-17,UCF -18,UCF,4.4,57.5,Under,-1.5
Auburn,SEC,SEC West,2-1,10.7,34,31.6,42,21.2,30,0.4,11,,24-Sep,4:00 PM,Oregon at Washington State,Oregon,8.9,70%,30-21,Oregon -6,Oregon,2.9,53.5,Under,-2.6
Washington,Pac-12,Pac-12,3-0,10.3,35,28.5,65,18.3,21,0.1,52,,24-Sep,4:00 PM,Sacramento State at Colorado State,Sacramento State,4.9,61%,29-24,,,,,,
Iowa State,Big 12,Big 12,3-0,10.3,36,30.1,53,19.6,26,-0.2,101,,24-Sep,4:00 PM,Tulsa at Ole Miss,Ole Miss,26.2,94%,41-15,Ole Miss -20.5,Ole Miss,5.7,62.0,Under,-6.4
Purdue,Big Ten,Big Ten West,1-2,10.2,37,33.8,31,23.4,45,-0.2,92,,24-Sep,5:30 PM,Arizona at California,California,11.5,75%,27-15,California -6,California,5.5,48.0,Under,-6.4
SMU,AAC,AAC,2-1,10.1,38,36.8,18,27.0,64,0.3,20,,24-Sep,6:00 PM,Akron at Liberty,Liberty,29.9,96%,43-13,Liberty -27,Liberty,2.9,58.5,Under,-2.7
Maryland,Big Ten,Big Ten East,3-0,9.4,39,34.7,25,25.7,56,0.4,3,,24-Sep,6:00 PM,Arkansas State at Old Dominion,Old Dominion,8.8,69%,35-26,Old Dominion -3.5,Old Dominion,5.3,56.5,Over,4.1
TCU,Big 12,Big 12,2-0,9.4,40,36.6,19,27.4,69,0.1,45,,24-Sep,6:00 PM,Ball State at Georgia Southern,Georgia Southern,5.1,62%,29-24,Georgia Southern -7.5,Ball State,2.4,61.5,Under,-8.0
UCF,AAC,AAC,2-1,9.2,41,30.7,49,21.2,31,-0.3,118,,24-Sep,6:00 PM,Navy at East Carolina,East Carolina,20,88%,35-15,East Carolina -17,East Carolina,3.0,48.5,Over,2.3
Wake Forest,ACC,ACC Atlantic,3-0,8.6,42,38.8,9,30.4,84,0.2,29,,24-Sep,6:00 PM,Rice at Houston,Houston,20.1,88%,40-19,Houston -17.5,Houston,2.6,57.5,Over,1.4
Florida State,ACC,ACC Atlantic,3-0,8.3,43,32.1,39,23.4,47,-0.3,109,,24-Sep,7:00 PM,Arkansas vs. Texas A&M,Texas A&M,3.4,58%,27-23,Texas A&M -2.5,Texas A&M,0.9,48.0,Over,2.4
North Carolina,ACC,ACC Coastal,3-0,7.7,44,37.7,11,30.4,85,0.4,1,,24-Sep,7:00 PM,Houston Baptist at Texas State,Texas State,18.9,86%,38-19,,,,,,
Boise State,MWC,MWC Mountain,2-1,7.2,45,25.3,81,18.2,19,0.1,54,,24-Sep,7:00 PM,Iowa at Rutgers,Iowa,10,72%,25-15,Iowa -7.5,Iowa,2.5,35.5,Over,3.7
Oregon State,Pac-12,Pac-12,3-0,7.2,46,32.5,37,24.9,52,-0.4,130,,24-Sep,7:00 PM,Louisiana Tech at South Alabama,South Alabama,12.5,77%,35-23,South Alabama -13,Louisiana Tech,0.5,60.0,Under,-2.4
Texas Tech,Big 12,Big 12,2-1,6.1,47,31.3,46,25.0,54,-0.2,95,,24-Sep,7:00 PM,Marshall at Troy,Marshall,6.6,65%,29-22,Marshall -3.5,Marshall,3.1,52.5,Under,-1.4
Arizona State,Pac-12,Pac-12,1-2,5.1,48,27.3,71,22.3,39,0.1,58,,24-Sep,7:00 PM,Northern Illinois at Kentucky,Kentucky,29.2,95%,42-13,Kentucky -25.5,Kentucky,3.7,53.0,Over,2.2
Syracuse,ACC,ACC Atlantic,3-0,4.7,49,27.9,70,23.3,44,0.0,66,,24-Sep,7:00 PM,Southern Miss at Tulane,Tulane,13.2,78%,32-19,Tulane -12.5,Tulane,0.7,49.5,Over,2.0
UAB,C-USA,C-USA,2-1,4.7,50,26.5,74,21.6,34,-0.3,112,,24-Sep,7:00 PM,UNLV at Utah State,Utah State,0,50%,28-28,UNLV -3,Utah State,3.0,62.0,Under,-5.9
Air Force,MWC,MWC Mountain,2-1,4.4,51,26.5,75,22.1,37,0.1,53,,24-Sep,7:30 PM,Charlotte at South Carolina,South Carolina,24.2,92%,43-19,South Carolina -23,South Carolina,1.2,65.5,Under,-3.8
South Carolina,SEC,SEC East,1-2,4.1,52,29.8,57,26.1,60,0.4,9,,24-Sep,7:30 PM,Connecticut at NC State,NC State,43,99%,47-4,NC State -39,NC State,4.0,50.0,Over,0.1
Louisville,ACC,ACC Atlantic,1-2,3.9,53,32.5,36,28.8,74,0.2,36,,24-Sep,7:30 PM,Florida Atlantic at Purdue,Purdue,18.7,86%,38-19,Purdue -20,Florida Atlantic,1.3,60.5,Under,-3.6
Appalachian State,Sun Belt,Sun Belt East,2-1,3.8,54,33.0,35,29.0,76,-0.3,105,,24-Sep,7:30 PM,Miami-OH at Northwestern,Northwestern,2.4,55%,28-25,Northwestern -6.5,Miami-OH,4.1,50.5,Over,2.7
Fresno State,MWC,MWC West,1-2,3.8,55,31.4,45,27.5,70,-0.2,97,,24-Sep,7:30 PM,New Mexico at LSU,LSU,33.3,97%,39-5,LSU -29.5,LSU,3.8,47.0,Under,-3.2
Houston,AAC,AAC,1-2,3.8,56,33.8,30,30.3,81,0.3,25,,24-Sep,7:30 PM,Vanderbilt at Alabama,Alabama,40.7,99%,49-8,Alabama -40.5,Alabama,0.2,59.0,Under,-1.6
Washington State,Pac-12,Pac-12,3-0,3.7,57,22.2,98,18.5,22,0.0,69,,24-Sep,7:30 PM,Wisconsin at Ohio State,Ohio State,15.3,81%,34-19,Ohio State -18,Wisconsin,2.7,56.5,Under,-3.5
West Virginia,Big 12,Big 12,1-2,3.6,58,31.6,41,28.1,72,0.1,56,,24-Sep,8:00 PM,Boston College at Florida State,Florida State,13.4,78%,32-18,Florida State -16.5,Boston College,3.1,48.5,Over,1.7
Missouri,SEC,SEC East,2-1,3.6,59,30.9,48,27.3,66,0.0,71,,24-Sep,8:00 PM,Hawaii at New Mexico State,Hawaii,0.2,50%,27-27,New Mexico State -2.5,Hawaii,2.7,55.0,Under,-1.8
Tulane,AAC,AAC,3-0,3.6,60,30.6,51,27.3,68,0.3,21,,24-Sep,8:00 PM,Kansas State at Oklahoma,Oklahoma,16.1,82%,34-18,Oklahoma -13,Oklahoma,3.1,53.5,Under,-2.2
Virginia Tech,ACC,ACC Coastal,2-1,2.6,61,20.6,107,18.2,20,0.3,18,,24-Sep,8:00 PM,UL-Lafayette at UL-Monroe,UL-Lafayette,21.7,89%,37-15,UL-Lafayette -11.5,UL-Lafayette,10.2,54.0,Under,-2.0
Marshall,Sun Belt,Sun Belt East,2-1,2.4,62,28.3,68,26.0,58,0.1,43,,24-Sep,9:30 PM,USC at Oregon State,USC,3.8,59%,31-28,USC -6.5,Oregon State,2.7,68.0,Under,-9.0
Illinois,Big Ten,Big Ten West,2-1,2.3,63,21.8,100,19.4,25,-0.1,85,,24-Sep,10:15 PM,Wyoming at BYU,BYU,22.4,90%,37-15,BYU -21,BYU,1.4,51.5,Over,0.6
Western Kentucky,C-USA,C-USA,2-1,2.1,64,35.0,24,32.8,101,-0.1,86,,24-Sep,10:30 PM,Stanford at Washington,Washington,14.8,80%,34-19,Washington -12,Washington,2.8,61.0,Under,-7.4
Toledo,MAC,MAC West,2-1,2.1,65,26.2,78,24.3,49,0.2,33,,24-Sep,10:30 PM,Utah at Arizona State,Utah,10.6,73%,32-21,Utah -15,Arizona State,4.4,52.0,Over,1.4
East Carolina,AAC,AAC,2-1,2.0,66,28.3,67,26.0,57,-0.3,123,,24-Sep,10:30 PM,Western Michigan at San Jose State,San Jose State,4.6,60%,27-22,San Jose State -4.5,San Jose State,0.1,51.5,Under,-2.1
UL-Lafayette,Sun Belt,Sun Belt West,2-1,1.2,67,24.1,89,22.6,41,-0.3,121,,,,,,,,,,,,,,
Nebraska,Big Ten,Big Ten West,1-3,0.9,68,31.5,44,30.3,82,-0.3,120,,,,,,,,,,,,,,
Memphis,AAC,AAC,2-1,0.7,69,31.1,47,30.6,86,0.2,39,,,,,,,,,,,,,,
UTSA,C-USA,C-USA,1-2,0.6,70,35.6,23,34.7,108,-0.3,119,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,Sun Belt East,3-0,0.4,71,32.0,40,31.8,95,0.2,38,,,,,,,,,,,,,,
Liberty,Indies,Independents,2-1,0.1,72,29.3,59,28.9,75,-0.3,108,,,,,,,,,,,,,,
Army,Indies,Independents,1-2,0.1,73,30.2,52,30.3,80,0.2,27,,,,,,,,,,,,,,
Rutgers,Big Ten,Big Ten East,3-0,-0.9,74,21.0,103,22.1,38,0.3,19,,,,,,,,,,,,,,
California,Pac-12,Pac-12,2-1,-1.1,75,16.0,122,17.2,17,0.0,65,,,,,,,,,,,,,,
Tulsa,AAC,AAC,2-1,-1.7,76,28.3,69,29.9,78,0.0,67,,,,,,,,,,,,,,
Stanford,Pac-12,Pac-12,1-1,-1.8,77,28.9,61,30.8,88,0.0,63,,,,,,,,,,,,,,
Virginia,ACC,ACC Coastal,2-1,-2.1,78,28.9,63,30.7,87,-0.2,103,,,,,,,,,,,,,,
James Madison,Sun Belt,Sun Belt East,2-0,-2.1,79,26.3,77,28.3,73,-0.1,78,,,,,,,,,,,,,,
Boston College,ACC,ACC Atlantic,1-2,-2.5,80,21.4,102,23.6,48,-0.3,110,,,,,,,,,,,,,,
Kansas,Big 12,Big 12,3-0,-2.7,81,29.8,56,32.5,99,0.0,74,,,,,,,,,,,,,,
Indiana,Big Ten,Big Ten East,3-0,-3.0,82,23.9,91,27.0,62,0.1,47,,,,,,,,,,,,,,
South Alabama,Sun Belt,Sun Belt West,2-1,-4.1,83,23.0,96,27.0,63,0.0,73,,,,,,,,,,,,,,
San Diego State,MWC,MWC West,1-2,-4.1,84,20.3,109,24.7,51,0.3,13,,,,,,,,,,,,,,
Central Michigan,MAC,MAC West,1-2,-5.4,85,29.3,60,34.4,107,-0.3,126,,,,,,,,,,,,,,
Florida Atlantic,C-USA,C-USA,2-2,-5.8,86,25.1,83,30.8,89,0.0,72,,,,,,,,,,,,,,
Vanderbilt,SEC,SEC East,3-1,-6.0,87,25.7,79,32.0,96,0.3,24,,,,,,,,,,,,,,
Troy,Sun Belt,Sun Belt West,1-2,-6.6,88,20.6,106,27.2,65,-0.1,75,,,,,,,,,,,,,,
Southern Miss,Sun Belt,Sun Belt West,1-2,-7.3,89,18.6,115,26.0,59,0.1,50,,,,,,,,,,,,,,
Duke,ACC,ACC Coastal,3-0,-7.6,90,24.9,84,32.4,98,-0.1,79,,,,,,,,,,,,,,
Georgia State,Sun Belt,Sun Belt East,0-3,-7.8,91,24.3,88,32.3,97,0.2,32,,,,,,,,,,,,,,
UNLV,MWC,MWC West,2-1,-8.0,92,22.1,99,30.4,83,0.4,8,,,,,,,,,,,,,,
Northern Illinois,MAC,MAC West,1-2,-8.1,93,28.9,62,36.7,114,-0.3,107,,,,,,,,,,,,,,
Wyoming,MWC,MWC Mountain,3-1,-8.1,94,19.4,113,27.6,71,0.0,60,,,,,,,,,,,,,,
Middle Tennessee,C-USA,C-USA,2-1,-8.6,95,22.9,97,31.3,91,-0.2,93,,,,,,,,,,,,,,
Old Dominion,Sun Belt,Sun Belt East,1-2,-8.8,96,24.5,87,33.2,103,0.0,70,,,,,,,,,,,,,,
North Texas,C-USA,C-USA,2-2,-9.0,97,28.4,66,37.5,116,0.1,49,,,,,,,,,,,,,,
Miami-OH,MAC,MAC East,1-2,-9.3,98,23.5,93,32.8,100,0.0,68,,,,,,,,,,,,,,
Northwestern,Big Ten,Big Ten West,1-2,-9.3,99,20.4,108,29.4,77,-0.3,114,,,,,,,,,,,,,,
USF,AAC,AAC,1-2,-9.5,100,26.6,73,35.9,113,-0.2,89,,,,,,,,,,,,,,
Arizona,Pac-12,Pac-12,2-1,-10.3,101,20.0,111,30.0,79,-0.3,124,,,,,,,,,,,,,,
San Jose State,MWC,MWC West,1-1,-10.4,102,17.0,120,27.3,67,-0.2,88,,,,,,,,,,,,,,
Utah State,MWC,MWC Mountain,1-2,-10.4,103,24.6,86,35.1,111,0.1,46,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,Sun Belt East,2-1,-10.8,104,23.5,92,34.0,106,-0.3,113,,,,,,,,,,,,,,
Georgia Tech,ACC,ACC Coastal,1-2,-10.9,105,24.7,85,35.3,112,-0.3,116,,,,,,,,,,,,,,
Kent State,MAC,MAC East,1-2,-11.8,106,26.7,72,38.7,123,0.2,34,,,,,,,,,,,,,,
Eastern Michigan,MAC,MAC West,2-1,-12.0,107,26.3,76,38.2,119,-0.1,80,,,,,,,,,,,,,,
Western Michigan,MAC,MAC West,1-2,-12.4,108,20.8,104,33.5,104,0.3,17,,,,,,,,,,,,,,
Ball State,MAC,MAC West,1-2,-13.5,109,18.0,117,31.7,94,0.2,35,,,,,,,,,,,,,,
Rice,C-USA,C-USA,2-1,-13.8,110,19.8,112,33.8,105,0.2,41,,,,,,,,,,,,,,
Louisiana Tech,C-USA,C-USA,1-2,-14.2,111,25.6,80,39.6,125,-0.2,98,,,,,,,,,,,,,,
Colorado,Pac-12,Pac-12,0-3,-14.4,112,20.1,110,34.8,109,0.2,28,,,,,,,,,,,,,,
Arkansas State,Sun Belt,Sun Belt West,1-2,-15.1,113,23.9,90,39.4,124,0.4,2,,,,,,,,,,,,,,
Nevada,MWC,MWC West,2-2,-15.3,114,17.4,118,32.9,102,0.3,23,,,,,,,,,,,,,,
UTEP,C-USA,C-USA,1-3,-15.4,115,15.3,125,31.0,90,0.3,22,,,,,,,,,,,,,,
Bowling Green,MAC,MAC East,1-2,-15.4,116,23.4,94,38.6,122,-0.3,111,,,,,,,,,,,,,,
Navy,AAC,AAC,0-2,-15.6,117,15.9,123,31.4,92,-0.1,82,,,,,,,,,,,,,,
New Mexico,MWC,MWC Mountain,2-1,-16.2,118,9.2,130,25.3,55,-0.1,87,,,,,,,,,,,,,,
Buffalo,MAC,MAC East,0-3,-16.6,119,20.7,105,37.4,115,0.1,51,,,,,,,,,,,,,,
Colorado State,MWC,MWC Mountain,0-3,-17.0,120,18.5,116,35.1,110,-0.4,131,,,,,,,,,,,,,,
Ohio,MAC,MAC East,1-2,-17.0,121,21.5,101,38.4,121,-0.1,81,,,,,,,,,,,,,,
Charlotte,C-USA,C-USA,1-3,-17.2,122,25.3,82,42.3,128,-0.2,91,,,,,,,,,,,,,,
Temple,AAC,AAC,1-2,-19.3,123,12.8,129,31.7,93,-0.4,129,,,,,,,,,,,,,,
Texas State,Sun Belt,Sun Belt West,1-2,-19.8,124,18.8,114,38.4,120,-0.2,99,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,Sun Belt West,1-2,-23.0,125,17.2,119,40.0,126,-0.2,94,,,,,,,,,,,,,,
Connecticut,Indies,Independents,1-3,-24.6,126,13.4,126,38.0,118,-0.1,77,,,,,,,,,,,,,,
Akron,MAC,MAC East,1-2,-27.1,127,13.3,127,40.1,127,-0.3,115,,,,,,,,,,,,,,
Hawaii,MWC,MWC West,1-3,-27.3,128,16.7,121,43.9,130,-0.1,84,,,,,,,,,,,,,,
Massachusetts,Indies,Independents,1-2,-29.5,129,13.1,128,42.4,129,-0.2,102,,,,,,,,,,,,,,
New Mexico State,Indies,Independents,0-4,-30.0,130,8.1,131,37.7,117,-0.3,127,,,,,,,,,,,,,,
Florida International,C-USA,C-USA,1-1,-32.0,131,15.5,124,47.6,131,0.2,40,,,,,,,,,,,,,,
