Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Oklahoma State,Big 12,3-0,15.0,19,38.8,11,24.0,45,0.3,23,,21-Sep,2:00 PM,Utah State at Temple,Utah State,8.4,70%,34-26,Utah State -6.5,Utah State,1.9,52.5,Over,7.6
Texas A&M,SEC,2-1,14.8,20,34.4,23,19.8,29,0.2,38,,21-Sep,2:00 PM,Virginia at Coastal Carolina,Coastal Carolina,3.5,59%,29-26,Virginia -3,Coastal Carolina,6.5,54.5,Over,0.9
Clemson,ACC,1-1,14.6,21,34.4,22,19.9,31,0.0,65,,21-Sep,3:00 PM,Eastern Washington at Nevada,Nevada,6.4,66%,29-23,,,,,,
Auburn,SEC,2-1,14.5,22,33.6,28,19.4,27,0.3,9,,21-Sep,3:00 PM,Southern Miss at Jacksonville State,Jacksonville State,1.9,55%,30-28,Jacksonville State -7,Southern Miss,5.1,61.5,Under,-4.3
Iowa,Big Ten,2-1,12.6,23,21.1,98,8.8,2,0.3,22,,21-Sep,3:30 PM,Arizona State at Texas Tech,Texas Tech,3.9,60%,31-27,Texas Tech -3,Texas Tech,0.9,60.5,Under,-2.2
Nebraska,Big Ten,3-0,12.4,24,23.6,91,10.9,3,-0.3,115,,21-Sep,3:30 PM,Arkansas at Auburn,Auburn,7.1,67%,32-25,Auburn -3.5,Auburn,3.6,58.5,Under,-1.7
Washington,Big Ten,2-1,11.2,25,33.2,32,22.3,36,0.2,25,,21-Sep,3:30 PM,Buffalo at Northern Illinois,Northern Illinois,9.9,73%,26-16,Northern Illinois -14,Buffalo,4.1,44.5,Under,-2.8
UCF,Big 12,3-0,11.2,26,35.3,17,24.1,46,0.0,73,,21-Sep,3:30 PM,Central Connecticut at Massachusetts,Massachusetts,15.9,84%,35-19,,,,,,
TCU,Big 12,2-1,10.4,27,35.4,15,25.0,54,0.0,76,,21-Sep,3:30 PM,Georgia Tech at Louisville,Louisville,12.9,79%,35-23,Louisville -10.5,Louisville,2.4,57.5,Over,0.5
Arkansas,SEC,2-1,9.9,28,35.1,18,25.4,55,0.2,42,,21-Sep,3:30 PM,Houston Christian at UTSA,UTSA,32.9,98%,45-12,,,,,,
North Carolina,ACC,3-0,9.7,29,32.8,34,23.4,42,0.3,10,,21-Sep,3:30 PM,Kent State at Penn State,Penn State,49.8,100%,50-0,Penn State -49.5,Penn State,0.3,54.5,Under,-5.0
Kansas,Big 12,1-2,9.7,30,33.9,26,24.6,49,0.4,2,,21-Sep,3:30 PM,Memphis at Navy,Memphis,12.0,77%,34-22,Memphis -10.5,Memphis,1.5,50.5,Over,4.8
Kentucky,SEC,1-2,9.5,31,28.6,56,19.4,26,0.4,4,,21-Sep,3:30 PM,Miami-OH at Notre Dame,Notre Dame,31.7,98%,38-6,Notre Dame -26.5,Notre Dame,5.2,43.5,Under,-0.1
Minnesota,Big Ten,2-1,9.4,32,24.8,81,15.3,12,-0.1,83,,21-Sep,3:30 PM,Rutgers at Virginia Tech,Virginia Tech,3.7,59%,26-23,Virginia Tech -3.5,Virginia Tech,0.2,45.5,Over,3.3
Iowa State,Big 12,2-0,9.0,33,27.2,69,18.2,19,0.0,72,,21-Sep,3:30 PM,USC at Michigan,Michigan,3.9,60%,30-26,USC -5.5,Michigan,9.4,46.5,Over,8.7
Florida State,ACC,0-3,8.8,34,28.2,60,19.7,28,0.4,7,,21-Sep,3:30 PM,Youngstown State at Pittsburgh,Pittsburgh,21.1,91%,38-17,,,,,,
Virginia Tech,ACC,2-1,8.5,35,30.7,44,22.3,35,0.1,53,,21-Sep,3:40 PM,UCLA at LSU,LSU,18.3,87%,39-21,LSU -22.5,UCLA,4.2,56.5,Over,3.1
Florida,SEC,1-2,8.3,36,34.5,21,26.6,62,0.4,1,,21-Sep,4:00 PM,Duke at Middle Tennessee,Duke,23.8,93%,37-13,Duke -13.5,Duke,10.3,54.5,Under,-4.5
Memphis,AAC,3-0,8.2,37,36.0,14,27.9,73,0.2,36,,21-Sep,4:00 PM,Utah at Oklahoma State,Oklahoma State,0.3,51%,28-28,Oklahoma State -2.5,Utah,2.2,51.5,Over,4.0
SMU,ACC,2-1,8.0,38,31.3,42,23.3,41,0.0,67,,21-Sep,4:15 PM,Vanderbilt at Missouri,Missouri,25.8,95%,42-17,Missouri -21,Missouri,4.8,52.5,Over,6.3
South Carolina,SEC,2-1,7.8,39,28.4,57,20.6,33,0.1,57,,21-Sep,5:00 PM,TCU at SMU,SMU,0.1,50%,29-29,TCU -2.5,SMU,2.6,57.5,Over,0.0
Indiana,Big Ten,3-0,7.6,40,28.7,55,21.4,34,0.4,6,,21-Sep,6:00 PM,East Carolina at Liberty,Liberty,9.8,73%,31-21,Liberty -7.5,Liberty,2.3,52.5,Under,-0.5
Rutgers,Big Ten,2-0,7.4,41,25.9,77,18.7,21,0.2,35,,21-Sep,6:00 PM,Monmouth at Florida International,Florida International,6.2,65%,31-24,,,,,,
California,ACC,3-0,7.1,42,31.5,39,24.2,47,-0.2,99,,21-Sep,6:00 PM,UTEP at Colorado State,Colorado State,10.0,73%,31-21,Colorado State -10,UTEP,0.0,50.5,Over,0.7
Maryland,Big Ten,2-1,7.0,43,26.3,74,19.4,25,0.1,47,,21-Sep,7:00 PM,California at Florida State,Florida State,4.2,60%,28-24,Florida State -2.5,Florida State,1.7,44.5,Over,7.3
Baylor,Big 12,2-1,6.8,44,29.0,53,22.4,37,0.3,20,,21-Sep,7:00 PM,Florida A&M at Troy,Troy,22.9,92%,39-17,,,,,,
Arizona,Big 12,2-1,6.4,45,33.6,27,27.4,71,0.2,30,,21-Sep,7:00 PM,Florida Atlantic at Connecticut,Florida Atlantic,0.4,51%,23-23,Florida Atlantic -1,Connecticut,0.6,46.5,Under,-0.4
Illinois,Big Ten,3-0,6.0,46,25.6,78,19.8,30,0.2,33,,21-Sep,7:00 PM,Miami-FL at USF,Miami-FL,20.8,90%,41-20,Miami-FL -17.5,Miami-FL,3.3,65.5,Under,-3.8
Boise State,MWC,1-1,5.9,47,34.9,19,28.8,79,-0.1,79,,21-Sep,7:00 PM,New Mexico State at Sam Houston,Sam Houston,9.9,73%,31-21,Sam Houston -12.5,New Mexico State,2.6,43.5,Over,7.6
Washington State,Indies,3-0,5.9,48,33.4,30,27.2,67,-0.4,128,,21-Sep,7:00 PM,Northwestern at Washington,Washington,15.2,83%,30-15,Washington -10.5,Washington,4.7,42.5,Over,2.9
Georgia Tech,ACC,3-1,5.8,49,34.8,20,29.1,82,0.1,51,,21-Sep,7:00 PM,Toledo at Western Kentucky,Toledo,3.9,60%,29-25,Western Kentucky -1,Toledo,4.9,58.5,Under,-4.6
Wisconsin,Big Ten,2-1,5.7,50,22.7,94,17.1,16,0.0,68,,21-Sep,7:00 PM,Tulsa at Louisiana Tech,Tulsa,0.5,51%,29-29,Louisiana Tech -2.5,Tulsa,3.0,57.5,Over,1.0
NC State,ACC,2-1,5.6,51,28.1,63,22.6,39,0.2,34,,21-Sep,7:00 PM,Wyoming at North Texas,North Texas,8.8,71%,34-25,North Texas -9.5,Wyoming,0.7,56.5,Over,2.7
Duke,ACC,3-0,5.2,52,24.3,87,19.3,24,0.3,21,,21-Sep,7:30 PM,Akron at South Carolina,South Carolina,32.2,98%,39-7,South Carolina -27.5,South Carolina,4.7,46.5,Under,-0.7
BYU,Big 12,3-0,4.8,53,29.4,50,24.7,50,0.1,46,,21-Sep,7:30 PM,Bowling Green at Texas A&M,Texas A&M,24.4,94%,40-15,Texas A&M -23,Texas A&M,1.4,52.5,Over,2.9
West Virginia,Big 12,1-2,4.2,54,33.5,29,29.4,84,0.2,29,,21-Sep,7:30 PM,Iowa at Minnesota,Iowa,0.6,51%,18-17,Iowa -2.5,Minnesota,1.9,36.5,Under,-1.4
Texas Tech,Big 12,2-1,3.8,55,33.1,33,29.6,85,0.3,14,,21-Sep,7:30 PM,Tennessee at Oklahoma,Tennessee,7.1,67%,30-23,Tennessee -7.5,Oklahoma,0.4,57.5,Under,-4.8
Pittsburgh,ACC,3-0,3.3,56,29.2,51,26.2,60,0.3,17,,21-Sep,7:45 PM,Georgia Southern at Ole Miss,Ole Miss,39.8,99%,51-11,Ole Miss -35.5,Ole Miss,4.3,65.5,Under,-3.8
Boston College,ACC,2-1,3.2,57,28.1,61,24.7,51,-0.3,110,,21-Sep,8:00 PM,Baylor at Colorado,Baylor,4.3,61%,30-26,Colorado -1,Baylor,5.3,54.5,Over,1.4
Liberty,CUSA,3-0,2.5,58,32.1,37,29.3,83,-0.3,114,,21-Sep,8:00 PM,Michigan State at Boston College,Boston College,5.4,63%,25-19,Boston College -6.5,Michigan State,1.1,46.5,Under,-2.2
Arizona State,Big 12,3-0,2.4,59,28.2,59,25.7,56,-0.1,95,,21-Sep,8:00 PM,UL-Monroe at Texas,Texas,46.3,100%,50-4,Texas -45,Texas,1.3,52.5,Over,1.7
UL-Lafayette,Sun Belt,2-0,2.3,60,33.4,31,31.2,94,0.1,44,,21-Sep,8:30 PM,Fresno State at New Mexico,Fresno State,20.1,90%,40-20,Fresno State -15.5,Fresno State,4.6,61.5,Under,-1.3
UNLV,MWC,3-0,2.0,61,32.0,38,30.2,88,0.3,15,,21-Sep,8:30 PM,Purdue at Oregon State,Oregon State,8.7,71%,32-23,Oregon State -5.5,Oregon State,3.2,50.5,Over,4.2
Toledo,MAC,3-0,1.6,62,24.7,83,22.8,40,-0.3,119,,21-Sep,9:45 PM,Portland State at Boise State,Boise State,40.5,99%,52-12,,,,,,
Cincinnati,Big 12,2-1,1.6,63,29.5,49,28.0,74,0.1,60,,21-Sep,10:30 PM,Kansas State at BYU,Kansas State,9.7,73%,32-23,Kansas State -7,Kansas State,2.7,47.5,Over,7.3
Syracuse,ACC,2-0,1.5,64,29.1,52,27.5,72,-0.1,84,,21-Sep,11:59 PM,Northern Iowa at Hawaii,Hawaii,3.5,59%,26-23,,,,,,
James Madison,Sun Belt,2-0,0.9,65,26.6,72,25.8,57,0.1,56,,,,,,,,,,,,,,
Oregon State,Indies,2-1,0.8,66,27.9,65,26.7,64,-0.4,126,,,,,,,,,,,,,,
Fresno State,MWC,2-1,0.7,67,29.9,47,28.9,80,-0.3,117,,,,,,,,,,,,,,
Michigan State,Big Ten,3-0,0.4,68,17.9,112,17.7,17,0.2,37,,,,,,,,,,,,,,
Mississippi State,SEC,1-2,0.3,69,27.4,68,27.2,66,0.1,49,,,,,,,,,,,,,,
Colorado,Big 12,2-1,0.1,70,30.3,46,30.1,86,-0.2,97,,,,,,,,,,,,,,
Vanderbilt,SEC,2-1,-0.4,71,30.5,45,31.2,96,0.4,3,,,,,,,,,,,,,,
Tulane,AAC,1-2,-0.5,72,26.6,71,27.1,65,0.0,69,,,,,,,,,,,,,,
UCLA,Big Ten,1-1,-0.4,73,24.4,85,24.7,52,-0.1,85,,,,,,,,,,,,,,
Northwestern,Big Ten,2-1,-1.5,74,16.9,118,18.3,20,-0.1,81,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,3-0,-1.5,75,27.1,70,28.6,77,0.0,63,,,,,,,,,,,,,,
Texas State,Sun Belt,2-1,-1.7,76,31.3,40,32.9,107,-0.2,102,,,,,,,,,,,,,,
USF,AAC,2-1,-2.0,77,30.8,43,33.1,108,0.2,26,,,,,,,,,,,,,,
Houston,Big 12,1-2,-2.2,78,26.2,76,28.1,75,-0.4,131,,,,,,,,,,,,,,
Virginia,ACC,2-1,-2.5,79,26.2,75,28.8,78,0.1,59,,,,,,,,,,,,,,
Appalachian State,Sun Belt,2-1,-2.7,80,29.7,48,32.3,103,-0.1,82,,,,,,,,,,,,,,
Stanford,ACC,1-1,-3.0,81,27.4,67,30.4,89,0.0,64,,,,,,,,,,,,,,
San Jose State,MWC,3-0,-3.3,82,23.6,92,26.6,63,-0.2,107,,,,,,,,,,,,,,
Wake Forest,ACC,1-2,-3.8,83,24.9,80,29.0,81,0.3,24,,,,,,,,,,,,,,
South Alabama,Sun Belt,1-2,-4.0,84,28.7,54,32.5,105,-0.2,105,,,,,,,,,,,,,,
Northern Illinois,MAC,2-0,-4.4,85,19.2,106,23.4,43,-0.2,98,,,,,,,,,,,,,,
Western Kentucky,CUSA,2-1,-4.8,86,27.9,64,32.4,104,-0.3,123,,,,,,,,,,,,,,
Army,AAC,2-0,-4.7,87,21.3,97,26.2,59,0.2,40,,,,,,,,,,,,,,
East Carolina,AAC,2-1,-4.8,88,18.7,111,23.9,44,0.4,8,,,,,,,,,,,,,,
Purdue,Big Ten,1-1,-5.3,89,24.8,82,30.2,87,0.0,66,,,,,,,,,,,,,,
Navy,AAC,2-0,-6.1,90,20.3,100,26.3,61,-0.1,87,,,,,,,,,,,,,,
Marshall,Sun Belt,1-1,-6.9,91,24.0,89,30.7,91,-0.2,100,,,,,,,,,,,,,,
Bowling Green,MAC,1-1,-7.2,92,24.6,84,32.0,100,0.2,41,,,,,,,,,,,,,,
Troy,Sun Belt,0-3,-7.9,93,24.1,88,31.8,97,-0.3,109,,,,,,,,,,,,,,
Miami-OH,MAC,0-2,-7.9,94,14.7,126,22.5,38,-0.1,86,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,2-1,-8.3,95,27.5,66,36.1,123,0.3,18,,,,,,,,,,,,,,
Ohio,MAC,2-1,-8.9,96,15.5,124,24.4,48,0.1,52,,,,,,,,,,,,,,
UAB,AAC,1-2,-9.5,97,28.1,62,37.9,126,0.3,19,,,,,,,,,,,,,,
UTSA,AAC,1-2,-9.8,98,23.8,90,33.3,109,-0.3,113,,,,,,,,,,,,,,
North Texas,AAC,2-1,-10.4,99,31.3,41,41.6,133,-0.1,93,,,,,,,,,,,,,,
Rice,AAC,1-2,-10.8,100,22.2,95,32.8,106,-0.1,88,,,,,,,,,,,,,,
Sam Houston,CUSA,2-1,-10.8,101,20.2,101,30.7,90,-0.4,124,,,,,,,,,,,,,,
Air Force,MWC,1-2,-11.3,102,14.0,130,24.9,53,-0.4,127,,,,,,,,,,,,,,
Arkansas State,Sun Belt,2-1,-11.4,103,25.1,79,36.4,124,-0.1,90,,,,,,,,,,,,,,
Georgia State,Sun Belt,2-1,-11.5,104,22.8,93,34.0,111,-0.3,118,,,,,,,,,,,,,,
San Diego State,MWC,1-2,-11.6,105,17.2,117,28.5,76,-0.2,108,,,,,,,,,,,,,,
Buffalo,MAC,2-1,-11.7,106,14.6,128,26.2,58,-0.2,104,,,,,,,,,,,,,,
Florida Atlantic,AAC,1-2,-12.1,107,15.6,122,27.3,69,-0.3,122,,,,,,,,,,,,,,
Tulsa,AAC,1-2,-12.8,108,24.4,86,36.9,125,-0.3,111,,,,,,,,,,,,,,
Old Dominion,Sun Belt,0-3,-13.1,109,18.8,109,31.8,98,-0.1,94,,,,,,,,,,,,,,
Hawaii,MWC,1-2,-13.4,110,17.8,113,31.2,95,0.0,75,,,,,,,,,,,,,,
Utah State,MWC,1-2,-13.5,111,26.5,73,39.9,132,0.0,77,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,2-0,-14.6,112,17.4,115,32.1,101,0.1,45,,,,,,,,,,,,,,
Western Michigan,MAC,1-2,-14.9,113,20.8,99,35.4,117,-0.3,120,,,,,,,,,,,,,,
Colorado State,MWC,1-2,-14.8,114,19.7,104,34.3,113,-0.3,116,,,,,,,,,,,,,,
Eastern Michigan,MAC,2-1,-14.9,115,15.7,121,30.8,92,0.2,28,,,,,,,,,,,,,,
Connecticut,Indies,1-2,-15.0,116,17.3,116,31.9,99,-0.4,130,,,,,,,,,,,,,,
Central Michigan,MAC,1-2,-15.1,117,18.9,107,34.1,112,0.0,70,,,,,,,,,,,,,,
Nevada,MWC,1-3,-15.5,118,18.7,110,33.8,110,-0.3,121,,,,,,,,,,,,,,
Louisiana Tech,CUSA,1-1,-15.7,119,20.0,103,35.7,120,0.1,61,,,,,,,,,,,,,,
Southern Miss,Sun Belt,1-2,-16.3,120,19.4,105,35.3,116,-0.4,132,,,,,,,,,,,,,,
Wyoming,MWC,0-3,-16.7,121,14.4,129,31.1,93,0.1,62,,,,,,,,,,,,,,
Jacksonville State,CUSA,0-3,-16.9,122,21.5,96,38.2,128,-0.2,106,,,,,,,,,,,,,,
Florida International,CUSA,1-2,-17.3,123,18.9,108,36.0,122,-0.2,101,,,,,,,,,,,,,,
New Mexico State,CUSA,1-2,-18.2,124,16.5,119,34.9,114,0.3,16,,,,,,,,,,,,,,
Charlotte,AAC,1-2,-19.2,125,16.3,120,35.6,118,0.1,54,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-2,-21.0,126,17.7,114,38.7,129,0.0,78,,,,,,,,,,,,,,
Ball State,MAC,1-1,-21.2,127,14.7,127,35.7,119,-0.2,96,,,,,,,,,,,,,,
Akron,MAC,1-2,-21.8,128,10.3,133,32.2,102,0.1,58,,,,,,,,,,,,,,
New Mexico,MWC,0-3,-21.9,129,20.1,102,41.6,134,-0.4,133,,,,,,,,,,,,,,
UTEP,CUSA,0-3,-22.4,130,13.2,131,35.2,115,-0.4,134,,,,,,,,,,,,,,
Massachusetts,Indies,0-3,-22.8,131,15.5,123,37.9,127,-0.4,129,,,,,,,,,,,,,,
Temple,AAC,0-3,-24.4,132,14.7,125,39.0,131,-0.1,80,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-3,-26.1,133,10.0,134,36.0,121,0.0,74,,,,,,,,,,,,,,
Kent State,MAC,0-3,-26.8,134,12.3,132,38.7,130,-0.4,125,,,,,,,,,,,,,,
