Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
16-Nov,7:00 PM,South Alabama at UL-Lafayette,UL-Lafayette,10.1,74%,34-24,UL-Lafayette -9,UL-Lafayette,1.1,59.5,Under,-0.6
16-Nov,7:00 PM,Southern Miss at Texas State,Texas State,28.5,96%,42-14,Texas State -27,Texas State,1.5,55.5,Over,0.8
16-Nov,7:30 PM,Oregon at Wisconsin,Oregon,19.0,88%,35-16,Oregon -14,Oregon,5.0,52.5,Under,-2.0
16-Nov,7:30 PM,Tennessee at Georgia,Georgia,4.4,61%,27-23,Georgia -9.5,Tennessee,5.1,49.5,Over,0.0
16-Nov,7:45 PM,New Mexico State at Texas A&M,Texas A&M,41.9,100%,48-6,Texas A&M -40,Texas A&M,1.9,55.5,Under,-1.9
16-Nov,8:00 PM,Cincinnati at Iowa State,Iowa State,10.0,73%,30-20,Iowa State -8,Iowa State,2.0,53.5,Under,-2.9
16-Nov,8:00 PM,UAB at Memphis,Memphis,22.4,92%,43-21,Memphis -15.5,Memphis,6.9,62.5,Over,1.0
16-Nov,8:00 PM,Wake Forest at North Carolina,North Carolina,15.3,83%,37-22,North Carolina -11,North Carolina,4.3,63.5,Under,-3.9
16-Nov,9:30 PM,Washington State at New Mexico,Washington State,16.4,85%,41-24,Washington State -13.5,Washington State,2.9,72.5,Under,-7.5
16-Nov,10:15 PM,Kansas at BYU,BYU,7.9,69%,33-25,BYU -2.5,BYU,5.4,55.5,Over,1.8
16-Nov,10:30 PM,San Diego State at UNLV,UNLV,19.0,88%,37-18,UNLV -20.5,San Diego State,1.5,52.5,Over,3.4
