Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
USF,AAC,3-3,-9.7,98,26.5,76,36.5,123,0.3,29,,,,,,,,,,,,,,
Nevada,MWC,2-4,-9.7,99,24.0,92,33.4,109,-0.4,120,,,,,,,,,,,,,,
Old Dominion,Sun Belt,1-4,-10.2,100,21.9,103,31.9,102,-0.2,90,,,,,,,,,,,,,,
UTSA,AAC,3-3,-10.4,101,22.0,102,32.2,103,-0.2,97,,,,,,,,,,,,,,
Ohio,MAC,3-2,-10.6,102,16.3,122,26.7,65,-0.2,96,,,,,,,,,,,,,,
San Diego State,MWC,3-3,-10.8,103,17.2,120,27.6,72,-0.4,128,,,,,,,,,,,,,,
Colorado State,MWC,3-3,-11.1,104,22.4,99,33.5,110,-0.1,77,,,,,,,,,,,,,,
Rice,AAC,1-4,-11.2,105,22.0,101,32.8,107,-0.4,119,,,,,,,,,,,,,,
Jacksonville State,CUSA,3-3,-11.5,106,24.2,90,35.3,115,-0.3,118,,,,,,,,,,,,,,
Miami-OH,MAC,1-4,-11.7,107,14.3,129,26.0,58,0.0,72,,,,,,,,,,,,,,
Florida Atlantic,AAC,3-3,-12.1,108,17.0,121,28.8,78,-0.3,105,,,,,,,,,,,,,,
Georgia State,Sun Belt,2-2,-13.0,109,22.8,95,35.5,116,-0.3,110,,,,,,,,,,,,,,
Eastern Michigan,MAC,4-1,-13.7,110,17.3,118,31.3,95,0.3,27,,,,,,,,,,,,,,
UAB,AAC,1-4,-13.9,111,26.0,79,40.0,130,0.1,54,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,4-1,-14.2,112,15.5,126,29.8,88,0.1,53,,,,,,,,,,,,,,
Tulsa,AAC,2-4,-14.4,113,21.1,106,35.3,114,-0.2,103,,,,,,,,,,,,,,
Buffalo,MAC,3-2,-14.6,114,12.6,132,27.2,71,0.0,67,,,,,,,,,,,,,,
Arkansas State,Sun Belt,3-2,-14.9,115,22.4,98,37.2,126,-0.1,82,,,,,,,,,,,,,,
Air Force,MWC,1-4,-15.0,116,14.5,128,29.1,82,-0.3,116,,,,,,,,,,,,,,
Western Michigan,MAC,3-3,-15.0,117,21.6,104,36.6,124,-0.1,78,,,,,,,,,,,,,,
Central Michigan,MAC,3-2,-15.3,118,19.1,113,34.4,111,0.0,75,,,,,,,,,,,,,,
Charlotte,AAC,3-3,-15.4,119,20.3,107,35.9,119,0.2,49,,,,,,,,,,,,,,
Florida International,CUSA,3-3,-15.6,120,19.6,110,34.9,112,-0.4,122,,,,,,,,,,,,,,
Massachusetts,Indies,1-5,-15.9,121,17.9,115,33.4,108,-0.4,131,,,,,,,,,,,,,,
Utah State,MWC,1-4,-16.2,122,26.2,77,42.1,133,-0.3,115,,,,,,,,,,,,,,
Louisiana Tech,CUSA,1-3,-16.3,123,15.5,127,31.9,101,0.1,52,,,,,,,,,,,,,,
Southern Miss,Sun Belt,1-4,-16.3,124,20.0,108,35.9,118,-0.4,127,,,,,,,,,,,,,,
Wyoming,MWC,1-4,-16.4,125,16.0,125,32.6,105,0.2,42,,,,,,,,,,,,,,
Temple,AAC,1-5,-19.0,126,17.2,119,36.4,121,0.2,38,,,,,,,,,,,,,,
New Mexico,MWC,1-4,-20.9,127,22.0,100,42.4,134,-0.5,133,,,,,,,,,,,,,,
New Mexico State,CUSA,1-4,-21.3,128,16.1,123,37.7,127,0.3,33,,,,,,,,,,,,,,
Ball State,MAC,1-4,-23.3,129,17.6,116,40.5,132,-0.4,123,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-4,-23.3,130,16.1,124,39.1,129,-0.3,107,,,,,,,,,,,,,,
Akron,MAC,1-5,-23.8,131,10.9,133,35.0,113,0.3,31,,,,,,,,,,,,,,
UTEP,CUSA,0-5,-24.2,132,12.7,131,36.4,122,-0.5,134,,,,,,,,,,,,,,
Kent State,MAC,0-5,-27.5,133,13.1,130,40.2,131,-0.4,126,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-5,-30.2,134,8.2,134,38.5,128,0.1,56,,,,,,,,,,,,,,
