Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
UTSA,C-USA,C-USA,2-2,1.1,71,35.3,24,34.1,105,-0.2,92,,,,,,,,,,,,,,
Toledo,MAC,MAC West,2-2,0.9,72,24.8,84,23.7,47,-0.1,84,,,,,,,,,,,,,,
Liberty,Indies,Independents,3-1,0.6,73,26.5,75,25.7,64,-0.3,105,,,,,,,,,,,,,,
Tulsa,AAC,AAC,2-2,0.4,74,31.6,48,31.2,95,0,70,,,,,,,,,,,,,,
UL-Lafayette,Sun Belt,Sun Belt West,2-2,0.3,75,22.6,100,22.1,35,-0.2,91,,,,,,,,,,,,,,
Rutgers,Big Ten,Big Ten East,3-1,0.1,76,21.8,103,21.8,32,0.2,42,,,,,,,,,,,,,,
Army,Indies,Independents,1-2,0,77,30.8,52,31.1,94,0.2,27,,,,,,,,,,,,,,
Boise State,MWC,MWC Mountain,2-2,-0.3,78,21.1,105,21.3,31,0,72,,,,,,,,,,,,,,
Virginia Tech,ACC,ACC Coastal,2-2,-0.9,79,18.1,119,19.2,22,0.2,29,,,,,,,,,,,,,,
Stanford,Pac-12,Pac-12,1-2,-1.3,80,30.3,55,31.7,97,0.1,56,,,,,,,,,,,,,,
Virginia,ACC,ACC Coastal,2-2,-1.3,81,26.8,72,27.8,73,-0.3,107,,,,,,,,,,,,,,
Southern Miss,Sun Belt,Sun Belt West,2-2,-1.7,82,21.9,102,23.7,46,0.1,51,,,,,,,,,,,,,,
Indiana,Big Ten,Big Ten East,3-1,-1.7,83,25.7,79,27.7,72,0.2,30,,,,,,,,,,,,,,
Troy,Sun Belt,Sun Belt West,2-2,-1.9,84,20.5,107,22.3,38,0,67,,,,,,,,,,,,,,
Duke,ACC,ACC Coastal,3-1,-3.7,85,27.8,67,31.6,96,0.1,61,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,Sun Belt East,3-1,-4.4,86,26.7,73,30.9,91,-0.2,90,,,,,,,,,,,,,,
Middle Tennessee,C-USA,C-USA,3-1,-4.5,87,24.2,91,28.6,77,-0.1,85,,,,,,,,,,,,,,
San Diego State,MWC,MWC West,2-2,-5.9,88,18.4,118,24.6,53,0.4,6,,,,,,,,,,,,,,
Central Michigan,MAC,MAC West,1-3,-5.9,89,28.3,64,33.9,103,-0.3,120,,,,,,,,,,,,,,
UNLV,MWC,MWC West,3-1,-5.9,90,23.2,97,29.3,84,0.2,41,,,,,,,,,,,,,,
Florida Atlantic,C-USA,C-USA,2-3,-6.1,91,24.3,89,30.3,89,0,71,,,,,,,,,,,,,,
Old Dominion,Sun Belt,Sun Belt East,2-2,-6.6,92,22.9,99,29.2,83,-0.3,115,,,,,,,,,,,,,,
Boston College,ACC,ACC Atlantic,1-3,-7.5,93,19,114,26.2,67,-0.3,108,,,,,,,,,,,,,,
Northern Illinois,MAC,MAC West,1-3,-7.8,94,30.1,57,37.8,121,-0.1,83,,,,,,,,,,,,,,
Georgia State,Sun Belt,Sun Belt East,0-4,-8.6,95,24.4,86,33.2,101,0.3,22,,,,,,,,,,,,,,
Arizona,Pac-12,Pac-12,2-2,-8.6,96,25,82,33.3,102,-0.3,103,,,,,,,,,,,,,,
North Texas,C-USA,C-USA,2-3,-8.9,97,28.5,63,37.5,119,0.1,60,,,,,,,,,,,,,,
Miami-OH,MAC,MAC East,2-2,-9,98,20.4,108,29.3,85,-0.1,75,,,,,,,,,,,,,,
Northwestern,Big Ten,Big Ten West,1-3,-9,99,19.4,111,28.1,75,-0.3,123,,,,,,,,,,,,,,
San Jose State,MWC,MWC West,2-1,-9.1,100,15.5,124,24.4,52,-0.2,95,,,,,,,,,,,,,,
Vanderbilt,SEC,SEC East,3-2,-9.3,101,24.3,87,34,104,0.3,17,,,,,,,,,,,,,,
Kent State,MAC,MAC East,1-3,-10.2,102,28.8,62,39.2,125,0.2,31,,,,,,,,,,,,,,
Georgia Tech,ACC,ACC Coastal,1-3,-10.8,103,23.9,94,34.5,107,-0.3,117,,,,,,,,,,,,,,
Arkansas State,Sun Belt,Sun Belt West,1-3,-11.1,104,25.2,81,36.7,116,0.4,1,,,,,,,,,,,,,,
Eastern Michigan,MAC,MAC West,2-2,-11.4,105,27.9,66,39.5,126,0.2,34,,,,,,,,,,,,,,
Wyoming,MWC,MWC Mountain,3-2,-11.7,106,19.2,112,31,92,0.1,47,,,,,,,,,,,,,,
UTEP,C-USA,C-USA,2-3,-11.7,107,15.3,125,27.4,71,0.4,7,,,,,,,,,,,,,,
Utah State,MWC,MWC Mountain,1-3,-11.9,108,23.5,96,35.7,110,0.2,28,,,,,,,,,,,,,,
Texas State,Sun Belt,Sun Belt West,2-2,-12.1,109,18.5,117,30.6,90,-0.1,82,,,,,,,,,,,,,,
USF,AAC,AAC,1-3,-12.2,110,24.3,90,36.6,115,0.1,55,,,,,,,,,,,,,,
Temple,AAC,AAC,2-2,-12.6,111,13.6,127,25.9,65,-0.3,118,,,,,,,,,,,,,,
Ball State,MAC,MAC West,1-3,-12.9,112,18.8,115,31.8,98,0.1,50,,,,,,,,,,,,,,
Rice,C-USA,C-USA,2-2,-12.9,113,21.3,104,34.3,106,0.2,33,,,,,,,,,,,,,,
Navy,AAC,AAC,1-2,-13.1,114,15.9,123,29.1,81,0.2,40,,,,,,,,,,,,,,
Buffalo,MAC,MAC East,1-3,-13.3,115,24.2,92,37.5,120,0,64,,,,,,,,,,,,,,
Louisiana Tech,C-USA,C-USA,1-3,-14.8,116,24,93,38.5,122,-0.3,114,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,Sun Belt West,2-2,-15.6,117,19.5,110,34.8,108,-0.4,131,,,,,,,,,,,,,,
Colorado,Pac-12,Pac-12,0-4,-15.7,118,20.3,109,36.2,114,0.2,36,,,,,,,,,,,,,,
Western Michigan,MAC,MAC West,1-3,-16.1,119,19,113,35.1,109,0.1,58,,,,,,,,,,,,,,
Ohio,MAC,MAC East,2-2,-16.6,120,24.3,88,40.9,128,-0.1,78,,,,,,,,,,,,,,
Nevada,MWC,MWC West,2-3,-16.7,121,18.8,116,35.8,111,0.3,16,,,,,,,,,,,,,,
New Mexico,MWC,MWC Mountain,2-2,-16.7,122,10,131,26.4,69,-0.3,112,,,,,,,,,,,,,,
Bowling Green,MAC,MAC East,1-3,-17,123,23.7,95,40.4,127,-0.3,126,,,,,,,,,,,,,,
Charlotte,C-USA,C-USA,1-4,-18.2,124,24.8,85,42.7,129,-0.2,102,,,,,,,,,,,,,,
Colorado State,MWC,MWC Mountain,0-4,-21.6,125,16.3,121,37.5,118,-0.4,130,,,,,,,,,,,,,,
New Mexico State,Indies,Independents,1-4,-24.2,126,12.1,129,35.9,112,-0.4,129,,,,,,,,,,,,,,
Akron,MAC,MAC East,1-3,-24.4,127,12.8,128,36.9,117,-0.3,122,,,,,,,,,,,,,,
Connecticut,Indies,Independents,1-4,-24.4,128,14.2,126,38.6,123,0,66,,,,,,,,,,,,,,
Hawaii,MWC,MWC West,1-4,-28,129,17.4,120,45.2,130,-0.2,99,,,,,,,,,,,,,,
Massachusetts,Indies,Independents,1-3,-28.4,130,10.8,130,38.8,124,-0.4,128,,,,,,,,,,,,,,
Florida International,C-USA,C-USA,1-2,-31.2,131,15.9,122,47.4,131,0.3,24,,,,,,,,,,,,,,
