Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Kansas,Big 12,1-5,6.2,50,33.2,31,27.2,68,0.3,30,,19-Oct,7:30 PM,Georgia at Texas,Texas,7.0,67%,32-25,Texas -3.5,Texas,3.5,55.5,Over,0.8
Syracuse,ACC,5-1,5.9,51,33.0,34,26.8,63,-0.4,118,,19-Oct,7:30 PM,Iowa at Michigan State,Iowa,11.2,76%,25-14,Iowa -6.5,Iowa,4.7,41.5,Under,-3.3
Maryland,Big Ten,3-3,5.8,52,27.2,68,21.3,36,-0.1,85,,19-Oct,7:30 PM,Kansas State at West Virginia,Kansas State,5.3,63%,32-27,Kansas State -3,Kansas State,2.3,54.5,Over,4.5
Army,AAC,6-0,5.8,53,30.8,47,25.2,54,0.1,50,,19-Oct,7:30 PM,North Texas at Memphis,Memphis,9.0,71%,37-28,Memphis -11,North Texas,2.0,66.5,Under,-2.2
Colorado,Big 12,4-2,5.7,54,33.5,29,27.5,70,-0.3,111,,19-Oct,7:30 PM,UCF at Iowa State,Iowa State,9.8,73%,30-21,Iowa State -13.5,UCF,3.7,47.5,Over,3.4
Oklahoma State,Big 12,3-3,5.5,55,31.7,43,26.3,59,0.1,59,,19-Oct,7:45 PM,Kentucky at Florida,Florida,2.3,56%,28-25,Florida -1.5,Florida,0.8,42.5,Over,10.6
North Carolina,ACC,3-4,5.5,56,32.2,39,26.8,64,0.1,52,,19-Oct,8:00 PM,Colorado State at Air Force,Colorado State,5.2,63%,29-24,Colorado State -7.5,Air Force,2.3,47.5,Over,5.0
Washington State,Indies,5-1,5.4,57,35.0,20,29.4,81,-0.3,103,,19-Oct,8:00 PM,SMU at Stanford,SMU,17.7,87%,37-19,SMU -15,SMU,2.7,55.5,Over,0.9
Rutgers,Big Ten,4-2,4.9,58,24.6,86,19.4,26,-0.3,114,,19-Oct,10:00 PM,UNLV at Oregon State,Oregon State,1.8,54%,33-31,UNLV -6,Oregon State,7.8,61.5,Over,3.0
Vanderbilt,SEC,4-2,4.7,59,33.2,30,28.9,79,0.3,18,,19-Oct,10:30 PM,TCU at Utah,Utah,4.8,62%,29-24,Utah -7,TCU,2.2,51.5,Over,1.3
Arizona,Big 12,3-3,4.6,60,29.9,52,25.7,56,0.4,10,,,,,,,,,,,,,,
Virginia,ACC,4-2,4.5,61,28.2,62,23.9,49,0.1,56,,,,,,,,,,,,,,
Baylor,Big 12,2-4,4.1,62,27.7,65,23.8,48,0.1,57,,,,,,,,,,,,,,
NC State,ACC,3-4,4.1,63,28.4,60,24.5,52,0.3,32,,,,,,,,,,,,,,
Florida State,ACC,1-5,3.2,64,24.4,90,21.6,39,0.4,4,,,,,,,,,,,,,,
UL-Lafayette,Sun Belt,5-1,3.1,65,34.2,25,31.3,92,0.2,44,,,,,,,,,,,,,,
UNLV,MWC,5-1,2.9,66,34.5,22,32.0,97,0.4,7,,,,,,,,,,,,,,
Memphis,AAC,5-1,2.7,67,30.6,48,28.1,74,0.2,43,,,,,,,,,,,,,,
Oregon State,Indies,4-2,2.2,68,32.5,36,30.0,82,-0.2,96,,,,,,,,,,,,,,
Texas State,Sun Belt,4-2,2.2,69,33.0,32,30.8,89,-0.1,80,,,,,,,,,,,,,,
Tulane,AAC,4-2,1.8,70,29.5,54,27.7,73,0.0,76,,,,,,,,,,,,,,
Northwestern,Big Ten,3-3,1.8,71,20.3,104,18.7,22,0.2,41,,,,,,,,,,,,,,
Michigan State,Big Ten,3-3,0.1,72,19.4,109,19.7,27,0.4,2,,,,,,,,,,,,,,
Navy,AAC,5-0,0.1,73,26.9,73,26.9,65,0.0,69,,,,,,,,,,,,,,
Liberty,CUSA,5-0,-0.3,74,30.9,46,30.9,90,-0.3,117,,,,,,,,,,,,,,
Connecticut,Indies,4-2,-1.1,75,23.1,94,23.9,50,-0.2,99,,,,,,,,,,,,,,
Mississippi State,SEC,1-5,-1.7,76,28.3,61,30.3,86,0.3,27,,,,,,,,,,,,,,
Houston,Big 12,2-4,-2.1,77,24.2,91,25.9,58,-0.4,133,,,,,,,,,,,,,,
Wake Forest,ACC,2-4,-2.3,78,29.0,55,31.6,94,0.3,26,,,,,,,,,,,,,,
UCLA,Big Ten,1-5,-2.4,79,22.2,98,24.8,53,0.1,53,,,,,,,,,,,,,,
North Texas,AAC,5-1,-3.8,80,33.0,33,37.0,122,0.1,46,,,,,,,,,,,,,,
Western Kentucky,CUSA,4-2,-4.0,81,25.9,78,30.1,83,0.2,35,,,,,,,,,,,,,,
Purdue,Big Ten,1-5,-4.4,82,27.1,70,31.3,93,-0.2,91,,,,,,,,,,,,,,
South Alabama,Sun Belt,2-4,-4.8,83,27.5,66,32.3,102,0.0,75,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,4-2,-5.1,84,26.4,76,31.7,96,0.2,40,,,,,,,,,,,,,,
San Jose State,MWC,4-2,-5.3,85,27.1,69,32.2,98,-0.3,110,,,,,,,,,,,,,,
Stanford,ACC,2-4,-5.6,86,24.4,89,30.3,87,0.3,23,,,,,,,,,,,,,,
Toledo,MAC,4-2,-5.8,87,20.1,107,25.7,57,-0.2,94,,,,,,,,,,,,,,
Fresno State,MWC,3-3,-5.9,88,26.5,75,32.2,100,-0.2,92,,,,,,,,,,,,,,
Marshall,Sun Belt,3-3,-6.6,89,24.7,85,31.1,91,-0.1,86,,,,,,,,,,,,,,
Sam Houston,CUSA,5-1,-7.5,90,23.0,95,30.2,84,-0.3,113,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,4-2,-7.6,91,26.5,74,34.6,110,0.4,3,,,,,,,,,,,,,,
Northern Illinois,MAC,4-2,-7.9,92,15.8,126,23.2,44,-0.4,124,,,,,,,,,,,,,,
East Carolina,AAC,3-3,-7.9,93,18.7,114,27.0,66,0.3,22,,,,,,,,,,,,,,
Jacksonville State,CUSA,3-3,-8.8,94,26.2,77,34.7,112,-0.3,109,,,,,,,,,,,,,,
Troy,Sun Belt,1-5,-9.1,95,22.9,96,31.7,95,-0.2,93,,,,,,,,,,,,,,
Appalachian State,Sun Belt,2-4,-9.9,96,27.0,72,36.6,120,-0.3,105,,,,,,,,,,,,,,
Colorado State,MWC,3-3,-10.1,97,23.6,92,33.8,107,0.1,47,,,,,,,,,,,,,,
UTSA,AAC,2-4,-10.2,98,22.5,97,32.5,103,-0.3,101,,,,,,,,,,,,,,
Bowling Green,MAC,2-4,-10.6,99,21.8,99,32.2,101,-0.1,83,,,,,,,,,,,,,,
Old Dominion,Sun Belt,2-4,-10.6,100,20.3,105,30.7,88,-0.2,89,,,,,,,,,,,,,,
Ohio,MAC,4-2,-10.8,101,17.5,119,28.1,75,-0.1,87,,,,,,,,,,,,,,
USF,AAC,2-4,-10.8,102,23.3,93,34.4,109,0.4,17,,,,,,,,,,,,,,
Nevada,MWC,3-4,-10.9,103,24.7,84,35.3,115,-0.4,122,,,,,,,,,,,,,,
Rice,AAC,2-4,-11.1,104,21.4,101,32.2,99,-0.4,120,,,,,,,,,,,,,,
Hawaii,MWC,2-4,-11.2,105,18.5,115,29.3,80,-0.3,112,,,,,,,,,,,,,,
Florida Atlantic,AAC,2-4,-11.4,106,19.1,111,30.2,85,-0.3,104,,,,,,,,,,,,,,
San Diego State,MWC,3-3,-11.6,107,16.3,124,27.6,71,-0.4,121,,,,,,,,,,,,,,
Miami-OH,MAC,2-4,-11.9,108,15.5,128,27.5,69,0.1,55,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,5-1,-12.0,109,16.3,123,28.3,77,0.0,71,,,,,,,,,,,,,,
Buffalo,MAC,4-2,-14.0,110,13.5,131,27.6,72,0.1,66,,,,,,,,,,,,,,
Georgia State,Sun Belt,2-3,-14.9,111,20.1,108,34.6,111,-0.4,125,,,,,,,,,,,,,,
Florida International,CUSA,2-4,-15.0,112,20.4,103,35.1,114,-0.3,108,,,,,,,,,,,,,,
Louisiana Tech,CUSA,2-3,-15.6,113,18.0,118,33.4,106,-0.3,100,,,,,,,,,,,,,,
Tulsa,AAC,2-4,-15.9,114,20.5,102,36.2,117,-0.2,98,,,,,,,,,,,,,,
UAB,AAC,1-5,-15.9,115,24.4,88,40.6,129,0.2,34,,,,,,,,,,,,,,
Eastern Michigan,MAC,4-2,-16.5,116,17.1,120,33.8,108,0.2,39,,,,,,,,,,,,,,
Western Michigan,MAC,3-3,-16.6,117,21.7,100,38.3,126,0.0,72,,,,,,,,,,,,,,
Charlotte,AAC,3-3,-16.8,118,19.4,110,36.3,119,0.1,51,,,,,,,,,,,,,,
Central Michigan,MAC,3-3,-16.9,119,19.0,112,36.0,116,0.0,68,,,,,,,,,,,,,,
Massachusetts,Indies,1-6,-17.2,120,18.1,117,34.8,113,-0.4,130,,,,,,,,,,,,,,
Wyoming,MWC,1-5,-17.5,121,15.5,127,33.0,105,0.1,65,,,,,,,,,,,,,,
Arkansas State,Sun Belt,3-3,-17.7,122,20.1,106,37.9,125,0.1,64,,,,,,,,,,,,,,
Air Force,MWC,1-5,-17.7,123,15.2,129,32.5,104,-0.4,128,,,,,,,,,,,,,,
Southern Miss,Sun Belt,1-5,-18.4,124,18.3,116,36.3,118,-0.4,127,,,,,,,,,,,,,,
Utah State,MWC,1-5,-18.4,125,25.7,80,43.8,134,-0.4,119,,,,,,,,,,,,,,
New Mexico,MWC,2-4,-19.1,126,24.6,87,43.2,133,-0.4,131,,,,,,,,,,,,,,
Temple,AAC,1-5,-21.0,127,16.4,122,37.5,123,0.2,42,,,,,,,,,,,,,,
New Mexico State,CUSA,1-5,-22.6,128,15.8,125,38.8,127,0.3,25,,,,,,,,,,,,,,
Ball State,MAC,2-4,-23.8,129,18.8,113,42.6,132,-0.1,84,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-5,-25.0,130,16.4,121,41.0,130,-0.3,115,,,,,,,,,,,,,,
UTEP,CUSA,0-6,-25.6,131,12.4,132,37.6,124,-0.4,134,,,,,,,,,,,,,,
Akron,MAC,1-6,-26.3,132,10.7,133,37.0,121,-0.1,81,,,,,,,,,,,,,,
Kent State,MAC,0-6,-29.0,133,13.8,130,42.3,131,-0.4,129,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-5,-31.1,134,7.8,134,39.0,128,0.1,58,,,,,,,,,,,,,,
