Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Florida State,ACC,1-4,6.7,48,26.9,75,20.7,31,0.4,1,,5-Oct,10:30 PM,Miami-FL at California,Miami-FL,10.0,73%,33-23,Miami-FL -13,California,3.0,55.5,Over,0.8
Syracuse,ACC,3-1,6.2,49,32.1,45,25.7,53,-0.2,92,,5-Oct,11:00 PM,Texas Tech at Arizona,Arizona,6.9,67%,34-27,Arizona -5,Arizona,1.9,62.5,Under,-1.8
Illinois,Big Ten,4-1,5.7,50,26.1,81,20.7,32,0.4,11,,,,,,,,,,,,,,
Washington State,Indies,4-1,5.7,51,35.4,19,29.4,85,-0.2,104,,,,,,,,,,,,,,
Georgia Tech,ACC,3-2,5.7,52,35,21,29.3,84,0,69,,,,,,,,,,,,,,
Cincinnati,Big 12,3-2,5.5,53,33.5,34,28,74,0,66,,,,,,,,,,,,,,
UNLV,MWC,4-0,5.5,54,33.8,30,28.6,80,0.3,26,,,,,,,,,,,,,,
Boston College,ACC,4-1,5.2,55,27.9,67,22.8,40,0.1,51,,,,,,,,,,,,,,
Baylor,Big 12,2-3,5.1,56,28.3,62,23.5,42,0.2,36,,,,,,,,,,,,,,
Liberty,CUSA,4-0,5,57,33.2,37,27.9,73,-0.3,116,,,,,,,,,,,,,,
West Virginia,Big 12,2-2,4.9,58,34.7,22,30.1,89,0.2,33,,,,,,,,,,,,,,
Texas Tech,Big 12,4-1,4.8,59,33.9,29,29.5,86,0.4,9,,,,,,,,,,,,,,
Colorado,Big 12,4-1,4.8,60,33.5,33,28.4,77,-0.3,114,,,,,,,,,,,,,,
NC State,ACC,3-2,4.6,61,27.8,68,23.6,45,0.4,5,,,,,,,,,,,,,,
UL-Lafayette,Sun Belt,3-1,4.3,62,36.5,15,32.6,105,0.3,18,,,,,,,,,,,,,,
Oregon State,Indies,3-1,4.1,63,30.6,50,26.2,64,-0.2,108,,,,,,,,,,,,,,
Memphis,AAC,4-1,3.8,64,34.2,25,30.6,93,0.2,34,,,,,,,,,,,,,,
Virginia,ACC,3-1,3.6,65,29.7,53,26.2,62,0.1,53,,,,,,,,,,,,,,
Wisconsin,Big Ten,2-2,3.6,66,23.4,92,20,27,0.1,54,,,,,,,,,,,,,,
Arizona State,Big 12,3-1,3.5,67,28,65,24.4,48,0,76,,,,,,,,,,,,,,
Navy,AAC,4-0,3.2,68,29.1,57,26.1,60,0.2,31,,,,,,,,,,,,,,
Vanderbilt,SEC,2-2,3,69,31.9,46,29.1,83,0.2,50,,,,,,,,,,,,,,
Army,AAC,4-0,2.7,70,28.4,61,25.9,57,0.2,45,,,,,,,,,,,,,,
Tulane,AAC,3-2,1.2,71,28.7,60,27.4,70,-0.1,81,,,,,,,,,,,,,,
Toledo,MAC,3-1,-0.4,72,22.7,96,22.8,39,-0.3,115,,,,,,,,,,,,,,
Michigan State,Big Ten,3-2,-0.8,73,18.7,111,19.8,26,0.3,15,,,,,,,,,,,,,,
Texas State,Sun Belt,3-1,-0.8,74,32.2,44,32.8,109,-0.2,103,,,,,,,,,,,,,,
San Jose State,MWC,3-1,-1,75,27.2,73,28,75,-0.2,91,,,,,,,,,,,,,,
Mississippi State,SEC,1-4,-1.3,76,27.5,71,28.9,82,0.2,40,,,,,,,,,,,,,,
Wake Forest,ACC,1-3,-1.7,77,29,59,30.8,96,0.1,63,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,3-1,-1.7,78,27,74,28.8,81,0.1,55,,,,,,,,,,,,,,
Northwestern,Big Ten,2-2,-2,79,16.4,124,18.3,21,-0.1,80,,,,,,,,,,,,,,
Fresno State,MWC,3-2,-3,80,27.9,66,30.7,94,-0.2,98,,,,,,,,,,,,,,
Connecticut,Indies,3-2,-3.1,81,23,94,25.8,54,-0.3,117,,,,,,,,,,,,,,
South Alabama,Sun Belt,2-3,-3.4,82,29.2,56,32.4,104,-0.1,87,,,,,,,,,,,,,,
Stanford,ACC,2-2,-3.7,83,26.1,79,30.2,90,0.3,19,,,,,,,,,,,,,,
UCLA,Big Ten,1-3,-3.8,84,22.6,98,26.6,66,0.1,56,,,,,,,,,,,,,,
Houston,Big 12,1-4,-3.9,85,24.3,89,27.7,72,-0.5,134,,,,,,,,,,,,,,
North Texas,AAC,4-1,-4,86,32.5,42,36.4,122,0,68,,,,,,,,,,,,,,
Western Kentucky,CUSA,3-2,-4.2,87,26.1,80,30.2,91,-0.1,78,,,,,,,,,,,,,,
Troy,Sun Belt,1-4,-5.6,88,24.4,87,29.7,88,-0.3,113,,,,,,,,,,,,,,
Purdue,Big Ten,1-3,-5.9,89,24.6,84,30.3,92,-0.2,95,,,,,,,,,,,,,,
East Carolina,AAC,3-2,-6.3,90,18.5,112,25.2,52,0.4,7,,,,,,,,,,,,,,
Appalachian State,Sun Belt,2-2,-6.8,91,27.3,72,34.1,114,0,75,,,,,,,,,,,,,,
Northern Illinois,MAC,2-2,-7,92,15.8,127,22.4,38,-0.4,123,,,,,,,,,,,,,,
Marshall,Sun Belt,2-2,-7.1,93,24,91,30.7,95,-0.3,118,,,,,,,,,,,,,,
Sam Houston,CUSA,3-2,-7.4,94,22.7,95,29.7,87,-0.4,127,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,3-2,-8.1,95,27.6,69,36.2,120,0.4,2,,,,,,,,,,,,,,
Hawaii,MWC,2-2,-8.1,96,20.5,105,28.5,78,-0.1,82,,,,,,,,,,,,,,
Bowling Green,MAC,1-3,-8.2,97,24.6,85,32.7,107,0,71,,,,,,,,,,,,,,
USF,AAC,2-3,-9,98,26.8,76,36.1,119,0.3,28,,,,,,,,,,,,,,
Ohio,MAC,3-2,-9.3,99,17,120,26.1,59,-0.2,97,,,,,,,,,,,,,,
UTSA,AAC,2-3,-10,100,22.1,99,31.9,101,-0.2,99,,,,,,,,,,,,,,
