Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
30-Nov,12:00 PM,North Texas at Temple,North Texas,13.4,80%,39-25,North Texas -11.5,North Texas,1.9,63.5,Over,0.3
30-Nov,12:00 PM,South Carolina at Clemson,Clemson,0.9,52%,27-26,Clemson -2.5,South Carolina,1.6,49.5,Over,3.7
30-Nov,12:00 PM,Tennessee at Vanderbilt,Tennessee,17.3,86%,34-16,Tennessee -12,Tennessee,5.3,48.5,Over,1.6
30-Nov,12:00 PM,UL-Lafayette at UL-Monroe,UL-Lafayette,22.8,92%,39-17,UL-Lafayette -9,UL-Lafayette,13.8,48.5,Over,7.3
30-Nov,12:00 PM,UTSA at Army,Army,13.0,79%,35-22,Army -8,Army,5.0,54.5,Over,3.1
30-Nov,12:00 PM,West Virginia at Texas Tech,Texas Tech,0.5,51%,32-31,Texas Tech -3,West Virginia,2.5,65.5,Under,-3.0
30-Nov,1:30 PM,Eastern Michigan at Western Michigan,Western Michigan,3.7,59%,31-27,Western Michigan -4.5,Eastern Michigan,0.8,56.5,Over,2.0
30-Nov,2:00 PM,Coastal Carolina at Georgia State,Coastal Carolina,9.0,71%,34-25,Coastal Carolina -1,Coastal Carolina,8.0,55.5,Over,2.8
30-Nov,2:00 PM,Middle Tennessee at Florida International,Florida International,15.2,83%,33-18,Florida International -9,Florida International,6.2,51.5,Under,-0.3
30-Nov,2:00 PM,Southern Miss at Troy,Troy,18.0,87%,36-18,Troy -17,Troy,1.0,48.5,Over,6.3
30-Nov,2:00 PM,USF at Rice,USF,7.7,69%,31-23,USF -4.5,USF,3.2,53.5,Over,0.4
30-Nov,3:00 PM,Old Dominion at Arkansas State,Old Dominion,3.8,59%,30-27,Old Dominion -3.5,Old Dominion,0.3,58.5,Under,-1.4
30-Nov,3:00 PM,Pittsburgh at Boston College,Pittsburgh,3.1,58%,28-25,Boston College -3,Pittsburgh,6.1,49.5,Over,3.5
30-Nov,3:30 PM,Arizona State at Arizona,Arizona State,6.6,66%,30-23,Arizona State -9,Arizona,2.4,53.5,Under,0.0
30-Nov,3:30 PM,Arkansas at Missouri,Missouri,4.8,62%,29-24,Missouri -3.5,Missouri,1.3,54.5,Under,-1.3
30-Nov,3:30 PM,Auburn at Alabama,Alabama,16.2,84%,34-18,Alabama -11.5,Alabama,4.7,52.5,Under,-0.5
30-Nov,3:30 PM,California at SMU,SMU,13.2,80%,34-21,SMU -12.5,SMU,0.7,56.5,Under,-2.0
30-Nov,3:30 PM,Central Michigan at Northern Illinois,Northern Illinois,14.7,82%,30-16,Northern Illinois -13,Northern Illinois,1.7,45.5,Over,0.2
30-Nov,3:30 PM,Florida Atlantic at Tulsa,Florida Atlantic,1.1,53%,29-28,Florida Atlantic -1,Florida Atlantic,0.1,56.5,Over,0.3
30-Nov,3:30 PM,Fresno State at UCLA,Fresno State,0.9,52%,25-24,UCLA -9.5,Fresno State,10.4,46.5,Over,3.4
30-Nov,3:30 PM,Maryland at Penn State,Penn State,30.6,97%,40-9,Penn State -24,Penn State,6.6,48.5,Over,0.7
30-Nov,3:30 PM,Miami-FL at Syracuse,Miami-FL,18.1,87%,41-23,Miami-FL -11,Miami-FL,7.1,67.5,Under,-3.9
30-Nov,3:30 PM,NC State at North Carolina,North Carolina,6.5,66%,31-25,North Carolina -3.5,North Carolina,3.0,56.5,Under,-0.4
30-Nov,3:30 PM,Notre Dame at USC,Notre Dame,10.5,74%,32-21,Notre Dame -7,Notre Dame,3.5,50.5,Over,2.5
30-Nov,3:30 PM,Rutgers at Michigan State,Rutgers,4.1,60%,25-21,Michigan State -1,Rutgers,5.1,48.5,Under,-2.4
30-Nov,3:30 PM,UAB at Charlotte,UAB,2.4,56%,32-29,Charlotte -4,UAB,6.4,57.5,Over,3.7
30-Nov,4:00 PM,Jacksonville State at Western Kentucky,Western Kentucky,4.5,61%,30-26,Western Kentucky -2,Western Kentucky,2.5,59.5,Under,-3.4
30-Nov,4:00 PM,Kennesaw State at Louisiana Tech,Louisiana Tech,14.7,82%,29-15,Louisiana Tech -12.5,Louisiana Tech,2.2,42.5,Over,1.5
30-Nov,4:00 PM,UTEP at New Mexico State,New Mexico State,7.5,68%,29-22,New Mexico State -2,New Mexico State,5.5,51.5,Under,-0.9
30-Nov,6:00 PM,Appalachian State at Georgia Southern,Georgia Southern,6.0,65%,33-27,Georgia Southern -2.5,Georgia Southern,3.5,62.5,Under,-2.2
30-Nov,6:00 PM,TCU at Cincinnati,TCU,5.6,64%,32-26,TCU -2.5,TCU,3.1,58.5,Under,-0.6
30-Nov,6:30 PM,Wyoming at Washington State,Washington State,23.1,93%,41-18,Washington State -18,Washington State,5.1,58.5,Under,-0.1
30-Nov,7:00 PM,Florida at Florida State,Florida,12.6,79%,31-19,Florida -14.5,Florida State,1.9,45.5,Over,4.3
30-Nov,7:00 PM,Oklahoma at LSU,LSU,3.6,59%,28-24,LSU -6,Oklahoma,2.4,47.5,Over,4.0
30-Nov,7:00 PM,Purdue at Indiana,Indiana,40.8,99%,47-6,Indiana -28,Indiana,12.8,56.5,Under,-3.7
30-Nov,7:30 PM,Kansas State at Iowa State,Kansas State,0.6,51%,26-25,Iowa State -2.5,Kansas State,3.1,52.5,Under,-1.0
30-Nov,7:30 PM,Texas at Texas A&M,Texas,5.7,64%,29-23,Texas -5.5,Texas,0.2,48.5,Over,3.7
30-Nov,7:30 PM,Washington at Oregon,Oregon,25.4,94%,38-13,Oregon -19,Oregon,6.4,51.5,Under,-0.8
30-Nov,8:00 PM,Marshall at James Madison,James Madison,10.1,74%,32-22,James Madison -3,James Madison,7.1,52.5,Over,1.4
30-Nov,8:00 PM,Nevada at UNLV,UNLV,26.8,95%,43-16,UNLV -19,UNLV,7.8,55.5,Over,3.3
30-Nov,8:00 PM,Virginia at Virginia Tech,Virginia Tech,15.5,84%,34-19,Virginia Tech -7,Virginia Tech,8.5,48.5,Over,4.2
30-Nov,10:15 PM,Houston at BYU,BYU,24.4,94%,36-11,BYU -12.5,BYU,11.9,41.5,Over,5.2
30-Nov,10:30 PM,Air Force at San Diego State,San Diego State,1.1,53%,24-23,Air Force -3.5,San Diego State,4.6,43.5,Over,4.0
30-Nov,11:00 PM,New Mexico at Hawaii,Hawaii,4.6,61%,32-27,New Mexico -2.5,Hawaii,7.1,61.5,Under,-2.5
