Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Syracuse,ACC,0-0,-1.0,67,25.8,73,26.7,60,,31-Aug,7:00 PM,Furman at Ole Miss,Ole Miss,39.3,99%,50-11,,,,,,
Purdue,Big Ten,0-0,-1.4,68,26.3,70,27.7,63,,31-Aug,7:00 PM,Nevada at Troy,Troy,14.9,83%,34-19,Troy -9.5,Troy,5.4,45.5,Over,7.0
BYU,Big 12,0-0,-1.5,69,29.2,63,30.6,87,,31-Aug,7:00 PM,North Alabama at Memphis,Memphis,39.3,99%,57-17,,,,,,
Western Kentucky,CUSA,0-0,-1.6,70,29.9,60,31.4,92,,31-Aug,7:00 PM,Sam Houston at Rice,Rice,7.8,69%,32-24,Rice -10.5,Sam Houston,2.7,49.5,Over,5.8
Michigan State,Big Ten,0-0,-2.4,71,16.8,121,19.2,26,,31-Aug,7:00 PM,Tarleton State at Baylor,Baylor,23.2,93%,40-17,,,,,,
UL-Lafayette,Sun Belt,0-0,-2.4,72,32.8,34,35.1,117,,31-Aug,7:00 PM,Tennessee Tech at Middle Tennessee,Middle Tennessee,24.6,94%,40-15,,,,,,
Boston College,ACC,0-0,-2.4,73,26.0,72,28.4,69,,31-Aug,7:00 PM,UNLV at Houston,Houston,4.4,61%,34-30,Houston -1.5,Houston,2.9,54.5,Over,9.9
Wake Forest,ACC,0-0,-2.6,74,23.9,85,26.5,59,,31-Aug,7:00 PM,UT Martin at Kansas State,Kansas State,33.8,98%,45-11,,,,,,
Northwestern,Big Ten,0-0,-2.8,75,17.3,118,20.1,29,,31-Aug,7:00 PM,Western Kentucky at Alabama,Alabama,31.9,98%,46-14,Alabama -31,Alabama,0.9,59.5,Under,0.0
Houston,Big 12,0-0,-3.3,76,29.3,62,32.6,97,,31-Aug,7:30 PM,Abilene Christian at Texas Tech,Texas Tech,30.5,97%,43-13,,,,,,
Stanford,ACC,0-0,-3.5,77,27.1,66,30.6,85,,31-Aug,7:30 PM,Alabama A&M at Auburn,Auburn,52.7,100%,53-0,,,,,,
Virginia,ACC,0-0,-3.5,78,26.1,71,29.7,80,,31-Aug,7:30 PM,Fresno State at Michigan,Michigan,27.6,96%,39-11,Michigan -21.5,Michigan,6.1,45.5,Over,4.8
Arizona State,Big 12,0-0,-4.0,79,24.7,80,28.7,72,,31-Aug,7:30 PM,Idaho at Oregon,Oregon,43.0,100%,54-11,,,,,,
Miami-OH,MAC,0-0,-4.0,80,17.1,119,21.1,32,,31-Aug,7:30 PM,Notre Dame at Texas A&M,Notre Dame,1.8,54%,29-27,Texas A&M -2.5,Notre Dame,4.3,46.5,Over,9.3
Indiana,Big Ten,0-0,-4.5,81,22.4,91,26.8,61,,31-Aug,7:30 PM,UCLA at Hawaii,UCLA,18.6,88%,36-18,UCLA -13.5,UCLA,5.1,55.5,Under,-1.9
UNLV,MWC,0-0,-5.2,82,30.8,48,36.0,121,,31-Aug,7:45 PM,Southern Miss at Kentucky,Kentucky,32.5,98%,44-12,Kentucky -28,Kentucky,4.5,50.5,Over,5.4
USF,AAC,0-0,-5.6,83,30.3,55,35.9,119,,31-Aug,8:00 PM,Georgia State at Georgia Tech,Georgia Tech,17.8,87%,39-21,Georgia Tech -21.5,Georgia State,3.7,57.5,Over,2.1
South Alabama,Sun Belt,0-0,-6.4,84,24.9,79,31.3,90,,31-Aug,8:00 PM,Grambling at UL-Lafayette,UL-Lafayette,34.9,99%,51-17,,,,,,
Coastal Carolina,Sun Belt,0-0,-6.5,85,24.3,81,30.8,88,,31-Aug,8:00 PM,Houston Christian at SMU,SMU,52.7,100%,55-3,,,,,,
Texas State,Sun Belt,0-0,-6.5,86,30.3,56,36.8,124,,31-Aug,8:00 PM,James Madison at Charlotte,James Madison,16.3,85%,36-20,James Madison -7,James Madison,9.3,51.5,Over,4.4
