Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
LSU,SEC,SEC West,0-1,11.7,33,32.4,40,20.6,29,-0.1,118,,10-Sep,4:00 PM,Middle Tennessee at Colorado State,Colorado State,3.5,58%,28-24,Colorado State -8,Middle Tennessee,4.5,57.5,Under,-5.3
USC,Pac-12,Pac-12 South,1-0,11.7,34,36.1,18,24.3,55,-0.1,109,,10-Sep,4:00 PM,Norfolk State at James Madison,James Madison,36.5,98%,45-9,,,,,,
TCU,Big 12,Big 12,1-0,11.6,35,37.2,14,25.7,64,0.1,10,,10-Sep,4:00 PM,Northern Colorado at Wyoming,Wyoming,22.8,91%,36-13,,,,,,
Texas Tech,Big 12,Big 12,1-0,11.4,36,35.1,25,23.8,53,0.1,25,,10-Sep,4:00 PM,Portland State at Washington,Washington,31.8,97%,39-7,,,,,,
Wake Forest,ACC,ACC Atlantic,1-0,11.3,37,39.6,7,28.3,79,0.1,23,,10-Sep,4:00 PM,Samford at Georgia,Georgia,59.5,100%,59-0,,,,,,
Florida State,ACC,ACC Atlantic,2-0,11.3,38,31.8,44,20.5,28,0.0,71,,10-Sep,4:00 PM,UNLV at California,California,12.7,77%,29-16,California -13,UNLV,0.3,50.5,Under,-5.0
UCLA,Pac-12,Pac-12 South,1-0,11.3,39,37.1,15,25.7,63,-0.1,124,,10-Sep,4:00 PM,Virginia at Illinois,Virginia,1.8,54%,28-27,Illinois -4.5,Virginia,6.3,56,Under,-1.2
Arizona State,Pac-12,Pac-12 South,1-0,10.5,40,29.7,58,19.2,24,0.0,41,,10-Sep,4:00 PM,Wagner at Rutgers,Rutgers,49.8,100%,50-0,,,,,,
Iowa,Big Ten,Big Ten West,1-0,10.5,41,25.7,75,15.2,7,0.0,67,,10-Sep,5:00 PM,Alabama State at UCLA,UCLA,54.2,100%,58-4,,,,,,
Iowa State,Big 12,Big 12,1-0,10.2,42,32.0,43,21.8,38,0.0,70,,10-Sep,5:30 PM,Incarnate Word at Nevada,Nevada,4.5,60%,28-24,,,,,,
Purdue,Big Ten,Big Ten West,0-1,10.2,43,31.3,48,21.1,33,0.0,80,,10-Sep,6:00 PM,Gardner-Webb at Coastal Carolina,Coastal Carolina,38.0,99%,52-14,,,,,,
Fresno State,MWC,MWC West,1-0,9.1,44,31.7,45,22.5,44,-0.1,113,,10-Sep,6:00 PM,Holy Cross at Buffalo,Buffalo,3.4,58%,30-26,,,,,,
North Carolina,ACC,ACC Coastal,2-0,8.9,45,37.7,12,29.0,83,0.2,1,,10-Sep,6:00 PM,Kansas at West Virginia,West Virginia,12.0,76%,34-22,West Virginia -13,Kansas,1.0,58.5,Under,-1.9
Houston,AAC,AAC,1-0,8.9,46,33.6,35,24.7,57,0.0,38,,10-Sep,6:00 PM,Old Dominion at East Carolina,East Carolina,9.7,71%,32-23,East Carolina -12.5,Old Dominion,2.8,53.5,Over,1.7
Missouri,SEC,SEC East,1-0,8.9,47,33.8,34,25.0,60,0.1,15,,10-Sep,6:00 PM,Robert Morris at Miami-OH,Miami-OH,36.5,98%,46-10,,,,,,
Nebraska,Big Ten,Big Ten West,1-Jan,8.7,48,30.5,53,21.7,37,-0.1,129,,10-Sep,6:00 PM,Southeastern Louisiana at Florida Atlantic,Florida Atlantic,9.4,71%,33-23,,,,,,
Oregon,Pac-12,Pac-12 North,0-1,8.7,49,33.5,37,24.7,58,0.0,89,,10-Sep,6:00 PM,UAB at Liberty,UAB,9.9,72%,32-22,UAB -5.5,UAB,4.4,51.5,Over,1.7
UAB,C-USA,C-USA,1-0,8.5,50,29.4,60,20.9,31,0.1,7,,10-Sep,7:00 PM,Alabama A&M at Troy,Troy,29.2,95%,37-8,,,,,,
Air Force,MWC,MWC Mountain,1-0,8.4,51,30.7,52,22.3,42,0.0,60,,10-Sep,7:00 PM,Alcorn State at Tulane,Tulane,34.7,98%,49-15,,,,,,
Oregon State,Pac-12,Pac-12 North,1-0,7.1,52,30.1,55,23.0,48,-0.1,95,,10-Sep,7:00 PM,Central Arkansas at Ole Miss,Ole Miss,42.1,99%,49-6,,,,,,
Washington,Pac-12,Pac-12 North,1-0,7.0,53,26.4,71,19.4,25,0.0,48,,10-Sep,7:00 PM,Eastern Michigan at UL-Lafayette,UL-Lafayette,15.4,81%,35-20,UL-Lafayette -12,UL-Lafayette,3.4,56.5,Under,-2.1
UTSA,C-USA,C-USA,0-1,6.1,54,34.9,26,28.9,81,0.1,17,,10-Sep,7:00 PM,Florida International at Texas State,Texas State,7.7,67%,34-27,Texas State -13.5,Florida International,5.8,59,Over,1.9
Maryland,Big Ten,Big Ten East,1-0,5.8,55,34.0,33,28.3,77,0.1,14,,10-Sep,7:00 PM,Howard at USF,USF,35.9,98%,48-12,,,,,,
Marshall,Sun Belt,Sun Belt East,1-0,5.6,56,30.1,56,24.5,56,0.1,13,,10-Sep,7:00 PM,Kent State at Oklahoma,Oklahoma,41.2,99%,53-12,Oklahoma -32.5,Oklahoma,8.7,69.5,Under,-5.2
Syracuse,ACC,ACC Atlantic,1-0,5.3,57,27.9,66,22.6,45,0.0,40,,10-Sep,7:00 PM,Kentucky at Florida,Florida,0.4,51%,27-27,Florida -4.5,Kentucky,4.1,52.5,Over,1.2
Boise State,MWC,MWC Mountain,0-1,5.3,58,25.3,80,19.9,27,-0.1,128,,10-Sep,7:00 PM,Lamar at SMU,SMU,60.9,100%,62-1,,,,,,
Appalachian State,Sun Belt,Sun Belt East,0-1,5.1,59,32.4,42,27.2,73,-0.1,126,,10-Sep,7:00 PM,Massachusetts at Toledo,Toledo,35.3,98%,44-9,Toledo -28.5,Toledo,6.8,51.5,Over,1.1
Louisville,ACC,ACC Atlantic,0-1,4.7,60,31.3,49,26.6,71,0.0,82,,10-Sep,7:00 PM,Northern Illinois at Tulsa,Tulsa,2.8,56%,31-28,Tulsa -6,Northern Illinois,3.2,58,Over,0.8
Virginia,ACC,ACC Coastal,1-0,4.5,61,35.4,22,30.9,92,0.0,92,,10-Sep,7:00 PM,Stephen F. Austin at Louisiana Tech,Louisiana Tech,0.4,51%,31-30,,,,,,
West Virginia,Big 12,Big 12,0-1,4.2,62,29.0,62,24.9,59,0.1,26,,10-Sep,7:00 PM,Syracuse at Connecticut,Syracuse,24.9,92%,38-13,Syracuse -22.5,Syracuse,2.4,51,Under,-0.4
UL-Lafayette,Sun Belt,Sun Belt West,1-0,3.6,63,25.5,76,21.8,40,-0.1,98,,10-Sep,7:00 PM,Weber State at Utah State,Utah State,8.2,68%,34-26,,,,,,
Western Kentucky,C-USA,C-USA,2-0,3.1,64,35.2,24,32.0,103,-0.1,130,,10-Sep,7:00 PM,Western Carolina at Georgia Tech,Georgia Tech,21.9,90%,40-18,,,,,,
Coastal Carolina,Sun Belt,Sun Belt East,1-0,2.3,65,34.0,32,31.8,102,0.1,30,,10-Sep,7:30 PM,Arizona State at Oklahoma State,Oklahoma State,5.8,63%,29-24,Oklahoma State -11,Arizona State,5.2,54.5,Under,-1.4
Toledo,MAC,MAC West,1-0,2.0,66,25.1,81,23.3,51,0.1,6,,10-Sep,7:30 PM,Georgia Southern at Nebraska,Nebraska,20.9,89%,37-16,Nebraska -21,Georgia Southern,0.1,60.5,Under,-8.1
California,Pac-12,Pac-12 North,1-0,1.1,67,19.3,110,18.2,19,0.1,11,,10-Sep,7:30 PM,McNeese State at Rice,Rice,5.9,63%,31-25,,,,,,
East Carolina,AAC,AAC,0-1,1.0,68,27.3,67,26.2,68,-0.1,127,,10-Sep,7:30 PM,San Jose State at Auburn,Auburn,28.2,95%,37-9,Auburn -22.5,Auburn,5.7,50.5,Under,-3.7
Virginia Tech,ACC,ACC Coastal,0-1,0.2,69,21.5,100,21.3,35,0.0,43,,10-Sep,7:30 PM,Southern U. at LSU,LSU,52.3,100%,53-0,,,,,,
Illinois,Big Ten,Big Ten West,1-Jan,0.2,70,21.7,98,21.5,36,0.0,86,,10-Sep,7:30 PM,Texas Southern at North Texas,North Texas,37.3,98%,48-10,,,,,,
Stanford,Pac-12,Pac-12 North,1-0,-0.2,71,28.5,63,28.6,80,0.0,85,,10-Sep,7:30 PM,USC at Stanford,USC,9.4,71%,34-25,USC -9,USC,0.4,65.5,Under,-6.7
Tulane,AAC,AAC,1-0,-1.0,72,31.6,46,32.7,105,0.0,73,,10-Sep,8:00 PM,Boston College at Virginia Tech,Virginia Tech,4.6,60%,24-19,Virginia Tech -2.5,Virginia Tech,2.1,46,Under,-2.9
Washington State,Pac-12,Pac-12 North,1-0,-1.5,73,21.7,99,23.1,49,0.0,87,,10-Sep,8:00 PM,Hawaii at Michigan,Michigan,54.6,100%,57-3,Michigan -51,Michigan,3.6,65,Under,-5.1
Rutgers,Big Ten,Big Ten East,1-0,-1.8,74,22.4,93,24.3,54,0.1,31,,10-Sep,8:00 PM,Idaho at Indiana,Indiana,23.7,91%,36-12,,,,,,
San Diego State,MWC,MWC West,0-1,-1.9,75,21.3,103,23.2,50,0.1,34,,10-Sep,8:00 PM,Idaho State at San Diego State,San Diego State,34.5,98%,40-5,,,,,,
Boston College,ACC,ACC Atlantic,0-1,-1.9,76,20.8,108,22.5,43,-0.1,106,,10-Sep,8:00 PM,Nicholls State at UL-Monroe,Nicholls State,5.2,62%,32-27,,,,,,
Memphis,AAC,AAC,0-1,-2.8,77,28.2,64,31.1,93,0.0,46,,10-Sep,8:00 PM,Tarleton State at TCU,TCU,44.6,100%,54-9,,,,,,
James Madison,Sun Belt,Sun Belt East,1-0,-2.9,78,25.5,77,28.3,78,-0.1,115,,10-Sep,8:30 PM,Eastern Washington at Oregon,Oregon,20.5,88%,39-19,,,,,,
Indiana,Big Ten,Big Ten East,1-0,-3.4,79,22.5,92,25.9,66,0.0,39,,10-Sep,9:00 PM,New Mexico State at UTEP,UTEP,16.3,83%,32-16,UTEP -14,UTEP,2.3,46,Over,2.5
Northwestern,Big Ten,Big Ten West,1-0,-3.7,80,21.9,97,25.5,62,-0.1,114,,10-Sep,10:15 PM,Baylor at BYU,BYU,1.5,53%,26-25,BYU -3.5,Baylor,2.0,53.5,Under,-2.8
Liberty,Indies,Independents,1-0,-3.9,81,26.1,72,29.9,85,-0.1,97,,10-Sep,10:30 PM,Oregon State at Fresno State,Fresno State,4.5,60%,29-25,Oregon State -1,Fresno State,5.5,60.5,Under,-6.8
Central Michigan,MAC,MAC West,0-1,-4.1,82,29.7,59,33.7,109,-0.1,125,,10-Sep,11:00 PM,Mississippi State at Arizona,Mississippi State,22.3,90%,36-14,Mississippi State -10.5,Mississippi State,11.8,62,Under,-11.5
Army,Indies,Independents,0-1,-4.3,83,26.6,70,30.8,91,-0.1,94,,,,,,,,,,,,,,
Kansas,Big 12,Big 12,1-0,-5.3,84,27.0,68,32.3,104,-0.1,108,,,,,,,,,,,,,,
Georgia State,Sun Belt,Sun Belt East,0-1,-5.4,85,23.5,88,28.9,82,0.0,74,,,,,,,,,,,,,,
Utah State,MWC,MWC Mountain,1-1,-5.8,86,26.9,69,32.7,106,0.0,44,,,,,,,,,,,,,,
Miami-OH,MAC,MAC East,0-1,-6.1,87,25.0,82,31.2,94,0.0,69,,,,,,,,,,,,,,
Florida Atlantic,C-USA,C-USA,1-1,-6.2,88,25.0,84,31.3,97,0.1,8,,,,,,,,,,,,,,
Old Dominion,Sun Belt,Sun Belt East,1-0,-6.2,89,25.3,79,31.6,100,0.0,45,,,,,,,,,,,,,,
South Alabama,Sun Belt,Sun Belt West,1-0,-6.3,90,21.1,104,27.5,74,0.0,63,,,,,,,,,,,,,,
Vanderbilt,SEC,SEC East,2-0,-6.5,91,22.9,90,29.2,84,-0.1,131,,,,,,,,,,,,,,
Arizona,Pac-12,Pac-12 South,1-0,-6.6,92,21.0,107,27.5,75,-0.1,112,,,,,,,,,,,,,,
Troy,Sun Belt,Sun Belt West,0-1,-7.3,93,19.1,112,26.5,70,0.1,21,,,,,,,,,,,,,,
Tulsa,AAC,AAC,0-1,-7.4,94,23.3,89,30.6,89,-0.1,111,,,,,,,,,,,,,,
Southern Miss,Sun Belt,Sun Belt West,0-1,-7.5,95,18.5,114,26.0,67,0.0,62,,,,,,,,,,,,,,
Northern Illinois,MAC,MAC West,1-0,-7.7,96,28.0,65,35.7,117,0.0,36,,,,,,,,,,,,,,
Georgia Tech,ACC,ACC Coastal,0-1,-7.8,97,25.4,78,33.1,108,0.0,90,,,,,,,,,,,,,,
Western Michigan,MAC,MAC West,0-1,-7.9,98,22.0,95,30.0,86,0.0,53,,,,,,,,,,,,,,
North Texas,C-USA,C-USA,1-1,-8.0,99,24.9,85,32.9,107,-0.1,101,,,,,,,,,,,,,,
UNLV,MWC,MWC West,1-0,-9.0,100,22.2,94,31.3,96,0.1,16,,,,,,,,,,,,,,
Eastern Michigan,MAC,MAC West,1-0,-9.3,101,26.1,73,35.5,115,0.0,58,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,Sun Belt East,1-0,-9.6,102,21.5,101,31.2,95,0.1,35,,,,,,,,,,,,,,
USF,AAC,AAC,0-1,-9.9,103,25.0,83,35.0,112,0.0,79,,,,,,,,,,,,,,
Ohio,MAC,MAC East,1-0,-10.1,104,21.3,102,31.4,98,0.0,88,,,,,,,,,,,,,,
Navy,AAC,AAC,0-1,-10.3,105,17.7,116,28.0,76,-0.1,110,,,,,,,,,,,,,,
San Jose State,MWC,MWC West,1-0,-10.9,106,16.4,125,27.2,72,-0.1,99,,,,,,,,,,,,,,
Nevada,MWC,MWC West,2-0,-11.0,107,20.6,109,31.8,101,0.1,2,,,,,,,,,,,,,,
Colorado,Pac-12,Pac-12 South,0-1,-11.3,108,19.0,113,30.4,87,0.0,52,,,,,,,,,,,,,,
Duke,ACC,ACC Coastal,1-0,-11.3,109,24.0,87,35.4,114,0.0,77,,,,,,,,,,,,,,
Arkansas State,Sun Belt,Sun Belt West,1-0,-11.9,110,24.1,86,36.0,118,0.0,59,,,,,,,,,,,,,,
Colorado State,MWC,MWC Mountain,0-1,-13.4,111,17.2,120,30.5,88,-0.1,117,,,,,,,,,,,,,,
UTEP,C-USA,C-USA,0-2,-14.0,112,16.7,123,30.7,90,0.0,61,,,,,,,,,,,,,,
Buffalo,MAC,MAC East,0-1,-14.0,113,21.1,106,35.0,113,-0.1,122,,,,,,,,,,,,,,
Wyoming,MWC,MWC Mountain,1-1,-14.4,114,17.1,121,31.5,99,0.0,66,,,,,,,,,,,,,,
Middle Tennessee,C-USA,C-USA,0-1,-14.5,115,21.1,105,35.6,116,0.0,76,,,,,,,,,,,,,,
Bowling Green,MAC,MAC East,0-1,-15.5,116,19.1,111,34.6,110,0.0,81,,,,,,,,,,,,,,
Kent State,MAC,MAC East,0-1,-15.6,117,25.9,74,41.6,127,0.1,18,,,,,,,,,,,,,,
New Mexico,MWC,MWC Mountain,1-0,-15.7,118,10.2,131,25.8,65,0.0,84,,,,,,,,,,,,,,
Louisiana Tech,C-USA,C-USA,0-1,-17.0,119,21.9,96,38.9,123,-0.1,96,,,,,,,,,,,,,,
Ball State,MAC,MAC West,0-1,-17.2,120,17.7,117,34.9,111,0.0,37,,,,,,,,,,,,,,
Charlotte,C-USA,C-USA,0-2,-17.6,121,22.5,91,40.1,125,-0.1,105,,,,,,,,,,,,,,
Connecticut,Indies,Independents,1-1,-22.0,122,14.3,127,36.4,119,0.1,3,,,,,,,,,,,,,,
Rice,C-USA,C-USA,0-1,-22.4,123,16.6,124,39.1,124,0.0,42,,,,,,,,,,,,,,
Akron,MAC,MAC East,1-0,-23.9,124,14.3,126,38.2,120,0.0,83,,,,,,,,,,,,,,
Texas State,Sun Belt,Sun Belt West,0-1,-24.2,125,17.2,119,41.4,126,0.0,50,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,Sun Belt West,0-1,-24.4,126,17.5,118,41.8,128,-0.1,104,,,,,,,,,,,,,,
Temple,AAC,AAC,0-1,-25.3,127,13.6,128,38.9,122,0.0,55,,,,,,,,,,,,,,
Hawaii,MWC,MWC West,0-2,-26.0,128,18.0,115,44.1,130,0.0,68,,,,,,,,,,,,,,
New Mexico State,Indies,Independents,0-2,-27.8,129,11.0,130,38.7,121,-0.1,121,,,,,,,,,,,,,,
Florida International,C-USA,C-USA,1-0,-29.3,130,16.9,122,46.2,131,0.0,54,,,,,,,,,,,,,,
Massachusetts,Indies,Independents,0-1,-30.8,131,13.0,129,43.8,129,-0.1,116,,,,,,,,,,,,,,
