Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Stanford,Pac-12,Pac-12 North,1-1,-0.3,73,29.5,58,29.8,83,0,65,,,,,,,,,,,,,,
California,Pac-12,Pac-12 North,2-0,-0.5,74,18.2,118,18.8,23,0,57,,,,,,,,,,,,,,
Virginia,ACC,ACC Coastal,1-1,-1.1,75,32.1,38,33,102,-0.1,103,,,,,,,,,,,,,,
Liberty,Indies,Independents,2-0,-1.2,76,27.1,70,28.2,77,-0.2,121,,,,,,,,,,,,,,
San Diego State,MWC,MWC West,1-1,-1.5,77,21.2,105,22.9,48,0.2,12,,,,,,,,,,,,,,
Boston College,ACC,ACC Atlantic,0-2,-2.8,78,19.9,110,22.6,46,-0.1,104,,,,,,,,,,,,,,
Army,Indies,Independents,0-2,-3,79,28.1,66,31.1,95,0,70,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,Sun Belt East,2-0,-3.5,80,31.3,48,35,112,0.1,38,,,,,,,,,,,,,,
Indiana,Big Ten,Big Ten East,2-0,-3.8,81,22.6,96,26.3,68,0,67,,,,,,,,,,,,,,
Florida Atlantic,C-USA,C-USA,2-1,-4.1,82,24.1,88,28.6,79,0.3,2,,,,,,,,,,,,,,
Troy,Sun Belt,Sun Belt West,1-1,-4.8,83,20.6,107,25.5,61,0.1,37,,,,,,,,,,,,,,
Georgia State,Sun Belt,Sun Belt East,0-2,-4.8,84,24,89,28.9,82,0.1,48,,,,,,,,,,,,,,
Kansas,Big 12,Big 12,2-0,-5.3,85,28,67,33.2,103,-0.1,87,,,,,,,,,,,,,,
Tulsa,AAC,AAC,1-1,-5.7,86,24.9,83,30.4,89,-0.1,83,,,,,,,,,,,,,,
North Texas,C-USA,C-USA,2-1,-5.8,87,26.7,74,32.7,100,0.2,23,,,,,,,,,,,,,,
Northwestern,Big Ten,Big Ten West,1-1,-6.3,88,21.3,103,27.4,74,-0.2,123,,,,,,,,,,,,,,
South Alabama,Sun Belt,Sun Belt West,2-0,-6.4,89,21.2,104,27.6,75,0,64,,,,,,,,,,,,,,
Miami-OH,MAC,MAC East,1-1,-6.8,90,24.3,87,31.1,94,-0.1,77,,,,,,,,,,,,,,
Central Michigan,MAC,MAC West,0-2,-7.1,91,28.1,65,35.1,113,-0.2,114,,,,,,,,,,,,,,
Georgia Tech,ACC,ACC Coastal,1-1,-7.4,92,26.7,75,34,107,-0.1,101,,,,,,,,,,,,,,
Northern Illinois,MAC,MAC West,1-1,-8.1,93,28.2,63,36.2,118,-0.1,100,,,,,,,,,,,,,,
Arizona,Pac-12,Pac-12 South,1-1,-8.2,94,20.5,108,28.6,81,-0.1,93,,,,,,,,,,,,,,
USF,AAC,AAC,1-1,-8.2,95,26.1,78,34.1,109,-0.2,119,,,,,,,,,,,,,,
Utah State,MWC,MWC Mountain,1-2,-8.5,96,25.5,79,34.1,108,0.1,44,,,,,,,,,,,,,,
Old Dominion,Sun Belt,Sun Belt East,1-1,-8.5,97,24.7,86,33.3,104,0,66,,,,,,,,,,,,,,
San Jose State,MWC,MWC West,1-1,-8.6,98,17.6,121,26,65,-0.2,118,,,,,,,,,,,,,,
Vanderbilt,SEC,SEC East,2-1,-9,99,22.8,94,31.9,97,0.1,31,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,Sun Belt East,2-0,-9,100,23.1,93,32.3,98,0.1,39,,,,,,,,,,,,,,
Western Michigan,MAC,MAC West,1-1,-9,101,21.7,101,30.8,92,0.1,30,,,,,,,,,,,,,,
Southern Miss,Sun Belt,Sun Belt West,0-2,-9.1,102,17.8,119,26.9,71,-0.1,79,,,,,,,,,,,,,,
Duke,ACC,ACC Coastal,2-0,-9.4,103,25.3,81,34.6,110,-0.1,102,,,,,,,,,,,,,,
UNLV,MWC,MWC West,1-1,-9.6,104,21.4,102,31.2,96,0.1,25,,,,,,,,,,,,,,
Louisiana Tech,C-USA,C-USA,1-1,-10.6,105,24.8,84,35.3,114,-0.1,98,,,,,,,,,,,,,,
Eastern Michigan,MAC,MAC West,1-1,-11.6,106,25.5,80,37,120,-0.1,81,,,,,,,,,,,,,,
Nevada,MWC,MWC West,2-1,-11.9,107,20.8,106,32.9,101,0.2,7,,,,,,,,,,,,,,
Middle Tennessee,C-USA,C-USA,1-1,-12.1,108,21.7,100,33.7,106,0,69,,,,,,,,,,,,,,
Wyoming,MWC,MWC Mountain,2-1,-12.4,109,17.7,120,30,86,0,75,,,,,,,,,,,,,,
Colorado,Pac-12,Pac-12 South,0-2,-12.4,110,18.5,116,31,93,0.1,26,,,,,,,,,,,,,,
Kent State,MAC,MAC East,0-2,-13.3,111,26.6,76,40,127,0.1,53,,,,,,,,,,,,,,
UTEP,C-USA,C-USA,1-2,-13.4,112,17.2,122,30.8,91,0.2,3,,,,,,,,,,,,,,
Ohio,MAC,MAC East,1-1,-13.5,113,20,109,33.4,105,-0.1,90,,,,,,,,,,,,,,
Colorado State,MWC,MWC Mountain,0-2,-13.6,114,17,123,30.4,87,-0.2,129,,,,,,,,,,,,,,
Buffalo,MAC,MAC East,0-2,-13.8,115,21.8,99,35.6,115,0,74,,,,,,,,,,,,,,
Arkansas State,Sun Belt,Sun Belt West,1-1,-14.4,116,23.1,92,37.8,123,0.2,6,,,,,,,,,,,,,,
Navy,AAC,AAC,0-2,-14.6,117,16,124,30.4,88,-0.1,99,,,,,,,,,,,,,,
Bowling Green,MAC,MAC East,0-2,-15.9,118,19.9,111,35.6,116,-0.1,95,,,,,,,,,,,,,,
Ball State,MAC,MAC West,0-2,-16.3,119,18.3,117,34.6,111,0.1,54,,,,,,,,,,,,,,
Rice,C-USA,C-USA,1-1,-16.6,120,19.5,113,36.1,117,0,59,,,,,,,,,,,,,,
New Mexico,MWC,MWC Mountain,1-1,-16.7,121,9.9,130,26.5,70,-0.1,89,,,,,,,,,,,,,,
Charlotte,C-USA,C-USA,0-3,-17,122,23.7,91,40.6,128,-0.1,105,,,,,,,,,,,,,,
Texas State,Sun Belt,Sun Belt West,1-1,-18.7,123,19.2,114,38,124,0.1,47,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,Sun Belt West,1-1,-20.5,124,19,115,39.3,126,-0.1,86,,,,,,,,,,,,,,
Temple,AAC,AAC,1-1,-22.2,125,14.4,126,36.4,119,-0.2,120,,,,,,,,,,,,,,
Connecticut,Indies,Independents,1-2,-23.6,126,13.9,128,37.6,121,0.1,41,,,,,,,,,,,,,,
Akron,MAC,MAC East,1-1,-24.9,127,14,127,38.8,125,-0.2,115,,,,,,,,,,,,,,
Hawaii,MWC,MWC West,0-3,-26.2,128,19.6,112,45.7,130,-0.1,97,,,,,,,,,,,,,,
New Mexico State,Indies,Independents,0-3,-28.3,129,9.7,131,37.7,122,-0.3,131,,,,,,,,,,,,,,
Massachusetts,Indies,Independents,0-2,-30.9,130,13.3,129,44.1,129,-0.1,94,,,,,,,,,,,,,,
Florida International,C-USA,C-USA,1-1,-31,131,15.6,125,46.8,131,0.1,27,,,,,,,,,,,,,,
