Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
15-Oct,3:30 PM,Kent State at Toledo,Toledo,16.8,83%,37-20,Toledo -9,Toledo,7.8,62.0,Under,-4.2
15-Oct,3:30 PM,Maryland at Indiana,Maryland,15.1,81%,36-21,Maryland -11,Maryland,4.1,62.0,Under,-5.1
15-Oct,3:30 PM,NC State at Syracuse,NC State,3.7,58%,26-22,Syracuse -3.5,NC State,7.2,44.0,Over,4.2
15-Oct,3:30 PM,Northern Illinois at Eastern Michigan,Eastern Michigan,6.3,64%,37-31,Eastern Michigan -2.5,Eastern Michigan,3.8,63.5,Over,4.0
15-Oct,3:30 PM,Ohio at Western Michigan,Western Michigan,2.9,57%,32-29,PICK,Western Michigan,2.9,60.0,Over,1.6
15-Oct,3:30 PM,Oklahoma State at TCU,Oklahoma State,0.0,50%,31-31,TCU -3.5,Oklahoma State,3.5,68.0,Under,-5.6
15-Oct,3:30 PM,Texas State at Troy,Troy,14.0,79%,32-18,Troy -16.5,Texas State,2.5,48.5,Over,1.2
15-Oct,3:30 PM,Vanderbilt at Georgia,Georgia,39.0,99%,49-10,Georgia -39,Georgia,0.0,58.0,Over,0.3
15-Oct,3:30 PM,Western Kentucky at Middle Tennessee,Western Kentucky,9.1,70%,35-26,Western Kentucky -7.5,Western Kentucky,1.6,67.0,Under,-5.5
15-Oct,4:00 PM,James Madison at Georgia Southern,James Madison,9.9,72%,34-24,James Madison -10.5,Georgia Southern,0.6,63.5,Under,-5.5
15-Oct,4:00 PM,Louisiana Tech at North Texas,North Texas,7.1,66%,35-28,North Texas -6.5,North Texas,0.6,70.5,Under,-7.4
15-Oct,4:00 PM,Tulane at USF,Tulane,16.5,83%,37-20,Tulane -11.5,Tulane,5.0,55.0,Over,2.4
15-Oct,4:00 PM,Wisconsin at Michigan State,Wisconsin,5.5,63%,29-23,Wisconsin -7,Michigan State,1.5,48.0,Over,4.4
15-Oct,5:30 PM,Arizona at Washington,Washington,21.8,90%,42-20,Washington -15.5,Washington,6.3,71.0,Under,-9.6
15-Oct,6:00 PM,Rice at Florida Atlantic,Florida Atlantic,8.8,69%,33-24,Florida Atlantic -4,Florida Atlantic,4.8,56.0,Over,1.5
15-Oct,7:00 PM,Arkansas State at Southern Miss,Southern Miss,6.9,66%,30-23,Southern Miss -3.5,Southern Miss,3.4,56.0,Under,-2.7
15-Oct,7:00 PM,LSU at Florida,LSU,0.3,51%,28-27,Florida -2.5,LSU,2.8,48.0,Over,6.8
15-Oct,7:00 PM,UL-Monroe at South Alabama,South Alabama,17.4,84%,35-18,South Alabama -17,South Alabama,0.4,53.0,Under,-0.5
15-Oct,7:00 PM,Utah State at Colorado State,Utah State,8.0,68%,30-22,Utah State -11.5,Colorado State,3.5,48.0,Over,4.0
15-Oct,7:30 PM,Clemson at Florida State,Clemson,4.1,59%,29-25,Clemson -4.5,Florida State,0.4,51.0,Over,3.1
15-Oct,7:30 PM,Memphis at East Carolina,East Carolina,2.3,55%,30-28,East Carolina -5,Memphis,2.7,59.5,Under,-2.0
15-Oct,7:30 PM,Mississippi State at Kentucky,Kentucky,0.5,51%,26-26,Mississippi State -7,Kentucky,7.5,47.0,Over,4.9
15-Oct,7:30 PM,Nebraska at Purdue,Purdue,14.7,80%,34-20,Purdue -14,Purdue,0.7,57.5,Under,-3.3
15-Oct,7:30 PM,Stanford at Notre Dame,Notre Dame,15.4,81%,37-21,Notre Dame -16.5,Stanford,1.1,52.0,Over,6.2
15-Oct,8:00 PM,New Mexico at New Mexico State,New Mexico,4.0,59%,23-19,New Mexico -6.5,New Mexico State,2.5,37.5,Over,4.6
15-Oct,8:00 PM,North Carolina at Duke,North Carolina,4.9,61%,35-30,North Carolina -6.5,Duke,1.6,66.5,Under,-2.2
15-Oct,8:00 PM,USC at Utah,Utah,6.8,65%,35-28,Utah -3.5,Utah,3.3,60.5,Over,1.8
15-Oct,9:00 PM,Washington State at Oregon State,Washington State,0.1,50%,27-27,Oregon State -3,Washington State,3.1,53.0,Over,0.8
15-Oct,10:30 PM,Air Force at UNLV,Air Force,4.5,60%,29-25,Air Force -9,UNLV,4.5,53.5,Over,0.5
15-Oct,10:45 PM,San Jose State at Fresno State,Fresno State,4.1,59%,27-23,San Jose State -6.5,Fresno State,10.6,49.5,Over,1.2
15-Oct,11:59 PM,Nevada at Hawaii,Nevada,6.6,65%,30-23,Nevada -4.5,Nevada,2.1,49.0,Over,3.8
