Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
South Carolina,SEC,1-0,4.6,48,26.3,78,21.6,35,0.0,82,,7-Sep,7:00 PM,Georgia Southern at Nevada,Nevada,0.6,52%,32-31,Georgia Southern -1.5,Nevada,2.1,58.5,Over,3.9
Illinois,Big Ten,1-0,4.6,49,25.7,80,21.1,33,0.0,57,,7-Sep,7:00 PM,Kansas at Illinois,Kansas,5.6,64%,31-25,Kansas -6,Illinois,0.4,55.5,Over,0.1
Washington State,Indies,1-0,4.1,50,34.5,24,30.4,86,0.0,89,,7-Sep,7:00 PM,Northern Colorado at Colorado State,Colorado State,23.5,93%,40-17,,,,,,
Virginia Tech,ACC,0-1,3.5,51,29.1,55,25.6,51,0.0,78,,7-Sep,7:00 PM,Samford at Florida,Florida,28.4,96%,45-16,,,,,,
Georgia Tech,ACC,2-0,3.5,52,33.3,31,29.8,80,0.0,79,,7-Sep,7:00 PM,San Jose State at Air Force,Air Force,0.5,51%,25-24,Air Force -6.5,San Jose State,6,45.5,Over,3.5
Purdue,Big Ten,1-0,3.4,53,28.5,60,25.1,47,0.0,64,,7-Sep,7:00 PM,Southeastern Louisiana at Southern Miss,Southern Miss,7.2,67%,31-23,,,,,,
Tulane,AAC,1-0,3.4,54,28.0,65,24.5,46,0.0,86,,7-Sep,7:00 PM,Texas Southern at Rice,Rice,24.0,93%,41-17,,,,,,
West Virginia,Big 12,0-1,3.3,55,31.9,42,28.7,74,0.0,47,,7-Sep,7:00 PM,Tulsa at Arkansas State,Arkansas State,2.2,55%,33-31,Arkansas State -7,Tulsa,4.8,65.5,Under,-1.2
Appalachian State,Sun Belt,1-0,2.7,56,33.3,32,30.7,90,0.1,27,,7-Sep,7:00 PM,UAB at UL-Monroe,UAB,11.3,76%,36-25,UAB -13,UL-Monroe,1.7,54.5,Over,6.3
Pittsburgh,ACC,1-0,2.5,57,26.9,73,24.4,44,0.1,9,,7-Sep,7:00 PM,UL-Lafayette at Kennesaw State,UL-Lafayette,19.0,88%,37-18,UL-Lafayette -14.5,UL-Lafayette,4.5,47.5,Over,8.4
Texas Tech,Big 12,1-0,2.4,58,32.6,38,30.3,84,0.1,11,,7-Sep,7:00 PM,USF at Alabama,Alabama,33.3,98%,47-14,Alabama -31,Alabama,2.3,63.5,Under,-2.5
Minnesota,Big Ten,0-1,2.2,59,21.0,99,18.7,23,-0.1,131,,7-Sep,7:00 PM,Virginia at Wake Forest,Wake Forest,2.9,57%,28-25,Wake Forest -2.5,Wake Forest,0.4,54.5,Under,-0.9
Oregon State,Indies,1-0,2.2,60,30.0,51,27.8,69,0.0,92,,7-Sep,7:00 PM,William & Mary at Coastal Carolina,Coastal Carolina,13.3,80%,36-22,,,,,,
James Madison,Sun Belt,1-0,2.0,61,29.4,54,27.4,64,0.1,25,,7-Sep,7:30 PM,Alcorn State at Vanderbilt,Vanderbilt,30.6,97%,46-15,,,,,,
BYU,Big 12,1-0,1.9,62,30.8,48,28.9,76,0.0,54,,7-Sep,7:30 PM,Colorado at Nebraska,Nebraska,10.5,74%,30-20,Nebraska -7,Nebraska,3.5,57.5,Under,-7.6
Colorado,Big 12,1-0,1.7,63,34.1,26,32.5,100,0.1,28,,7-Sep,7:30 PM,Nicholls State at LSU,LSU,41.8,100%,55-13,,,,,,
UL-Lafayette,Sun Belt,1-0,1.6,64,33.9,28,32.3,97,0.0,52,,7-Sep,7:30 PM,Stephen F. Austin at North Texas,North Texas,16.7,85%,47-30,,,,,,
Liberty,CUSA,1-0,0.8,65,33.4,30,32.5,101,-0.1,119,,7-Sep,7:30 PM,Tennessee vs. NC State,Tennessee,14.2,81%,34-20,Tennessee -7.5,Tennessee,6.7,60.5,Under,-6.5
Arizona State,Big 12,1-0,0.8,66,27.1,71,26.2,58,-0.1,130,,7-Sep,7:30 PM,Western Michigan at Ohio State,Ohio State,42.8,100%,45-3,Ohio State -38.5,Ohio State,4.3,54.5,Under,-6.7
Cincinnati,Big 12,1-0,0.8,67,28.8,59,28.0,71,0.0,72,,7-Sep,7:45 PM,Houston at Oklahoma,Oklahoma,33.9,98%,45-11,Oklahoma -29.5,Oklahoma,4.4,52.5,Over,4.0
Wake Forest,ACC,1-0,0.5,68,26.4,77,25.8,53,0.0,66,,7-Sep,8:00 PM,Appalachian State at Clemson,Clemson,9.7,73%,34-24,Clemson -17,Appalachian State,7.3,51.5,Over,6.4
Virginia,ACC,1-0,0.3,69,27.7,69,27.4,65,0.0,59,,7-Sep,8:00 PM,Long Island at TCU,TCU,49.5,100%,54-4,,,,,,
Boston College,ACC,1-0,0.3,70,26.5,75,26.1,57,-0.1,101,,7-Sep,8:00 PM,Southern Utah at UTEP,Southern Utah,0.3,51%,25-24,,,,,,
Syracuse,ACC,1-0,0.1,71,27.7,68,27.7,67,0.0,48,,7-Sep,10:00 PM,Boise State at Oregon,Oregon,20.5,90%,41-21,Oregon -19.5,Oregon,1,61.5,Over,0.8
USF,AAC,1-0,-0.8,72,31.7,43,32.6,102,0.1,10,,7-Sep,10:00 PM,Northern Arizona at Arizona,Arizona,30.5,97%,49-19,,,,,,
Indiana,Big Ten,1-0,-1.1,73,23.3,89,24.4,45,0.1,22,,7-Sep,10:00 PM,Sacramento State at Fresno State,Fresno State,13.8,81%,37-23,,,,,,
UTSA,AAC,1-0,-1.6,74,28.4,62,29.9,81,-0.1,111,,7-Sep,10:00 PM,Texas Tech at Washington State,Washington State,4.3,61%,34-30,Texas Tech -1.5,Washington State,5.8,65.5,Under,-1.6
Fresno State,MWC,0-1,-1.7,75,28.8,58,30.5,87,0.0,84,,7-Sep,10:15 PM,Liberty at New Mexico State,Liberty,11.2,76%,35-24,Liberty -22.5,New Mexico State,11.3,58.5,Over,0.3
UNLV,MWC,1-0,-1.7,76,31.3,44,33.0,106,-0.1,100,,7-Sep,10:30 PM,Mississippi State at Arizona State,Mississippi State,2.4,56%,28-25,Arizona State -6.5,Mississippi State,8.9,56.5,Under,-3.2
Northwestern,Big Ten,1-0,-2.1,77,16.4,117,18.5,22,0.1,41,,7-Sep,10:30 PM,Oregon State at San Diego State,Oregon State,5.3,63%,30-24,Oregon State -4,Oregon State,1.3,55.5,Under,-1.3
Coastal Carolina,Sun Belt,1-0,-2.1,78,27.8,67,30.0,83,0.1,24,,7-Sep,11:00 PM,Utah State at USC,USC,25.5,94%,48-23,USC -28.5,Utah State,3,63.5,Over,7.6
Toledo,MAC,1-0,-2.7,79,21.2,98,23.9,41,-0.1,126,,,,,,,,,,,,,,
East Carolina,AAC,1-0,-4.3,80,20.7,101,25.1,48,0.1,29,,,,,,,,,,,,,,
Marshall,Sun Belt,1-0,-4.5,81,26.1,79,30.6,89,0.0,61,,,,,,,,,,,,,,
Stanford,ACC,0-1,-4.7,82,26.8,74,31.5,93,0.0,67,,,,,,,,,,,,,,
Michigan State,Big Ten,1-0,-4.9,83,14.2,125,19.2,24,0.0,43,,,,,,,,,,,,,,
Vanderbilt,SEC,1-0,-5.3,84,28.0,64,33.3,107,0.1,32,,,,,,,,,,,,,,
Northern Illinois,MAC,1-0,-5.6,85,19.7,108,25.2,49,-0.1,124,,,,,,,,,,,,,,
San Diego State,MWC,1-0,-5.7,86,22.5,91,28.1,73,-0.1,118,,,,,,,,,,,,,,
UAB,AAC,1-0,-5.8,87,32.1,40,38.0,126,0.1,12,,,,,,,,,,,,,,
Troy,Sun Belt,0-1,-6.0,88,23.2,90,29.1,78,-0.1,115,,,,,,,,,,,,,,
Army,AAC,1-0,-7.0,89,20.6,103,27.5,66,-0.1,103,,,,,,,,,,,,,,
Bowling Green,MAC,1-0,-7.2,90,23.8,87,31.0,92,0.0,56,,,,,,,,,,,,,,
San Jose State,MWC,1-0,-7.4,91,24.3,86,31.6,94,-0.1,123,,,,,,,,,,,,,,
Miami-OH,MAC,0-1,-7.8,92,14.0,127,21.7,36,-0.1,114,,,,,,,,,,,,,,
Utah State,MWC,1-0,-8.6,93,30.6,49,39.3,129,0.1,18,,,,,,,,,,,,,,
North Texas,AAC,1-0,-8.6,94,33.9,27,42.5,134,0.0,75,,,,,,,,,,,,,,
Arkansas State,Sun Belt,1-0,-8.8,95,27.8,66,36.7,123,0.1,14,,,,,,,,,,,,,,
Tulsa,AAC,1-0,-8.9,96,27.7,70,36.5,119,0.0,93,,,,,,,,,,,,,,
Navy,AAC,1-0,-8.9,97,18.8,112,27.7,68,0.0,74,,,,,,,,,,,,,,
Central Michigan,MAC,1-0,-9.3,98,22.5,92,31.8,95,0.1,40,,,,,,,,,,,,,,
Texas State,Sun Belt,1-0,-9.3,99,28.5,61,37.8,125,-0.1,106,,,,,,,,,,,,,,
Air Force,MWC,1-0,-9.4,100,16.4,116,25.7,52,-0.1,129,,,,,,,,,,,,,,
Hawaii,MWC,1-Jan,-9.8,101,20.8,100,30.6,88,0.1,31,,,,,,,,,,,,,,
Houston,Big 12,0-1,-9.9,102,25.1,83,34.9,109,-0.1,132,,,,,,,,,,,,,,
Western Kentucky,CUSA,0-1,-10.2,103,25.4,81,35.6,112,-0.1,122,,,,,,,,,,,,,,
Sam Houston,CUSA,1-0,-10.5,104,19.5,109,30.0,82,-0.1,112,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,0-1,-10.8,105,28.8,57,39.7,130,0.1,26,,,,,,,,,,,,,,
South Alabama,Sun Belt,0-1,-11.2,106,24.8,84,35.9,116,-0.1,108,,,,,,,,,,,,,,
Old Dominion,Sun Belt,0-1,-11.6,107,21.3,97,32.9,105,0.0,85,,,,,,,,,,,,,,
Florida Atlantic,AAC,0-1,-12.0,108,15.0,121,26.9,62,-0.1,125,,,,,,,,,,,,,,
Eastern Michigan,MAC,1-0,-12.4,109,14.5,122,26.9,63,0.0,88,,,,,,,,,,,,,,
Buffalo,MAC,1-0,-12.5,110,14.1,126,26.5,60,-0.1,116,,,,,,,,,,,,,,
Nevada,MWC,1-Jan,-12.6,111,21.9,93,34.5,108,-0.1,133,,,,,,,,,,,,,,
Western Michigan,MAC,0-1,-12.7,112,20.2,104,32.8,104,-0.1,121,,,,,,,,,,,,,,
New Mexico State,CUSA,1-0,-12.9,113,19.4,111,32.4,98,0.0,44,,,,,,,,,,,,,,
Louisiana Tech,CUSA,1-0,-13.6,114,21.5,95,35.0,110,0.0,95,,,,,,,,,,,,,,
Rice,AAC,0-1,-14.4,115,21.6,94,36.0,117,-0.1,110,,,,,,,,,,,,,,
Wyoming,MWC,0-1,-15.4,116,17.0,115,32.4,99,0.0,65,,,,,,,,,,,,,,
Ohio,MAC,0-1,-15.4,117,11.4,133,26.8,61,0.1,30,,,,,,,,,,,,,,
Jacksonville State,CUSA,0-1,-16.3,118,20.2,105,36.5,121,0.0,50,,,,,,,,,,,,,,
Georgia State,Sun Belt,0-1,-16.5,119,20.0,106,36.5,120,0.0,83,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-0,-16.8,120,18.8,113,35.6,113,0.0,81,,,,,,,,,,,,,,
Colorado State,MWC,0-1,-17.8,121,19.5,110,37.2,124,-0.1,117,,,,,,,,,,,,,,
Ball State,MAC,0-0,-18.0,122,13.9,128,31.9,96,0.0,69,,,,,,,,,,,,,,
Southern Miss,Sun Belt,0-1,-19.0,123,17.7,114,36.5,122,-0.1,128,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,1-0,-19.4,124,16.0,119,35.5,111,0.1,20,,,,,,,,,,,,,,
New Mexico,MWC,0-2,-19.5,125,20.7,102,40.0,131,-0.2,134,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-1,-19.9,126,12.8,131,32.8,103,0.1,39,,,,,,,,,,,,,,
Charlotte,AAC,0-1,-21.4,127,14.4,124,35.7,114,0.0,87,,,,,,,,,,,,,,
UTEP,CUSA,0-1,-22.9,128,13.2,130,36.1,118,-0.1,127,,,,,,,,,,,,,,
Akron,MAC,0-1,-23.3,129,7.6,134,30.8,91,0.0,51,,,,,,,,,,,,,,
Florida International,CUSA,0-1,-23.8,130,15.3,120,39.1,127,0.0,96,,,,,,,,,,,,,,
Massachusetts,Indies,0-1,-23.9,131,16.2,118,40.0,132,-0.1,105,,,,,,,,,,,,,,
Connecticut,Indies,0-1,-24.0,132,12.0,132,35.9,115,-0.1,120,,,,,,,,,,,,,,
Kent State,MAC,0-1,-25.7,133,13.4,129,39.1,128,0.0,62,,,,,,,,,,,,,,
Temple,AAC,0-1,-27.0,134,14.5,123,41.5,133,0.0,80,,,,,,,,,,,,,,
