team,conference,CFB_Week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
Ball State,Mid-American,0,75.0862262452785,110,-16.18112194181352
Miami (OH),Mid-American,0,62.37943240861685,53,-2.5501534385126283
Oklahoma State,Big 12,0,66.94615475241177,57,-3.0731960976836925
Oregon,Big Ten,0,37.63200043701558,2,23.68439126121043
Texas,SEC,0,40.49707197951338,6,17.427932555407562
Buffalo,Mid-American,0,78.73787241175671,99,-13.870598803340132
New Mexico State,Conference USA,0,66.88769572867436,70,-5.677270720224131
USC,Big Ten,0,54.31250834438071,25,3.861271816514404
Oregon State,Pac-12,0,43.1467533510665,16,8.926109920253367
Fresno State,Mountain West,0,56.42674384108517,36,1.2517252532843397
Coastal Carolina,Sun Belt,0,57.33695253802879,63,-4.86330019481407
Washington State,Pac-12,0,62.76176623894123,42,0.7442245284795475
Rice,American Athletic,0,71.64860270428433,80,-8.274492498963458
Toledo,Mid-American,0,43.846705373808405,38,1.177185894251216
UCLA,Big Ten,0,47.03104932356565,23,5.344659719374173
Kentucky,SEC,0,56.84719546369856,50,-0.7117830652331105
Missouri,SEC,0,55.280148397876296,21,5.600901262247037
Syracuse,ACC,0,60.0239508494798,86,-9.297903770130024
Cincinnati,Big 12,0,55.196768150550135,72,-6.0850558310784315
Stanford,ACC,0,90.88021931895736,130,-25.766473371863817
Auburn,SEC,0,58.853596635482944,41,0.7592259900670274
Florida,SEC,0,55.57696723477311,27,3.2100397770489657
Liberty,Conference USA,0,46.22888202970391,32,1.589842008645794
Nebraska,Big Ten,0,59.81448280437078,73,-6.21557302748872
Wisconsin,Big Ten,0,50.60461225006181,35,1.3575732696320968
Middle Tennessee,Conference USA,0,67.71919743909993,106,-15.088227908090667
Eastern Michigan,Mid-American,0,79.32391859208882,120,-18.592738646568524
BYU,Big 12,0,66.97747742598091,78,-7.765694052225968
Troy,Sun Belt,0,52.45764373986626,29,2.773974066063215
Alabama,SEC,0,32.51743979734966,12,12.292388221164188
Marshall,Sun Belt,0,65.87147684682388,83,-8.51785547098135
Utah,Big 12,0,50.98403711847414,30,2.7550051939678735
Massachusetts,FBS Independents,0,91.42212045872672,131,-26.86614080225451
Western Michigan,Mid-American,0,74.82516428408375,112,-17.074674202737015
TCU,Big 12,0,55.93823595631569,46,-0.3721174484047387
Virginia Tech,ACC,0,64.83642604846608,66,-5.265681594113855
Notre Dame,FBS Independents,0,37.759867540201306,15,9.794482066460176
Western Kentucky,Conference USA,0,57.92369096040183,62,-4.074453904705607
App State,Sun Belt,0,51.96035440435263,33,1.52804760465879
Georgia Tech,ACC,0,68.49337812994295,59,-3.343013318566472
Iowa State,Big 12,0,56.56450329059337,47,-0.3799543046614096
East Carolina,American Athletic,0,72.03171829159353,94,-12.523249038963966
Ohio State,Big Ten,0,30.408795063485933,4,19.507096551002753
Georgia State,Sun Belt,0,70.88176964137446,85,-8.899356044855958
Vanderbilt,SEC,0,88.6461299004852,109,-16.161546972470568
Utah State,Mountain West,0,68.31657929090774,101,-14.393511014431864
Kent State,Mid-American,0,81.98742535960406,133,-29.82188187426168
Mississippi State,SEC,0,64.03684648050283,61,-3.706052677984408
Memphis,American Athletic,0,55.85113678640741,37,1.215350748341323
Illinois,Big Ten,0,64.53783451632341,74,-6.420961828341641
Temple,American Athletic,0,86.96473335614677,134,-30.461556168917877
San Diego State,Mountain West,0,70.42401364739658,91,-12.057855702560955
Washington,Big Ten,0,52.77227374114871,19,8.118963131636404
California,ACC,0,65.50071296604185,93,-12.42758721370286
SMU,ACC,0,45.92785341817377,20,7.594429763818776
Arizona,Big 12,0,57.980026325333355,40,0.8195418693078445
Air Force,Mountain West,0,45.60858206330514,43,0.14380700416949388
New Mexico,Mountain West,0,80.9803302895235,115,-17.59350693624546
Indiana,Big Ten,0,83.21992056275043,113,-17.081606361186704
Houston,Big 12,0,65.61743617009058,88,-11.398714228117232
UAB,American Athletic,0,56.39654910409468,104,-14.804374969414065
North Texas,American Athletic,0,66.80787026641399,107,-15.268561850784256
Bowling Green,Mid-American,0,72.7539471392967,108,-16.076073999028083
Tennessee,SEC,0,39.23681929178997,8,15.643942042245175
Georgia,SEC,0,28.539986007893503,1,29.826434226145395
Wake Forest,ACC,0,72.44440701230559,75,-6.918888458626617
Charlotte,American Athletic,0,82.973468585453,127,-23.71759470511584
UCF,Big 12,0,49.15466142977871,22,5.550664653717799
Texas State,Sun Belt,0,65.42522572322491,77,-7.394152881519877
Miami,ACC,0,54.841548453475085,52,-2.501301056611921
LSU,SEC,0,49.75178948548374,9,15.23636134785696
Kansas,Big 12,0,57.69072343620574,64,-5.098707221827343
Georgia Southern,Sun Belt,0,71.59657065368206,102,-14.402996477370577
Texas A&M,SEC,0,48.06256352384288,7,16.079237474679164
Michigan State,Big Ten,0,78.66037523203154,96,-13.7755871056214
UTSA,American Athletic,0,51.29258740833607,48,-0.555692788277772
Boise State,Mountain West,0,50.21076378023801,39,0.9621524480593968
Northern Illinois,Mid-American,0,67.80966227735783,89,-11.59274364173033
Old Dominion,Sun Belt,0,71.23873932696786,103,-14.499645357050213
Duke,ACC,0,60.10325226122082,28,2.847316206960122
Wyoming,Mountain West,0,67.95986397019584,68,-5.531143911627743
Maryland,Big Ten,0,57.50903033826186,31,2.541173508211622
James Madison,Sun Belt,0,53.454555507564514,14,10.590318526349124
Sam Houston,Conference USA,0,78.65527305476205,122,-19.517127064785555
Kennesaw State,Conference USA,0,66.22069255729637,71,-5.846969261830016
Jacksonville State,Conference USA,0,68.57034753662823,18,8.155882627766271
Indiana,Big Ten,1,69.38740738109061,113,-14.026781281763627
LSU,SEC,1,46.16029502412848,11,11.315725740432663
San José State,Mountain West,1,53.93466003360325,58,-2.5273159649520456
Northern Illinois,Mid-American,1,56.27927618411624,59,-3.021739024209227
Bowling Green,Mid-American,1,61.245988024381624,88,-8.58954250430669
Liberty,Conference USA,1,42.29007861412617,28,4.634717680011589
Wake Forest,ACC,1,62.57984862073515,73,-5.247309663860297
Jacksonville State,Conference USA,1,61.834366452312906,20,7.485678022262482
Rutgers,Big Ten,1,60.13961508243847,68,-4.174151361462846
Vanderbilt,SEC,1,75.99843424059591,111,-13.922856624759737
San Diego State,Mountain West,1,59.11636478818318,106,-12.9022430059218
Middle Tennessee,Conference USA,1,59.491126625008974,98,-10.449673911215214
Ohio,Mid-American,1,57.056190004574766,75,-5.401589553802858
Ohio State,Big Ten,1,29.030215600580252,6,15.11388944569677
Louisville,ACC,1,42.124251314981414,18,7.556136903814783
West Virginia,Big 12,1,56.397826702557325,52,-1.809986054550124
Western Kentucky,Conference USA,1,55.956579772716765,100,-10.637336947080248
Utah,Big 12,1,44.53417953161841,32,3.226753023379055
Temple,American Athletic,1,76.81549360564657,134,-27.89909710524405
California,ACC,1,59.322023961788126,94,-9.66710957427831
Kansas,Big 12,1,48.31667139844016,36,2.6686967358749554
Rice,American Athletic,1,63.63049413380461,82,-6.8522780988284575
Alabama,SEC,1,28.98185652911163,5,15.186592747490891
Eastern Michigan,Mid-American,1,68.32940911450036,107,-13.075002224706004
South Carolina,SEC,1,60.00844822969525,78,-5.63410205585177
Sam Houston,Conference USA,1,66.90671626216408,119,-15.948846310518134
New Mexico,Mountain West,1,70.63365948988054,120,-16.17699164773594
Oregon,Big Ten,1,37.363273519547285,2,20.11292915762337
Colorado,Big 12,1,74.44441707796669,109,-13.436790555728283
Utah State,Mountain West,1,58.88566205862213,89,-8.877271789486688
Toledo,Mid-American,1,40.15815240737191,19,7.503188064479987
Florida International,Conference USA,1,80.1583680713339,130,-23.111145870164925
UConn,FBS Independents,1,74.8909930234548,128,-22.67621376140764
Ole Miss,SEC,1,39.24469725443189,12,11.23894648909987
Oregon State,Pac-12,1,40.009749122711774,22,7.000554097274968
Arizona State,Big 12,1,61.54373184639043,117,-15.47193826273796
Duke,ACC,1,52.391053955870106,30,4.27124963736052
UAB,American Athletic,1,48.42694463116592,99,-10.4666072953817
Marshall,Sun Belt,1,55.16662433393423,85,-7.726820304510717
NC State,ACC,1,51.02029076661662,50,-1.6579122859552813
Kent State,Mid-American,1,72.77304691113348,133,-26.600637222299397
Pittsburgh,ACC,1,50.620747406210846,81,-6.04733351941803
TCU,Big 12,1,50.61564220422109,55,-2.2351092788232267
Navy,American Athletic,1,59.636314846832846,91,-9.428847686866956
Kentucky,SEC,1,48.95635143022402,46,0.5347522522823257
UCF,Big 12,1,42.78770928231319,29,4.63151756889466
Washington State,Pac-12,1,53.46768137509233,34,2.979499546404142
Purdue,Big Ten,1,55.66407534691197,86,-7.739834074350702
Air Force,Mountain West,1,41.79918062623212,41,1.5401952164862025
Louisiana Tech,Conference USA,1,71.86141079676605,104,-12.491819713025128
UNLV,Mountain West,1,59.80211132640173,63,-3.284661161729483
Coastal Carolina,Sun Belt,1,50.41250798948567,72,-4.5513639659365035
Buffalo,Mid-American,1,66.32112723556618,101,-10.99212743328491
Georgia State,Sun Belt,1,63.969352609381275,97,-10.27697566798229
Oklahoma,SEC,1,39.78021800715439,4,15.697593141584262
Georgia Southern,Sun Belt,1,62.88385687421506,112,-13.976764191593777
Michigan,Big Ten,1,30.1178231310947,3,16.91144500485141
Virginia Tech,ACC,1,57.853597513083926,62,-3.0876961791654995
Auburn,SEC,1,49.25524523665798,25,5.499506090798887
Texas,SEC,1,36.97066618560817,8,13.518666351610156
Florida Atlantic,American Athletic,1,61.62970609235568,95,-9.869925695273842
South Florida,American Athletic,1,61.463334506519985,84,-7.55408763647994
UTSA,American Athletic,1,46.09043524518464,37,2.5922929785321123
Texas Tech,Big 12,1,55.5933388115537,76,-5.408037007684016
Tulsa,American Athletic,1,63.405267414716555,90,-9.054825137756652
Tennessee,SEC,1,35.16600574995163,9,12.500742385065852
James Madison,Sun Belt,1,47.35681264074587,10,11.45745829499693
App State,Sun Belt,1,46.86001517989667,40,1.6234909011371474
Wyoming,Mountain West,1,63.08637367354373,74,-5.2519475740401695
Miami,ACC,1,48.272899889243355,39,1.6766553398000354
SMU,ACC,1,41.20719797634628,15,9.421739513041706
Penn State,Big Ten,1,36.694208753113095,7,13.585189223246765
Florida State,ACC,1,40.74162042719998,23,6.649438397630526
Illinois,Big Ten,1,53.9392794015995,69,-4.222951747203989
Akron,Mid-American,1,79.05797566262225,131,-23.70470585412208
Florida,SEC,1,53.553154881053466,60,-3.029972703149867
Northwestern,Big Ten,1,69.81817198844116,87,-7.817480992764822
Troy,Sun Belt,1,47.98786698424422,42,1.4200304721546742
North Carolina,ACC,1,49.0970900470912,48,-1.016964049163704
Nebraska,Big Ten,1,53.66646780269525,65,-3.70719707014118
Tulane,American Athletic,1,44.624755525146725,35,2.757001864623898
Iowa,Big Ten,1,57.61505396864754,66,-3.960340782927066
Wisconsin,Big Ten,1,47.1620514876093,54,-2.1180344800256847
New Mexico State,Conference USA,1,58.377794548851064,64,-3.408274731546042
Minnesota,Big Ten,1,58.60286330160619,80,-5.802267049300856
Georgia,SEC,1,27.840070777780458,1,21.8534510083582
Old Dominion,Sun Belt,1,62.65660803179296,116,-15.39998506636607
Syracuse,ACC,1,52.455799886253146,83,-7.5080557898372975
Boise State,Mountain West,1,44.89924242622553,33,3.003348914900193
Arkansas State,Sun Belt,1,70.36033731772464,110,-13.747600368871106
South Alabama,Sun Belt,1,44.32819302412407,38,1.969743753416947
Maryland,Big Ten,1,49.78909601697709,26,5.117211982226238
Fresno State,Mountain West,1,52.35261810512255,53,-1.8311047004224577
Mississippi State,SEC,1,54.36541165150002,56,-2.323840289573406
Iowa State,Big 12,1,50.22502677736694,44,1.1588169850390415
Virginia,ACC,1,64.41608650500527,105,-12.517535642705743
Washington,Big Ten,1,46.44696975605911,16,8.873668199791688
Hawai'i,Mountain West,1,72.34853765071075,122,-18.29519446175981
Michigan State,Big Ten,1,69.14130815347866,118,-15.509643487050074
