id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401856778,2026,1,true,Houston,fbs,33,Oregon State,fbs,20,-13,Houston,-21.0,,,-5.20523568914834,7.79476431085166,8.0,60.75835066172675,64.0,1,1,1,1
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-28.0,-7500,1400,-23.705938864487784,14.294061135512216,10.0,204.32018374576077,100.0,1,1,0,0
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-27.5,-5000,1800,-23.705938864487784,14.294061135512216,10.5,204.32018374576077,110.25,1,1,0,0
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-28.5,,,-23.705938864487784,14.294061135512216,9.5,204.32018374576077,90.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-23.5,-2100,1100,-9.03312422969359,18.96687577030641,4.5,359.7423764862363,20.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-23.5,,,-9.03312422969359,18.96687577030641,4.5,359.7423764862363,20.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-24.0,-2800,1100,-9.03312422969359,18.96687577030641,4.0,359.7423764862363,16.0,1,1,0,0
401858425,2026,1,true,Indiana,fbs,52,North Texas,fbs,16,-36,Indiana,-39.833333333333336,,,-25.267953498237624,10.732046501762376,3.8333333333333357,115.17682211599005,14.694444444444462,1,1,1,0
401856780,2026,1,true,West Virginia,fbs,31,Coastal Carolina,fbs,24,-7,West Virginia,-21.0,-1725,-100000,-17.64920350352904,10.64920350352904,14.0,113.40553525957519,196.0,1,1,1,1
401856780,2026,1,true,West Virginia,fbs,31,Coastal Carolina,fbs,24,-7,West Virginia,-21.0,,,-17.64920350352904,10.64920350352904,14.0,113.40553525957519,196.0,1,1,1,1
401856780,2026,1,true,West Virginia,fbs,31,Coastal Carolina,fbs,24,-7,West Virginia,-21.0,-1450,850,-17.64920350352904,10.64920350352904,14.0,113.40553525957519,196.0,1,1,1,1
401869960,2026,1,true,James Madison,fbs,20,Liberty,fbs,13,-7,James Madison,-6.0,-225,185,-13.438336749545623,6.438336749545623,1.0,41.452180100549704,1.0,1,1,1,0
401869960,2026,1,true,James Madison,fbs,20,Liberty,fbs,13,-7,James Madison,-6.0,-250,210,-13.438336749545623,6.438336749545623,1.0,41.452180100549704,1.0,1,1,1,0
401869960,2026,1,true,James Madison,fbs,20,Liberty,fbs,13,-7,James Madison,-6.0,,,-13.438336749545623,6.438336749545623,1.0,41.452180100549704,1.0,1,1,1,0
401858432,2026,1,true,Ohio State,fbs,56,Ball State,fbs,3,-53,Ohio State,-50.333333333333336,,,-61.548782128783714,8.548782128783714,2.6666666666666643,73.0816758854118,7.111111111111098,1,1,1,0
401858207,2026,1,true,Pittsburgh,fbs,59,Miami (OH),fbs,14,-45,Pittsburgh,-16.0,-800,525,-21.337290510554364,23.662709489445636,29.0,559.9238203819006,841.0,1,1,1,1
401858207,2026,1,true,Pittsburgh,fbs,59,Miami (OH),fbs,14,-45,Pittsburgh,-16.5,,,-21.337290510554364,23.662709489445636,28.5,559.9238203819006,812.25,1,1,1,1
401858207,2026,1,true,Pittsburgh,fbs,59,Miami (OH),fbs,14,-45,Pittsburgh,-16.5,-850,575,-21.337290510554364,23.662709489445636,28.5,559.9238203819006,812.25,1,1,1,1
401856665,2026,1,true,South Carolina,fbs,57,Kent State,fbs,0,-57,South Carolina,-36.5,-100000,-100000,-39.124037736717675,17.875962263282325,20.5,319.5500268382938,420.25,1,1,1,1
401856665,2026,1,true,South Carolina,fbs,57,Kent State,fbs,0,-57,South Carolina,-35.5,,,-39.124037736717675,17.875962263282325,21.5,319.5500268382938,462.25,1,1,1,1
401856665,2026,1,true,South Carolina,fbs,57,Kent State,fbs,0,-57,South Carolina,-35.5,-50000,4000,-39.124037736717675,17.875962263282325,21.5,319.5500268382938,462.25,1,1,1,1
401858434,2026,1,true,Penn State,fbs,45,Marshall,fbs,0,-45,Penn State,-23.0,-3500,1100,-32.3141109119476,12.685889088052399,22.0,160.93178195436693,484.0,1,1,1,1
401858434,2026,1,true,Penn State,fbs,45,Marshall,fbs,0,-45,Penn State,-23.5,,,-32.3141109119476,12.685889088052399,21.5,160.93178195436693,462.25,1,1,1,1
