school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Southern Illinois,fcs,MVFC,-11.743558453988573,150
Delaware State,fcs,MEAC,-11.775486208550898,151
Idaho State,fcs,Big Sky,-11.96673710925735,152
Alcorn State,fcs,SWAC,-12.054949329953864,153
Buffalo,fbs,Mid-American,-12.126816096446554,154
Central Arkansas,fcs,UAC,-12.271382027474305,155
South Dakota,fcs,MVFC,-12.404115323298278,156
Villanova,fcs,Patriot,-12.415957301301987,157
Southern Utah,fcs,Big Sky,-12.423207756742423,158
Prairie View A&M,fcs,SWAC,-12.456313226637885,159
Drake,fcs,Pioneer,-12.578872557822823,160
UC Davis,fcs,Big Sky,-12.871378518960663,161
Stephen F. Austin,fcs,Southland,-12.952296301325385,162
Towson,fcs,Coastal Athletic,-13.064542292556377,163
Bowling Green,fbs,Mid-American,-13.114023890484741,164
North Carolina Central,fcs,MEAC,-13.219681954365086,165
Middle Tennessee,fbs,Conference USA,-13.437316965697885,166
McNeese,fcs,Southland,-13.540482847672362,167
Western Carolina,fcs,Southern,-13.691069594845588,168
Cornell,fcs,Ivy,-13.787721503899263,169
Lafayette,fcs,Patriot,-13.967843657000842,170
Duquesne,fcs,NEC,-13.969203195246624,171
Charlotte,fbs,American Athletic,-14.053882590087913,172
New Mexico State,fbs,Conference USA,-14.179458366028104,173
Pennsylvania,fcs,Ivy,-14.223023895211336,174
Idaho,fcs,Big Sky,-14.678471424133225,175
San Diego,fcs,Pioneer,-14.7386906070312,176
Stony Brook,fcs,Coastal Athletic,-14.77966406057984,177
Youngstown State,fcs,MVFC,-14.824379349248593,178
Richmond,fcs,Patriot,-15.03807027170844,179
Wofford,fcs,Southern,-15.199768604005492,180
Lindenwood,fcs,OVC,-15.284952054425204,181
East Texas A&M,fcs,Southland,-15.346385308276972,182
Western Michigan,fbs,Mid-American,-15.395782771328044,183
Georgetown,fcs,Patriot,-15.465626368751712,184
William & Mary,fcs,Patriot,-15.51772111240149,185
Chattanooga,fcs,Southern,-15.571889028140191,186
Brown,fcs,Ivy,-15.613372711679485,187
Sacred Heart,fcs,Coastal Athletic,-15.66749476121202,188
Illinois State,fcs,MVFC,-15.734974488491865,189
Colgate,fcs,Patriot,-15.880887083049776,190
Northern Iowa,fcs,MVFC,-16.028975183474184,191
Norfolk State,fcs,MEAC,-16.0680005317806,192
Cal Poly,fcs,Big Sky,-16.199568746010282,193
Marist,fcs,Pioneer,-16.301486152785877,194
Abilene Christian,fcs,UAC,-16.355546879900867,195
Texas Southern,fcs,SWAC,-16.437616603597355,196
Incarnate Word,fcs,Southland,-16.477113044849055,197
Butler,fcs,Pioneer,-16.553623082351038,198
Long Island University,fcs,NEC,-16.595839934512767,199
Alabama A&M,fcs,SWAC,-17.01353148520003,200
Eastern Kentucky,fcs,UAC,-17.1266999476529,201
Southeast Missouri State,fcs,OVC,-17.183836936115206,202
Lamar,fcs,Southland,-17.20743932248821,203
Bucknell,fcs,Patriot,-17.208472354575456,204
Stonehill,fcs,NEC,-17.415553098735177,205
Grambling,fcs,SWAC,-17.48121685703847,206
Northern Arizona,fcs,Big Sky,-17.585487461475836,207
Maine,fcs,Coastal Athletic,-17.60982319632875,208
Bryant,fcs,Coastal Athletic,-17.66325497290319,209
New Hampshire,fcs,Coastal Athletic,-17.90284642964108,210
Kent State,fbs,Mid-American,-17.920483396786743,211
Morgan State,fcs,MEAC,-18.07509936092775,212
Gardner-Webb,fcs,OVC,-18.14563867781977,213
Princeton,fcs,Ivy,-18.26348560123424,214
North Alabama,fcs,UAC,-18.26540658935987,215
Furman,fcs,Southern,-18.298765812547984,216
Robert Morris,fcs,NEC,-18.356698589336244,217
Southern,fcs,SWAC,-18.360012510944365,218
Hampton,fcs,Coastal Athletic,-18.36185873696339,219
Akron,fbs,Mid-American,-18.45061871964448,220
Central Connecticut,fcs,NEC,-18.47692349711957,221
UT Martin,fcs,OVC,-18.488972249264314,222
Charleston Southern,fcs,OVC,-18.519539480691964,223
Western Illinois,fcs,OVC,-18.540116108826005,224
Eastern Illinois,fcs,OVC,-18.55152623980349,225
UL Monroe,fbs,Sun Belt,-18.888980661394783,226
Northern Colorado,fcs,Big Sky,-18.89886094140333,227
Bethune-Cookman,fcs,SWAC,-19.128833213682544,228
Eastern Washington,fcs,Big Sky,-19.25492281820847,229
UAlbany,fcs,Coastal Athletic,-19.32959544421504,230
Davidson,fcs,Pioneer,-19.396552791300405,231
Indiana State,fcs,MVFC,-19.517910921824726,232
Arkansas-Pine Bluff,fcs,SWAC,-19.52085425130922,233
Columbia,fcs,Ivy,-19.613197449905844,234
Nicholls,fcs,Southland,-19.869821189996685,235
Florida A&M,fcs,SWAC,-19.880025784458333,236
Murray State,fcs,MVFC,-20.098847857056768,237
Howard,fcs,MEAC,-20.107495390187683,238
The Citadel,fcs,Southern,-20.131645047607265,239
Morehead State,fcs,Pioneer,-20.197816937943255,240
Houston Christian,fcs,Southland,-20.34274534242615,241
Wagner,fcs,NEC,-20.484161590477395,242
Holy Cross,fcs,Patriot,-20.6169044264574,243
Sam Houston,fbs,Conference USA,-20.71006400531111,244
Campbell,fcs,Coastal Athletic,-20.790178615957345,245
Merrimack,fcs,FCS Independents,-20.97288479981507,246
Valparaiso,fcs,Pioneer,-21.087934123477183,247
Fordham,fcs,Patriot,-21.13697744715226,248
Weber State,fcs,Big Sky,-21.712932834931834,249
Tennessee State,fcs,OVC,-21.719538144056955,250
Utah Tech,fcs,Big Sky,-22.6218007458964,251
Samford,fcs,Southern,-22.999278684536634,252
Mississippi Valley State,fcs,SWAC,-23.021713450999606,253
North Carolina A&T,fcs,Coastal Athletic,-23.685637260573806,254
Ball State,fbs,Mid-American,-23.954760632752162,255
VMI,fcs,Southern,-24.819365771232967,256
Portland State,fcs,Big Sky,-25.066716982500836,257
Stetson,fcs,Pioneer,-25.20998915340249,258
Massachusetts,fbs,Mid-American,-26.387892980185093,259
Northwestern State,fcs,Southland,-30.26265236162791,260
