# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.420159
# Diagonal elements of inverse mass matrix:
# 0.00531687, 5.01343e-05
-1227.3737,0.91740452,0.42015932,3,7,0,1231.2099,0.28714557,0.067627614
-1229.0712,0.77831614,0.42015932,2,7,0,1230.3966,0.19655664,0.067018791
-1226.5943,1,0.42015932,2,3,0,1228.8954,0.2461686,0.072034361
-1226.4202,0.99695363,0.42015932,3,7,0,1226.6489,0.23597907,0.075544437
-1227.3558,0.90641135,0.42015932,2,7,0,1227.8161,0.1487406,0.074693302
-1227.525,0.99941983,0.42015932,3,7,0,1227.7022,0.16634457,0.086689027
-1227.1787,0.79458788,0.42015932,1,3,0,1229.8982,0.10307165,0.081279131
-1226.8179,0.99923765,0.42015932,3,11,0,1227.5324,0.27293911,0.072919959
-1226.9204,0.89119257,0.42015932,1,3,0,1227.7915,0.23061603,0.070458629
-1226.5177,0.94616938,0.42015932,1,3,0,1227.5792,0.24707206,0.074859295
-1227.1594,0.96753191,0.42015932,2,3,0,1227.2649,0.25821318,0.068650197
-1228.2809,0.77843479,0.42015932,3,7,0,1229.464,0.3120859,0.075199711
-1227.5006,0.99223452,0.42015932,3,7,0,1228.77,0.25687035,0.07939955
-1226.9479,0.9840881,0.42015932,3,11,0,1228.6186,0.12864521,0.07862179
-1227.2044,0.95571679,0.42015932,1,1,0,1227.2449,0.12180674,0.078226719
-1229.0384,0.84643225,0.42015932,2,7,0,1229.5547,0.16806113,0.090269146
-1228.4558,1,0.42015932,2,3,0,1229.2522,0.17646803,0.088493139
-1227.6097,0.99747648,0.42015932,2,7,0,1229.6531,0.21402016,0.069064399
-1226.7594,0.96187179,0.42015932,1,3,0,1228.3349,0.26530138,0.071272139
-1226.3962,0.99572991,0.42015932,3,7,0,1226.8826,0.15875821,0.078921933
-1226.4353,0.98899607,0.42015932,3,9,0,1227.2168,0.23657322,0.075737506
-1226.3096,0.98348994,0.42015932,2,3,0,1226.5958,0.2180951,0.075321562
-1226.4341,0.95415065,0.42015932,2,7,0,1226.9121,0.183631,0.081028886
-1226.437,0.98285844,0.42015932,2,7,0,1226.8424,0.2175464,0.078401676
-1226.5311,0.97878056,0.42015932,2,7,0,1226.9515,0.18718291,0.081486723
-1226.3391,0.99156232,0.42015932,1,3,0,1226.6594,0.1653078,0.080347931
-1226.7283,0.93521349,0.42015932,2,3,0,1226.9747,0.17392931,0.083305614
-1226.3263,0.99515185,0.42015932,2,7,0,1227.639,0.22376731,0.075620646
-1226.9483,0.91944848,0.42015932,2,5,0,1227.0875,0.17078454,0.074136288
-1226.8123,0.98703963,0.42015932,2,7,0,1227.6727,0.17430889,0.083680716
-1228.3787,0.89944422,0.42015932,2,3,0,1228.7181,0.057639505,0.082908889
-1226.5762,0.93770239,0.42015932,2,7,0,1230.4726,0.14128823,0.082998447
-1226.7433,0.97523204,0.42015932,2,3,0,1226.9074,0.12097428,0.08225147
-1227.4093,0.9876726,0.42015932,4,15,0,1227.8292,0.11566848,0.088126937
-1226.6771,0.99273603,0.42015932,3,7,0,1228.1069,0.17519456,0.074943915
-1227.2983,0.88699511,0.42015932,2,3,0,1227.9675,0.15819138,0.074004962
-1226.9972,0.99776706,0.42015932,2,7,0,1229.1405,0.11121822,0.085635763
-1226.9989,0.95996936,0.42015932,4,15,0,1227.8223,0.15750869,0.085290146
-1227.2997,0.99477144,0.42015932,2,5,0,1227.6582,0.086791582,0.08509722
