team,conference,CFB_Week,VoA_Output,VoA_Ranking,VoA_Rating
Illinois,Big Ten,1,68.43902266446163,65,-0.03205534840837909
Auburn,SEC,1,46.92854645548687,9,16.375304512236536
Florida International,Conference USA,1,78.69402018228838,125,-16.784092737604233
Florida State,ACC,1,59.88805973403269,33,8.500513077284397
Kansas,Big 12,1,81.10764093144056,71,-1.3309640824068203
Georgia,SEC,1,31.5210523102878,2,27.384366640597666
Houston,American Athletic,1,57.21103492498489,47,4.906290071916622
BYU,FBS Independents,1,42.48893375235262,53,3.919178904227836
Texas State,Sun Belt,1,80.16891556560469,111,-10.358689380396136
SMU,American Athletic,1,48.12087099055866,22,10.38610447644674
New Mexico,Mountain West,1,77.84363843043239,119,-12.5955419686
Oregon State,Pac-12,1,54.98600073624353,58,2.5123833706683816
Cincinnati,American Athletic,1,34.921807758708546,23,10.199250498302158
Fresno State,Mountain West,1,50.83544170912091,39,6.125258757121687
Arizona,Pac-12,1,77.82089534982667,92,-4.288824088891127
Wisconsin,Big Ten,1,42.92262922183868,15,13.236652991003004
Ohio,Mid-American,1,61.34145698524923,105,-8.879773215422558
Maryland,Big Ten,1,63.53855428038669,30,8.84542275291306
USC,Pac-12,1,62.97897497511941,41,5.8972913246718495
Boston College,ACC,1,65.3904016544074,80,-2.5050588208732116
Washington,Pac-12,1,59.71785085333955,50,4.72965407963533
Rice,Conference USA,1,74.3474159668317,129,-21.239644438628744
Liberty,FBS Independents,1,46.29455436125192,68,-0.287753329356754
West Virginia,Big 12,1,59.36291025228365,26,9.430176198531251
Colorado,Pac-12,1,74.93916232874939,102,-7.958576308127343
Minnesota,Big Ten,1,51.86525217265836,27,9.354798139085007
Southern Mississippi,Sun Belt,1,73.59631603398877,110,-9.986567444490204
Air Force,Mountain West,1,45.80968058499913,46,4.940492272075295
NC State,ACC,1,54.89157261459474,40,5.989009429184564
Louisiana,Sun Belt,1,50.56235818855551,62,0.39019430195312466
Ball State,Mid-American,1,66.52763965503846,112,-10.736182246925264
Wyoming,Mountain West,1,59.662139601392575,91,-4.103511045298164
Ole Miss,SEC,1,51.33252772012386,21,10.435013990905244
Western Michigan,Mid-American,1,52.76768649344595,88,-3.759809883995154
Memphis,American Athletic,1,59.70400916386077,64,0.0941218933962189
Arkansas State,Sun Belt,1,70.93472352813396,87,-3.5011111485082766
California,Pac-12,1,63.906375443503485,61,1.6716145088096417
Central Michigan,Mid-American,1,55.06745230140848,67,-0.1993701964718797
Indiana,Big Ten,1,70.82661048647569,76,-2.040055251427373
Nebraska,Big Ten,1,54.19312102511737,44,5.459107085045319
Buffalo,Mid-American,1,60.408201715928385,103,-8.186486559698329
South Florida,American Athletic,1,79.80822462053524,107,-9.334202406945764
Akron,Mid-American,1,86.94450148173635,123,-15.742947308365888
Florida Atlantic,Conference USA,1,57.43757990125794,81,-2.754917826546808
Pittsburgh,ACC,1,48.74637355136289,17,12.084068120664622
UCF,American Athletic,1,44.40541431608559,25,9.61857513695165
Georgia,SEC,2,30.699873613829094,1,27.32078629642902
Alabama,SEC,2,29.87247635355512,2,25.652063453666205
Oklahoma,Big 12,2,41.4653805175038,3,19.53229040776182
Ohio State,Big Ten,2,31.65705995868667,4,18.2865946024386
Michigan,Big Ten,2,42.00089557512503,5,18.035269818062755
Mississippi State,SEC,2,58.27247635355512,6,15.965550453399896
Texas A&M,SEC,2,45.02864073711677,7,15.395163054647504
Clemson,ACC,2,41.739043813872584,8,15.317440553201626
Cincinnati,American Athletic,2,29.965893524283935,9,15.011523089510373
Ole Miss,SEC,2,47.96836676451402,10,14.486350971344368
Auburn,SEC,2,48.92179142204827,11,14.436465140441944
Oklahoma State,Big 12,2,52.81469558599696,12,13.586484602157917
Iowa State,Big 12,2,45.78044901065449,13,12.856394330822296
Kentucky,SEC,2,52.83822977821266,14,12.52720934590014
SMU,American Athletic,2,47.99603051058531,15,12.436618756163943
Miami,ACC,2,56.89657806044792,16,12.280000888505644
Minnesota,Big Ten,2,53.131032561426395,17,12.16520352527618
Tennessee,SEC,2,51.97521607958251,18,11.960764146893714
Purdue,Big Ten,2,56.161169547727766,19,11.700823314989725
NC State,ACC,2,48.75822189606436,20,11.660885474785106
Florida,SEC,2,48.00946265492498,21,11.42975444987093
TCU,Big 12,2,56.328394216133944,22,11.359074034302282
Wisconsin,Big Ten,2,45.46938872580996,23,11.358737656515023
Utah,Pac-12,2,46.799045535261286,24,11.248321034332385
Wake Forest,ACC,2,55.733564361817784,25,10.893746448277216
North Carolina,ACC,2,48.215756142639705,26,10.841328745384493
Kansas State,Big 12,2,55.12565449010655,27,10.471316771729471
Baylor,Big 12,2,54.39688736681887,28,10.232061907403422
LSU,SEC,2,64.46562703848663,29,9.961635476138712
Texas,Big 12,2,51.446202435312024,30,9.92185143628315
Arkansas,SEC,2,52.450558545335944,31,9.038512531500224
UCLA,Pac-12,2,44.44836060375444,32,8.931111683675173
Maryland,Big Ten,2,62.14473119156338,33,8.871711849190167
Tulane,American Athletic,2,57.49740037359901,34,8.838994802099704
Penn State,Big Ten,2,55.35705995868667,35,8.071211931896576
USC,Pac-12,2,64.9894564941654,36,7.342818271275505
Pittsburgh,ACC,2,47.56781093716025,37,6.883078767300897
Texas Tech,Big 12,2,59.48455859969559,38,6.851506268693977
Michigan State,Big Ten,2,57.39815584909763,39,6.686962264200272
Marshall,Sun Belt,2,48.62918569254186,40,6.623091343919763
Washington,Pac-12,2,59.67575786402841,41,6.299618027547576
Arizona State,Pac-12,2,42.76616882293252,42,6.239734068431965
Nebraska,Big Ten,2,54.26527913676886,43,6.210365700724027
Florida State,ACC,2,60.58287943031094,44,6.001608852811949
West Virginia,Big 12,2,56.62702435312024,45,5.988164894718351
UCF,American Athletic,2,49.57685242839352,46,5.977193042511435
Fresno State,Mountain West,2,51.544912163876205,47,4.982816131662262
Rutgers,Big Ten,2,70.77897776690585,48,4.817073419223371
Oregon,Pac-12,2,48.60315512430238,49,4.572332867040471
Appalachian State,Sun Belt,2,45.67439117199391,50,3.898728878478698
Houston,American Athletic,2,55.33301681195517,51,3.738368073267209
